Juke (Single Version),Little Walter,"The Best of Chess Records Original Artist Recordings Of Songs In The Film ""Cadillac Records""",Tdsp4wznyobsbncyq6tpsxprv64
Hide Away,Freddie King,Kings of King,Tzemrhzda6g4aquckt3weq5zpua
Albatross,Fleetwood Mac,The Best of Peter Green's Fleetwood Mac,T6fknje5v3qvnts63qdgf54azie
Phillips Goes Bananas,Hound Dog Taylor,Blues Picks,Tlsj2htaun636fkdzewpl2wbxpq
The Supernatural,John Mayall and The Bluesbreakers,Truly English Blues Rock Band,T63bk76th7xukzsa5pzi2vjaile
Wham!,Lonnie Mack,The Wham of That Memphis Man,T2olugnzvumpxevatdg2647w4je
Strollin' With Bones,T-Bone Walker,Armadillo 2,Tpbex3bdrvh2xzvxwtrtvykf3gm
Hawaiian Boogie,Elmore James,Blues in D Natural,Tg5gfbdzrff5qwmlfyxew6pepgi
Chitlin Con Carne (feat. Buddy Guy),Junior Wells,Hoodoo Man Blues,Trbwav4hrqubxyucef2ifp4xnm4
Thank You Mr. Poobah,The Paul Butterfield Blues Band,The Paul Butterfield Blues Band,Taumv7izgiwsxlczpgzojepi2be
Roller Coaster,Little Walter,Bouncing Blue Lights,Teblhvxqjilk7biwvbbtkezydpm
Rememberin' Stevie,Buddy Guy,"Damn Right, I've Got The Blues",Tap5siqypx4rtgiudyzxmkarw2m
Okie Dokie Stomp,"Clarence ""Gatemouth"" Brown",Boogie Rambler - Blues Essentials,Tzrruo4pyvbyy7t2jktmq6fdqym
Frankie And Johnny Boogie,Memphis Slim,All Kinds Of Blues,T45qrv5bbemrg6ivi233fucg7gy
"Lookin' Good (feat. Mighty Joe Young, Stockholm Slim, Earnest Johnson & Odie Payne Jr.)",Magic Sam,West Side Soul,Tljvfsz4kltqttuu3bddtr42lea
Avalanche,Albert Collins,The Blues Archive - Electric Blues,Taus7jdqa4pichi3kebbpav2jf4
Albert's Shuffle,Al Kooper,Rare & Well Done: The Greatest And Most Obscure Recordings 1964-2001,Tv6ehhq6oybcb625zuy35i6yqv4
"Rude Mood (Live at Carnegie Hall, New York, NY - October 1984)",Stevie Ray Vaughan,Live at Carnegie Hall,T3gjczj2ngjmlujltevmizde45u
Cha Cha The Blues,Charlie Musselwhite,Stand Back! Here Comes Charley Musselwhite's Southside Band,Tm6m5xwzkk4oyn54osf5kwvyeau
12:15 Slow Goonbash Blues,Shuggie Otis,Shuggie's Boogie: Shuggie Otis Plays The Blues,Tywqeoyy6qouaq2f4fsbjq4smda
Blue Guitar,Earl Hooker,Blues Instrumentals,Tvmj32qunlgkex65rexx6pogcbe
Ice Pick,Albert Collins,Ice Pickin',Tfyvw2k52qomr535wq5okiewp2a
Easy Rider,The Electric Flag,A LONG TIME COMIN',Tf2ztbud5evv2ktroydlvn2b5xq
Blues Boys Tune,B.B. King,Blues On The Bayou,Trszkpzunfsx7vzfcxjpvwrwaje
Sweet Ginny,Screamin' Jay Hawkins,This Is All,Tgzntk67hjognglelqitwjw3m5q
Side Tracked (Remastered 2015),Freddie King,Let's Hide Away and Dance Away with Freddy King (Remastered 2015),Tguef6nmjjzdwwgc7hj223hfp54
Blues For Bill,Ronnie Earl,Spread The Love,Th3oghi5bucv6w3qwqvfre5tt2a
Blues 'Fore Dawn (Instrumental),Jimmy Thackery,Guitar,T722hfrfyoxkbpz3lysu65o2yle
The Blues Walk,"Clarence ""Gatemouth"" Brown",Long Way Home,Tzysyinsugswia7bpop3nhgqdl4
Drivin' Wheel (Single Version),Foghat,The Essentials: Foghat,Tmgpyraltp6j4svieniems5nwvi
Boogie Albert,John Mayall,Room To Move 1969-1974,T7fnvvczmlxvuz6zf54g6r6wztm
The Stumble,Freddie King,Kings of King,Ta473xmnpglsthx3lmjfxru5dtm
Wade in the Water,Dr. John,Dr. John Plays Mac Rebennack: The Legendary Sessions Volume One,T3haiozlly3nbukg5l6fnkz7e7e
Purple,Shuggie Otis,Freedom Flight,T5w7zl2auofzb5sgj4k2y5fjhpy
Sad Hours,Little Walter,The Complete Chess Masters (1950 - 1967),Tag4wzcniyuaq5sf7ltzzioxhdi
Jam On A Monday Morning,Buddy Guy,A Man And The Blues,T656vv4fg3xgstze3cjam3hjpye
Tribute to Elmore,Eric Clapton & Jimmy Page,Super Stars (Eric Clapton & The Yardbirds),Ttok2wgh2g5mpo6qlizsytbd4ty
The Messiah Will Come,The Drivers,True Stories,Tid45lby4zyovu7fzmlhqfv7ufi
Blues We Like,B.B. King,Blues On The Bayou,T77ol7jm65gnzygvjyypmior3ka
Christo Redemptor,Charlie Musselwhite,Stand Back! Here Comes Charley Musselwhite's Southside Band,Thfkwvtosnt3d6y3wxxx7qes2vm
Hot Fingers,Lonnie Johnson,Mr. Johnson's Blues Vol. 2,Tpoeqsctjp6uwj3d6bydfparphu
The Screwdriver,Earl Hooker,Theresa Fungus Amung Us,Tjzvnqrkhigvisbuaulke6pxybi
Tribal Dance,2 Unlimited,Unlimited Hits & Remixes,T3yjtbba7yfkixfssiiu6pasd5a
Dirty Girl (feat. Sarah Ross & Young Gunner),Lenny Cooper,Dirtified,Th63c2gqva42dtw7iyy4oh6a3dq
Really,Mike Bloomfield,Super Session,Tud3psp2nva7pa6mjwmxz2ndtxq
Old Time Sake,Kathleen Edwards,Back to Me,Tbxehuoxzp2e5obarpfnmwqui74
Scuttle Buttin',Stevie Ray Vaughan,The Essential Stevie Ray Vaughan And Double Trouble,Ta2dujh2jmtwcrsyupamul5wkxq
The Deacons Hop,Big Jay McNeely,The Definitive Collection of R&B Hits from 1949,Toxx7kpkmmw6gif6xw6hywxx63a
Z. Rider,Sonny Landreth,Grant Street,Td7p2tgcrfp7qq66sqvkta7ny2y
Roy's Bluz (Instrumental),Jimmy Thackery,Guitar,Tbh7zqhkfeplycsulh7swykhssy
Blues In D Natural,Earl Hooker,Essential Chicago Blues - 50 Classic Tracks,Tyadaxizdmce3yc2ihkypvkvauq
Harlem Nocturne,King Curtis,Harlem Nocturne,Tnhtfkaahk5j7jwhgjejhzrse3q
Driven Slow,Madd Tha Gangsta,One Way or Another,Tb7tyudspv46f2bndmamntgb6su
Night Train,Jimmy Forrest,Lingerie Fashion Show,T4tgdckurlfyt7keamhtnbjqlda
Screamin',The Paul Butterfield Blues Band,The Paul Butterfield Blues Band,Tle4wpfs5g42ezxwdsvdyollrhi
Extra Jimmies,The Fabulous Thunderbirds,What's The Word?,T6uo2behoeuzkg5uct74ewzfpxi
Hot and Heavy,Earl Hooker,Theresa Fungus Amung Us,Tbwpwdq2uvgpof6p4moinzxnaqi
Sitting On Top Of The World,Rod Price,Open,T2clqa5l432glehxiezt6n4pv5m
Dockside Boogie,"Clarence ""Gatemouth"" Brown",Long Way Home,Tsxlieymiwveawcx5bygcgiwkjq
Bone Shuffle,T-Bone Walker,R&B Classics Vol.3,T5vqrjsjpjor7o5iqf5cltwneem
Ain´t That Dandy,Clarence Gatemouth Brown,Ain´t That Dandy,Tuy2i3gjpiqg7k4msekd24wgcv4
Easy,Jimmy & Walter,"Let Me Tell You About the Blues: Memphis, Pt. 2",Tlljbei3t22kmog2ndejfumr464
Messin' Round,Bad News Blues Band,Bad News Indeed....,Tzpb5arz3xnoamzamv6pvo67ug4
The Little Drummer Boy,Harry Connick Jr.,When My Heart Finds Christmas,Tfs5l5rjpp2emleg6nsm563ae3i
Blues for Nothing,Mike Bloomfield,Super Session,T6dpeapsypegq6g6ebogdlphpua
