I Will Survive,Gloria Gaynor,I Am What I Am,T5myk3drqtwu3hvmsjiz7tqu2fe
Le Freak,Chic,Happy Weekend,Todiute3cgn5nej4bmb7jrsvyje
Stayin' Alive,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),Toqt5h22n5vbdbplfcmy5zbfa3i
Funky Town,Lipps Inc.,Paradas Continuas,T4d4prrsp55iofebikuiznfviki
Disco Inferno,The Trammps,Saturday Night Fever: Seventies Dance Classics,Tplkkpys7muhjww3tma6t7wfb7m
Ymca,Village People,"Was nicht passt, wird passend gemacht (Music Inspired By the Film)",T57yvuhg2eddnvcbwbvvusmno2y
Born To Be Alive,Patrick Hernandez,Wog Boy 2 Original Soundtrack,T7wit4t4cjf5zuiggyhuj3wnqjm
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,T2pdr4hlqbhqbk4iivj6pzaekea
Get Up (I Feel Like Being a Sex Machine),James Brown,Feeling 70's (The Best Music of the 70's),Tmu6ssz54lwslwr2cthlgd53er4
Love to Love You Baby,Donna Summer,Feeling 70's (The Best Music of the 70's),Tik753jm6oxmqi3tlxkn26rz2fe
I'm so Excited,Pointer Sisters,"Soul Sisters - Classic Female Black Performers, Vol. 1",Tfsz3lhjrjxwjv25ls6gtfmhapq
If You Wanna (Vocal Mix),Jeremy Sylvester,"Lost Tapes, Vol. 2",Tfkuhp4we7pp7c6iijw2afggcfe
"Babe, We're Gonna Love Tonight",Lime,Lime II,Tama4sxf3sw4x3flg3vdx4ozu6q
That's The Way (I Like It),KC & The Sunshine Band,Summer Cocktail Playlist,Ti26hm7tflklr2axv6r2vj5itsm
Knock On Wood,Amii Stewart,Knock On Wood,Tgyo3ftgymbhk2fugjl73aygffq
"Night Fever (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,The Ultimate Bee Gees,Tln7o7sfdfb5322n4rnpvphtr24
Last Dance,Donna Summer,On The Radio: Greatest Hits Volumes I & II,Tgttpkrnqbkby5bzxmblwobdbqa
Heaven Must Be Missing An Angel,Tiny Tavares,Heaven Must Be Missing An Angel,Tek4oyy7oqhpiy65s4zdfqvdche
Double Dutch,Frankie Smith,Double Dutch Bus,T2iwnrofeivdbkzfjrvodvoydqa
Rappers Delight,Sugarhill Gang,"The Original Music Factory Collection, 80 Favorites",Tjzybziucpgrcrlan3nq2hxdhmm
Celebration,Kool & The Gang,Summer Celebrations,Temhs33m7pcwn6uv4y5e53oclfu
Don't Stop 'Til You Get Enough,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Todmzkcm6zwvaiy33cb3heyfhqi
Love Hangover,Diana Ross,Feeling Love (The Best Love Music),T4kymq7impr7x2tq6rgj25dosky
Heaven Must Have Sent You (Radio Version),Bonnie Pointer,Women Of Motown,Tbpneb6ngca6unm4boqbgvs7t34
This Time Baby,Jackie Moore,I'm On My Way / With Your Love,Tufef3rkzpz3x4on5mmecrwkpri
Let's All Chant,Michael Zager Band,Let's All Chant,Tjg2jxmm6alxwdbtkqx4xp2kqvq
