Another One Bites The Dust (Remastered 2011),Queen,The Platinum Collection (2011 Remaster),Tljg6ilhstbdlbl3gcsazw5nl6i
Good Times,Chic,Happy,Tnqx2y7hvlufnxnnsjru6tdjmyi
Money,Pink Floyd,The Dark Side of the Moon,T432x4egp3agvgqddlfzsnc7uji
Come Together,The Beatles Acoustic Trio,Come Together (Remastered 2015 Edition),Twc4l5fyamhuuga6iyxix2nlnaq
Roundabout,Yes,Playlist: Rock,Tuty5bse3vasgyk35qf2qtywa64
Come As You Are,Nirvana,MTV Unplugged In New York,Trzmq2274d3bve3ujhiiuz2dhq4
Seven Nation Army,The White Stripes,Pay Close Attention : XL Recordings,Tv5ta2geitnly2qxhdlknm5e7mi
Thank You (Falettinme Be Mice Elf Agin) [Re-Recorded],Sly Stone,Funk You! '60s & '70s Funk Superstars,Tffyti4i34a5e7pyljirqs4x6cu
Sunshine Of Your Love,Cream,The Very Best Of Cream,Ti6h4w6lq34yn3j6eu6zivlj54a
My Generation,The Who,Austin Powers: The Spy Who Shagged Me Soundtrack,T26fy6ynx6ckhdl2qj4jvnr4ux4
The Chain,Fleetwood Mac,"I, Tonya (Original Motion Picture Soundtrack)",Tglxdckxrgyamfmhq3cwv66ypvy
Billie Jean,Michael Jackson,Michael Jackson's This Is It,Th3ppx7t2ij5vsk3h2whppvtdfu
New Year's Day,U2,The Best Of 1980 - 1990,T35bgjdzfmxpesirw3tflyjshfa
Ball Of Confusion (That's What The World Is Today),The Temptations,Get Up Off That Thing - Greatest Funk Songs,T2fjlul6rjjq3zayyxk74xhqxcq
Under Pressure,David Bowie,Best Of Bowie,T453ridz3omt2jow4st25267q6i
Brown Eyed Girl,Van Morrison,"It Was The Summer of Love - The Beach Boys, The Monkees, Van Morrison & more!",Tmtprwdfqbr2y4xwidpsc5alcpe
London Calling,The Clash,The Essential Rock Sampler,Tcagz6inuczpn6v4gq5n42mnjzu
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,What's Going On,Teiofmrid7ydspu3slulizsdvim
I Feel Love,Donna Summer,I Remember Yesterday,Tfkiuephg6gshle73rs3jnxsdyu
Higher Ground,Red Hot Chili Peppers,Greatest Hits,Tg7m3ct7jgltflnwyecifruy4ge
Dazed and Confused (2014 Remaster),Led Zeppelin,Led Zeppelin,T2uml3vhgz7qf46gbbc63hmvfja
White Rabbit,Jefferson Airplane,The Many Faces of Early American Rock,Tlovmx6wascrzdaelmwcgllzgxu
For the Love of Money,The O'Jays,The Best Of,Tfvrfiupqtun25dxhvxbhxvp22e
Rock Steady,Aretha Franklin,Funk Classics,To6b2qwccuxy32g6lvngpau5yvu
It's Your Thing,The Isley Brothers,It's Our Thing,Tvtdmwuhd3te6o6evil3ecef2we
Superfly,Curtis Mayfield,Da Funk!,Tyj5fyrubczeartxhqjzsxr4iiy
You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),Tb74ykrnmu3nnjkjx4gc2wxfs5m
The Joker,Steve Miller Band,The Joker,Tgeicajewpdna22zojym3afp3a4
Brick House,The Commodores,End Of Year! Party Time,Tmis6d4gjjx2cs7iqkfxvc26mja
Radar Love,Golden Earring,The Continuing Story Of Radar Love,Tozxeazwupld2u4jzv2xuvdsiv4
Badge,Cream,The Very Best Of Cream,Ttwinegw45wjtw2eypgxu2qqcz4
This Charming Man,The Smiths,The Smiths,Tj63nfo5hxp3q4iu764ej6tsqma
Ain't No Mountain High Enough,Marvin Gaye,20th Century Masters: The Millennium Collection: The Best Of Marvin Gaye & Tammi Terrell,Tmoo3kp64id5qmgfyswbu34udrm
I Got You (I Feel Good),James Brown,"The ""Godfather of Soul""",Tw7cbvghdyhc4es3pherexqomzi
Give It Away,Red Hot Chili Peppers,Greatest Hits,Trzuluml6wkuy5swo2h6fil7ble
Blue Monday,New Order,Elektrik World,T6jk2zyp3s2zdbqmfcl33bvb3zi
Down by the River,Neil Young,Greatest Hits,T2a6vrcjicxzqas7ng3vrzsecsu
Longview,Green Day,Greatest Hits: God's Favorite Band,Te2lfhx7cjp5rwcnmtbpz74sxvy
Monkey Gone to Heaven,Pixies,Death To The Pixies,Tsxrszpk7nnwmnmoyid2hmkjukm
Sweet Emotion,Aerosmith,Toys In The Attic,Tusw2n6puuixfspl7kwlgbbcm64
Rapture,Blondie,Once More Into The Bleach,T6l6vdv564hu5soychrpzwt5cwy
Shining Star,"Earth, Wind & Fire","The Essential Earth, Wind & Fire",Tujkiir2ofjgmq3sdmpczyql4hu
Walking On The Moon,The Police,The Very Best Of Sting And The Police,Tj2a5bgp2m7tlnf7iqs2bpn4goa
Low Rider,War (band),Summer Party,Ti3bdrw2j7syl7wj45jbqly7xuq
Papa Was a Rolling Stone,The Temptations,The Best of the Temptations,Tp2wqjjynaorm6tmhraoaanwa7y
Another Brick in the Wall (Part 2),Celtic Pink Floyd,Celtic Pink Floyd,Tmyzrxprp2y5d2qh47ltn6ujuim
Should I Stay or Should I Go,The Clash,Combat Rock,Tqg7uo7ep33hjjl3wem4mwxwygq
Around the World,Daft Punk,Around The World,Tphwjptt5gp4baeyeuteqr7je6m
Fools Gold,The Stone Roses,The Very Best Of The Stone Roses,Tieikeqn7shlkrbwci2md44oszm
Sympathy For The Devil,The Rolling Stones,Hot Rocks 1964-1971,Ta4zoj24cie3kbv4ewckpoliupy
Whipping Post,Allman Brothers Band,"Woodstock, Saugerties, New York, August 14th, 1994 (Hd Remastered Edition)",Ti4hsjfck3t3feg3h55yh4464ta
Golden Years (2010 Harry Maslin Mix),David Bowie,Who Can I Be Now? [1974 - 1976],Twtor3s4rx7colg3nggh4yr55zq
Wanna Be Startin' Somethin',Michael Jackson,Michael Jackson's This Is It,Tm3iqkxvvj24yfjcbtljyw6nc2m
Love Is The Drug,Roxy Music,More Than This: The Best Of Bryan Ferry + Roxy Music,Teadzusj5aqfxvxhweq3xhjayxm
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,The Ultimate Jackie Wilson,Tzv7ejbsokkcdccsf346i6javt4
Moondance,Van Morrison,Superexitos De Los 60,T3ozptb4cunurneb6yac6uqzdnm
Would?,Alice In Chains,Singles (Deluxe Version) [Original Motion Picture Soundtrack],Tpko6txelvch7776yhmfm64usia
Cissy Strut,The Meters,Funk Classics,Tzxhk7v3uqcw4bg2j27yrlaizee
Electric Feel,MGMT,Keep Calm & Be Happy,Tmkghvn6b4vdx3l234c6h32tude
You Can't Hurry Love,The Supremes,Only #s One / 13,Td6eqjalghvkmrkegwtptjyayay
Sloop John B.,Beach Boys,Beach Boys' Party/Stack-O-Tracks,T3dsf4ojlcwqwd6q5yj25q5wysy
"Get Up, Stand Up",The Wailers,Legend - The Best Of Bob Marley And The Wailers,Tslvifvrysc3qnb75fxxxd2ej5y
Maneater,Hall & Oates,"Park West, Chicago, 27 February 1983 (Hd Remastered Edition)",Tqxv7egbxbvcewujvghgwh6ombq
Summertime Blues,Eddie Cochran,Eddie Cochran Summertime Blues,Toufdn2xzutv6565aorkomxzbwm
Josie,Steely Dan,Aja,Ttrjl76q2lx3mzuhnbg66d5ecdu
One Nation Under A Groove,Funkadelic,One Nation Under A Groove (UK),Toajnootq6iuplamb7ubwy7stnm
