Hoochie Coochie Man,Muddy Waters,Hoochie Coochie Man,Tbvk6jzvgjrmtdngqbbglfclb7e
The Thrill Is Gone,B.B. King,Best Of The Blues,Tw6m3euqvsoxzzlnez5xtr3sa4y
Me and The Devil Blues,Robert Johnson,The Devil & Me,Tyovnspubtjniutzcmr5t6cl2tu
Stone Crazy,Buddy Guy,Stone Crazy,Tqahmpnlw6tk3xigezbkq2hehvi
I'd Rather Go Blind,Etta James,Chess Chartbusters Vol. 1,Tmif6a5sgme6rochmnmzd5hdf3i
I'm Tore Down,Freddie King,Kings of King,Txmsy5czv5rxrk3dce3skh657si
(They Call It) Stormy Monday,T-Bone Walker,101 Hits from the Rock 'N' Roll Hall of Fame,Tqvfhbena6bbknpu7szms26ymoa
Boogie Chillen,John Lee Hooker,Boogie Chillen,Tc25by7dsipbsmoliejed4al6fu
Red House,Jimi Hendrix,I've Just Seen a Face,Tz276clqgr2chxskbt6lgnkmktm
Smokestack Lightning,Howlin' Wolf,Howlin' Wolf Plays Smokestack Lightning,T5ltq3ehshsfk7gdnxse7vzq5ea
Nobody Knows You (When You're Down And Out),Bessie Smith,Blues: Platinum Masters,Tzqazcnj6japr6kutjwmfbrsuzm
Bell Bottom Blues,Derek & The Dominos,Classic Eric Clapton,T4uonrxd4oowozbkzula55zy6qa
Still Got The Blues,Gary Moore,Still Got The Blues,Tfsupkta6fv5tghad3bfypt36em
Mustang Sally,Wilson Pickett,Best of Soul: Mustang Sally,Tu4j3rppwfinn2dolyidmbav32q
Ball N' Chain,Big Mama Thornton,Ball And Chain,Toqiv3yv23jhlv6gmany5fqhuue
Born Under A Bad Sign,Albert King,Born Under A Bad Sign,Tk6ib5jgzrsvhirzbx36wiqdg7e
Hideaway,John Mayall,Essence of British Rock,Tiul6yf3fj6tvkvadznlsoed7me
Dust My Broom,Elmore James,Dust My Broom,Tc3dhpejj4cj3p2hpnvw5js6wxe
Hold On I'm Coming,Eric Clapton,Forever Man,T6cvigdaxvrj6iijm5oqxocccv4
The Little Red Rooster,Willie Dixon,I Am The Blues,Thel7pxnjhnddjle7mxb3v3rtjq
Security (Single Version),Etta James,Tell Mama The Complete Muscle Shoals Sessions (Remastered Reissue),Tei7bdegz7ioahckuy3l2xk6xdy
Down In The Hole,The Rolling Stones,Emotional Rescue,T6ulj34qthoo4245bnpgpheebcm
Got My Mojo Working,Muddy Waters,Got My Mojo Working,T2cj4ppgixj4haqkjakujo2bqmq
A Little Less Conversation,Guitar Shorty,American Blues - On the Road,Tmgn2crw3f6whqzcurobvu7nsz4
The Things That I Used To Do,Guitar Slim,The Complete Releases 1951-58,Tmxqeqazsbwtynl25a76tqj3a5u
Life by the Drop,Stevie Ray Vaughan,The Essential Stevie Ray Vaughan And Double Trouble,Tnna5nxomdt7knwneecgy5kzvee
"Damn Right, I've Got the Blues",Buddy Guy,"Damn Right, I've Got The Blues",Toog52k7rr4wauq4hmvw5gl43he
"Boom, Boom",John Lee Hooker,Boom Boom,Tjar4nysq43u64gjdp6p4ppq2rq
Bright Lights,Gary Clark Jr.,House Of Lies (Soundtrack),Tr6wxnycxymmweodu5widlfi63i
Still Rainin',Jonny Lang,Wander This World,Tcydfu3vweogi3k2jgaf72v7qu4
Sweet Home Chicago,Peter Green,The Very Best of Peter Green / The Splinter Group,Temvvxgat57yocsqjtsoygire3m
Thing Called Love,Bonnie Raitt,Nick Of Time,Tqjnxtncgpnxzo2knruprh4mu4q
Green Onions,Booker T,Green Onions,Txmafogvrvdnzflkkdpcc7rdb2e
Midnight Special,Leadbelly,Midnight Special (The Roots Of Bob Dylan 1927 - 1937),T7r32klcrr4vvrbrci22us47v4e
Mess Around,Ray Charles,TV Ad Songs UK 2018,Tkaqfila5dn5dplnha7e4vqq6qi
Little Wing,Jimi Hendrix,Born to Be Wild,T24bamfpno4u3pjweio53wkj3nq
Bad Penny,Rory Gallagher,Top Priority (Remastered 2017),Tk5v6wrozujlqlryej6suwx54ba
Slow Train,Joe Bonamassa,Dust Bowl,Tc44d4hkyqoboi36smjhdvzlgyi
Paying the Cost to Be the Boss,B.B King,Blues Boy,Tzhjfmqw6uhpbvucpawtkcook5u
Farther On Up The Road,Bobby Bland,Greatest R&B Hits Of 1957,Tq2e4k5uts5lrxi7sipitds7fry
Mannish Boy,Muddy Waters,Ten songs for you,Twed6obfui7axgyhy5kwzviisli
Trouble No More,Allman Brothers Band,Trouble No More,T4h54mj6aq2af423dw7yokpd75q
Highway 49,George Thorogood & The Destroyers,Born To Be Bad,T2zywrrlaft2tlanafahe5ssaya
Hellhound On My Trail,Robert Johnson,Robert Johnson's Blues Collection,T73ar7o4kyc47a47ogpn6kczxqu
Help Me,Sonny Boy Williamson,Blues Anthems (Remastered),Tstz6eq5rirpmszlkujlrlf4svy
