(I'm Your) Hoochie Coochie Man,Muddy Waters,Blues Masters Vol. 2,Tla3w7k63mlhl633rladckfsknu
Thrill Is Gone,B.B King,The Original Music Factory Collection,Tnojs65rudw3h4uacyhhsvzulru
Me and the Devil Blues (Take 2),Robert Johnson,All the Greatest Night,Tp7v37eoxtpwtwi4wu4uguh5s4y
Stone Crazy (Rerecorded),Buddy Guy,Chess Rules!,Tktw5phnnfcqpcuyf6lv5qogizq
I'd Rather Go Blind,Etta James,Etta,Tdddv5ptda2lmztpikuai74qfze
I'm Tore Down,Freddie King,Kings of King,Txmsy5czv5rxrk3dce3skh657si
"Red House (Live San Diego Sports Arena, May 25, 1969)",Jimi Hendrix,In the West,T75euvddlk6275be3rqeb54vv34
Smokestack Lightning,Howlin Wolf,100 Blues Hits,Tkxvpioccsm2cudxyzsbzywffye
Nobody Knows You (When You're Down And Out),Bessie Smith,Blues: Platinum Masters,Tzqazcnj6japr6kutjwmfbrsuzm
Bell Bottom Blues,Derek & The Dominos,The Cream Of Clapton,Tihqdx5u6p4kybmta6zlt2vwnke
Still Got the Blues (Live),Gary Moore,Blues and Beyond,Tu6hexynqm3m6glxxp3jotjh5l4
Mustang Sally,Wilson Pickett,Los Clásicos de Soul,Tnxp64kbajcnqfrzd55h7b37g6u
Ball N' Chain,Big Mama Thornton,Ball And Chain,Toqiv3yv23jhlv6gmany5fqhuue
Born Under a Bad Sign (Remastered Live Version),Albert King,Double Tap Zombie Blues,T6a7m6i7czjb357azsscul4vzwy
Hideaway,John Mayall,Essence of British Rock,Tiul6yf3fj6tvkvadznlsoed7me
Dust My Broom,Elmore James,The Blues,Tgqnhqefrkv3up5doav42raopeq
Hold On I'm Coming,Eric Clapton,Forever Man,T6cvigdaxvrj6iijm5oqxocccv4
Little Red Rooster,Willie Dixon,Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),Tpppiwh34jgv77g3v3l7pljap2a
Down In The Hole (Remastered),The Rolling Stones,Emotional Rescue,Tor3e5dwgjpqxeur5mglsrpf3lu
