Take Five,The Dave Brubeck Quartet,Time Out,Tn5pmntxulndl4mdhdmanhqw74i
So What,Miles Davis,Kind Of Blue,T3izkaukeiwhsxjh7bamh7hkuna
"Take the ""A"" Train",Duke Ellington & His Famous Orchestra,Ken Burns Jazz-Duke Ellington,Tqzhdzb6eogi3wm4cmolw67phu4
'Round Midnight,Thelonious Monk,The Very Best Of Jazz - Thelonious Monk,Tfwvy43kwla325trr7mpwwpll7a
My Favorite Things,John Coltrane,The Very Best Of John Coltrane,T47jmbszfctunhqhlavpy6kmiku
A Love Supreme,John Coltrane,The Many Faces of Jazz,T4eyyue5qgwwa3nybgnl2z7uvw4
All Blues,Miles Davis,Kind Of Blue,Twy5n6ky37fz4twqy3rebqowz5i
"Birdland (Bonus Track) (Live: Karl Marx Theater, Havana, Cuba (2nd March 1979))",Weather Report,Japan Live '78 - Remastered + bonus track,T5knzfanzejvgogerknzhs2j3ky
The Girl From Ipanema,Stan Getz & Astrud Gilberto,Little Egypt - 25 Striptease & Burlesque Favourites,T6xrjnpjqfsyjz4gkysd65uumz4
"Sing, Sing, Sing",Benny Goodman And His Orchestra,Ken Burns Jazz - Benny Goodman,Ts37pa2brpbxuhvw4i6pq6vnhky
Strange Fruit,Billie Holiday,Billie's Blues,Tmohivknc4cvbqzc2r2h5dcc7z4
A Night in Tunisia,Dizzy Gillespie,Winter Jazz Party,Teeeqk5efekdcsijk57rqzq4ucm
Giant Steps,John Coltrane,The Very Best Of John Coltrane,Tkhvsgyudnux6aphnixxbusfffy
Blue Rondo A La Turk (previously unreleased),The Dave Brubeck Quartet,Time Out,Tiptheu5gilepu6b6zd6bgazckq
Goodbye Pork Pie Hat,Charles Mingus,Cool Jazz 2,Twumsnrplzlihn2bm4ptc32ecli
Stolen Moments,Oliver Nelson,Modern Jazz,Tofungqxdk34gbp54jjuedrv2bm
West End Blues,Louis Armstrong,125 Ella e Louis Classics (The Beautiful Songs Remastering 2014),Tuxs3sefja355u4euwxterazypi
God Bless the Child,Billie Holiday,Billie's Blues,T2lqbgdwvdlowpvcf4m5iz5g5s4
Cantaloupe Island,Herbie Hancock,Then And Now: The Definitive Herbie Hancock,Tdp6b32czzxyhv6gxn6l7jay3va
My Funny Valentine,Chet Baker,Chet Baker Sings Again,Tt6j43ympg4ydj7k22wt7w7nbn4
Body and Soul,Coleman Hawkins,The Music of nightfall,Tgpq5auyqwpmhd3fdntia746eie
Song For My Father,Horace Silver,Best Of Jazz Songs,Tvusi2gw66lz6idby5b4kg5ys6q
Spain [Live],Chick Corea,The Definitive Chick Corea on Stretch and Concord,Tfo7336ryftuuxjw4c4y7lt5rzq
Blue in Green,Miles Davis,Kind Of Blue,Tpkjxwpnqu26z73w6sklqpsidfa
Naima,John Coltrane,The Ultimate Best of John's Collection,Tjuw7z6yhebgtlxppmn5rvb7inq
