Life on Mars? (2016 Mix),David Bowie,Life On Mars? (2016 Mix),Ty5ez6ypnzjqqsgmvlzrdziqczi
Let It Be (Remastered 2009),The Beatles,Let It Be (Remastered),T4quay3mdnpsnoay2augo5yjd7u
Tangled up in Blue,Bob Dylan,"Greatest Hits, Vol.3",Tx2vejh3hdf6jphruqff2zovave
Unchained Melody,Righteous Brothers,Ghost,Trvzhgkpbojn4jdlhu2jq3c2ffu
Lola,The Kinks,You Really Got Me: The Best Of The Kinks - The Kinks,Tf3qsut65euv6glznysopimdzs4
Redemption Song,Bob Marley & The Wailers,Uprising,Twvwoilpjj4vigz6wtqx3qudwjq
St. James Infirmary,Louis Armstrong,Put ‘Em Down Blues (The Very Best of Louis Armstrong’s Hot Five & Hot Seven 1925-1929),Tqo7ek4vju7ege7iuxa6u2icnai
Somewhere over the Rainbow,Judy Garland,Hearts of Stone,Tlqxj46k3axpapcvrx5xgj2xlaq
I've Got You Under My Skin,Frank Sinatra,Ultimate Sinatra: The Centennial Collection,Tit2dfwwz6aclyw6bterqs7g64a
Everybody Hurts,R.E.M.,Part Lies Part Heart Part Truth Part Garbage 1982-2011,Tkzqu3pq42k6vqwexhjsifeeol4
God's Song (That's Why I Love Mankind),Randy Newman,The Randy Newman Songbook,Tszm3rsasiydwxwqca44czv22y4
Sympathy For The Devil,The Rolling Stones,Hot Rocks 1964-1971,Ta4zoj24cie3kbv4ewckpoliupy
Hallelujah,Jeff Buckley,You and I (Expanded Edition),Tdnyokd24rxwqogosohnc54sj5u
The River,Bruce Springsteen,The River,Tejshcl3n36zqaxzfq5suojsvc4
The Boxer,Simon & Garfunkel,Essential - One For The Lads,Thq5ekdoqxs6k7jsjvexahft6ey
Strange Fruit,Billie Holiday,Billie's Blues,Tmohivknc4cvbqzc2r2h5dcc7z4
God Only Knows,Beach Boys,Beach Boys' Party/Stack-O-Tracks,Tdm4qsjn2tbx4g7rbufjlun6zwe
Dancing Queen,ABBA Stars,Golden Songs,T2kbn2cffdbvktmczomgmtuz6zy
We'll Meet Again,Vera Lynn,Forever Gold -75 All Time Greats,Tywb375wzgnx6v32hm6j2y2wcly
