Johnny B. Goode,Chuck Berry,Rock 'N' Roll Flag,Tgaxik3stuzznqpwxooktnzxxua
Yesterday,The Beatles,25 Golden Ballads Of The Sixties,Ttjqxxzhj7y5urp7ebhgmehz6pm
Like a Rolling Stone,Bob Dylan,Bob Dylan's Greatest Hits,T3hbpmrfrxb7i7monv2ol6t4ynq
Imagine,John Lennon,Volviendo a los 70's Vol. 2,Tk25m4cxysvmvflq2ftafw527um
Stairway To Heaven,Led Zeppelin,"We're Gonna Groove (Pacific Coliseum, Vancouver, BC, March 21st, 1970; Maple Leaf Gardens, Toronto, ON, September 4th, 1971) [Hd Remastered Edition]",Tywpyjhkn2snfsdsilwv427enci
Heartbreak Hotel,Elvis Presley,Rock 'N' Roll Flag,Te2vdgostrt4epcycziccixgko4
Gimme Shelter,The Rolling Stones,Hot Rocks 1964-1971,T2boois2wsgc6qizldzopvrprc4
Let It Be (Remastered 2009),The Beatles,Let It Be (Remastered),T4quay3mdnpsnoay2augo5yjd7u
What's Going On,Marvin Gaye,What's Going On,T5r2nbypngwjiiix55ue52qolqy
Good Vibrations,Beach Boys,Top of the Pops: 1964 - 1969,Tz5jwhudk7arwxskp274qcnprwq
Leah,Roy Orbison,"Oh, Pretty Woman",Tacz2o65lzrvlzyvimc5dieb5di
Respect,Aretha Franklin,100 Greatest Soul,Tlnzubwbz4yzym5kqbus3bgx6h4
Layla,Derek and the Dominos,Top 40 Rock,Tbkjc7y7qojgvdk46xipyw5wsn4
Circles,The Who,My Generation (50th Anniversary / Super Deluxe),Tgskzxguqzpnbsagwipv6vj2tau
Hey Jude,The Beatles,Love,To252wqlk5ufbqzimee6lzwrdxa
The Weight,The Band,Face to Face,T7xbcrqxy2iza4k2uscdz2nutg4
Bohemian Rhapsody (2011 Mix),Queen,A Night At The Opera (Deluxe Edition 2011 Remaster),T4i7qal6ytaxyvo4rjmj3wdbqqi
Born to Run,Bruce Springsteen,Born To Run,Tnlwgpr4rl62zblmhhowiep653a
Wish You Were Here,Pink Floyd,The Best Of Pink Floyd (A Foot In The Door),T7yjtguw6fojuidb6ema6us76ja
Sympathy For The Devil,The Rolling Stones,Hot Rocks 1964-1971,Ta4zoj24cie3kbv4ewckpoliupy
Smells Like Teen Spirit,Nirvana,The Best Broadcast Sessions (Hd Remastered Edition),Tso7b4zxbkgfrwypcv36snyammi
Be My Baby,The Ronettes,Be My Baby,Tvmyiu2umuveqetwongbl23ggji
The Tracks of My Tears,Smokey Robinson & the Miracles,I Care About You,Tnueqfj7d46w2gxi4zgu7xu2qmu
Hotel California,The Eagles,Acoustic The Eagles & James Taylor,Tlpqoraxanycpk6vyw3qm7hqste
Summertime,Righteous brothers,You've Lost That Lovin Feelin,Tbiyzr27as2udr2lkoxwk4gt7eu
I Heard It Through the Grapevine,Marvin Gaye,Top of the Pops: 1964 - 1969,T3z6rfy3uvj3ohm2oahplc3ae6e
(Sittin' On) the Dock of the Bay,Otis Redding,Top of the Pops: 1964 - 1969,Tbvfddwzblaai5ntyk5tpjmthum
I Want To Hold Your Hand,The Beatles,Love,T26jlj4sp7cbqs4joic7khbsk64
What'd I Say,Ray Charles,Heartbreaker,T4xdt574bb5s24oqfmhrsipqqcm
Jailhouse Rock (Movie Version),Elvis Presley,Jailhouse Rock - Elvis Presley,Tov5fm4wbser6p3fbq6ixabfahq
Blowin' In The Wind,Bob Dylan,Chicago 1963 (Hd Remastered Edition),T63t2y5roctttwot4tzptqdfzye
Blitzkrieg Bop,Ramones,Rock Mood Boost,Tiq7ysqjnwov2wwbc6imp6lcna4
Bewildered,James Brown,Papa's Got A Brand New Bag,Tqfn6jaa5bzoy72ymsirlwrykxe
A Change Is Gonna Come,Sam Cooke,A Change Is Gonna Come,T3fo2zddvwduq7pemag53ek2koq
