So What,Miles Davis,Kind Of Blue,T3izkaukeiwhsxjh7bamh7hkuna
"Take the ""A"" Train",Duke Ellington & His Famous Orchestra,Ken Burns Jazz-Duke Ellington,Tqzhdzb6eogi3wm4cmolw67phu4
'Round Midnight,Thelonious Monk,The Very Best Of Jazz - Thelonious Monk,Tfwvy43kwla325trr7mpwwpll7a
My Favorite Things,John Coltrane,The Very Best Of John Coltrane,T47jmbszfctunhqhlavpy6kmiku
Acknowledgement,John Coltrane,John Coltrane: Ken Burns's Jazz,Tgcwo5u4mezrjfpwvj4v6ji7iwq
All Blues,Miles Davis,Kind Of Blue,Twy5n6ky37fz4twqy3rebqowz5i
Birdland,Weather Report,This Is Jazz,Tg5kq5abdqtjqidfmx46ryxwuym
The Girl From Ipanema (Stereo Version) (feat. Astrud Gilberto),Stan Getz,Getz Plays Jobim: The Girl From Ipanema,Tsmrovxrojral6exxnidk36ixb4
"Sing, Sing, Sing",Benny Goodman And His Orchestra,Ken Burns Jazz - Benny Goodman,Ts37pa2brpbxuhvw4i6pq6vnhky
Strange Fruit,Billie Holiday,Greatest Hits,T7nvuiwzd4tncwl7vhzultz77pe
Night In Tunisia,Dizzy Gillespie,The Jazz Biography,Tnwybrwco6dcsikzniijjiald44
Giant Steps,John Coltrane,The Very Best Of John Coltrane,Tkhvsgyudnux6aphnixxbusfffy
Blue Rondo A La Turk (previously unreleased),The Dave Brubeck Quartet,Time Out,Tiptheu5gilepu6b6zd6bgazckq
Goodbye Pork Pie Hat,Charles Mingus,Jazz Essentials,Tryualgjyqouxdzu3mmqdxkl4um
