Fico Assim Sem Você,Adriana Partimpim,Adriana Partimpim,Tlo7nw2ozebvbybijdmx6bb2phi
Ringtone de Amor,Adriana Calcanhotto,Adriana Partimpim Dois,T5okmvxzwxjqo4m5jml452qpjpm
Salada Russa,Adriana Partimpim,Partimpim Tlês,T6kgyzojulgdtqk6uv6hkf2l4zq
Taj Mahal,Adriana Partimpim,Partimpim Tlês,Twga7uszqaxlhmhzzyvmwnfvcwi
Lindo Lago do Amor,Adriana Partimpim,Partimpim Tlês,Twuawexfgio25edzar5elnnvtl4
O Pato,Adriana Partimpim,Partimpim Tlês,Tv5xqws2ezvm6beidgcibqnfe4e
"Criança, Crionça",Adriana Partimpim,Partimpim Tlês,T3icurgby5wpvsnicweikbf2jxm
Por Que os Peixes Falam Francês?,Adriana Partimpim,Partimpim Tlês,Tl32f2svlp4d5mfxy7j7skfayfa
Passaredo,Adriana Partimpim,Partimpim Tlês,Tiwsbgagbgray6hpbxdabevyvta
De Onde Vem o Baião,Adriana Partimpim,Partimpim Tlês,Tzaqtfzfpj32gvhl3ptmzfmvfpe
Tia Nastácia,Adriana Partimpim,Partimpim Tlês,Tpvinzuddc3biugmku7hbmc5khi
Também Vocês,Adriana Partimpim,Partimpim Tlês,Tdqiyfwvjqmyhhxehhgbw3zweri
Acalanto,Adriana Partimpim,Partimpim Tlês,T2kmz5o7ehwuounfupkjtfwxequ
