Written in the Stars (feat. Nate James),JD73,It's A Summer Groove Vol.2 compiled by Joey Negro,Tebqatu5yrbevnrh6kfnopnh5bi
Fantasy (feat. Fraser),JD73,Pure Gold,Tggc5r6vqzt3ibqzua5xfsoiku4
Pure Gold (feat. Miss Modest feat. Miss Modest),JD73,Pure Gold,Topt2dc6jelmjvi2zzfyfv7vmi4
Sweet Stuff,JD73,Pure Gold,Tzlrprqhncvqzfdr4p7srjepn3a
Be Mine (feat. Lana),JD73,Pure Gold,Te4523yii3xdkq53to4d4z77dxa
Step By Step (feat. Fraser),JD73,Pure Gold,Tnioqnxd6ansotxbblawonieb54
Dreams,JD73,Pure Gold,Tu2weq2dhaupocr2sg5xom3i7hq
Written In The Stars (feat. Nate James),JD73,Pure Gold,Tougek2tnecxh5y7zny6wjetp7m
Love Will Save The Day (feat. Miss Modest),JD73,Pure Gold,Troog6djsial4vkvntvb7ox53p4
Into The Night,JD73,Pure Gold,T7bidobie66njgav5tkaohdmw6y
Think Twice (feat. Ella May),JD73,Pure Gold,To3mnt24q6symgbij6r5xzddbwy
Super Sexy (feat. John McCallum),JD73,Pure Gold,T4afs75ymavssyfjwdc22a6akcy
Round and Round (feat. Ella May),JD73,Pure Gold,Txvoeu6lwujo3dahrro2d47z3jm
Storm Chaser,JD73,Pure Gold,Tkcpkespx4xx2t3rdl62xkqqfnu
I See (feat. Fuzzy Jones),JD73,Pure Gold,Tdtwh7fus6msgqxvnrrzregcbq4
