Eu Sou Terrível (Versão remasterizada),Roberto Carlos,Em Ritmo de Aventura (Remasterizado),Tpuq6ym3lsztmma7bzmgxc5rr2y
Como é Grande o Meu Amor por Você (Versão remasterizada),Roberto Carlos,Em Ritmo de Aventura (Remasterizado),T7eoi4gg2ukbbx6yszkqg7plrwu
Por Isso Corro Demais (Versão remasterizada),Roberto Carlos,Em Ritmo de Aventura (Remasterizado),Tmiftq22m3vauefaejvkroyploy
Quando (Versão remasterizada),Roberto Carlos,Em Ritmo de Aventura (Remasterizado),Tpvu3aafm52cebkmznfu3skxnty
Você Não Serve Pra Mim (Versão remasterizada),Roberto Carlos,Em Ritmo de Aventura (Remasterizado),Tmiaxeqev5xagr5fb5epqyqwb5a
Fim de Semana,Roberto Carlos,Roberto Carlos (1982) [Remasterizado],Tloeuu4kp2w5rcmb3e6qwzaa2ba
Meus Amores da Televisao,Roberto Carlos,Roberto Carlos (1982) [Remasterizado],Tgb5m3zuctmi4izqpxyv7fzzmmu
Fera Ferida,Roberto Carlos,Roberto Carlos (1982) [Remasterizado],Thzpz3ynwyyres2vkcmtfkm6ccu
Como é Possível,Roberto Carlos,Roberto Carlos (1982) [Remasterizado],Tvv3ygzdxfl3pwbnuakr3wgkdbu
"Ilegal, Imoral ou Engorda (Versão Remasterizada)",Roberto Carlos,Ilegal Imoral Ou Engorda (Remasterizado),T7kpcgqkzya2ypflwxd46ugt67m
O Progresso (Versão Remasterizada),Roberto Carlos,Ilegal Imoral Ou Engorda (Remasterizado),Tbfluplrgouuouypo63l655wxka
A Menina e o Poeta (Versão Remasterizada),Roberto Carlos,Ilegal Imoral Ou Engorda (Remasterizado),Tcymbbcm2gvt5i6tcvbuog2lrpu
Minha Tia (Versão Remasterizada),Roberto Carlos,Ilegal Imoral Ou Engorda (Remasterizado),Tcs4deqmnchtl2txdsydn2eeqba
Quase Fui Lhe Procurar (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1995) [Remasterizado],Tiiyojhhhoiu24qlfjai5c3rggm
Verde e Amarelo,Roberto Carlos,Roberto Carlos (1985) [Remasterizado],Tqyinywzv6iquxawe365wwbqivu
Símbolo Sexual,Roberto Carlos,Roberto Carlos (1985) [Remasterizado],T7sbktyucybflqgvqhqttw5ykim
Caminhoneiro,Roberto Carlos,Roberto Carlos (1984) [Remasterizado],T65nh4f55vtzmewr3tf2dp4osg4
Eu Te Amo (And I Love Her),Roberto Carlos,Roberto Carlos (1984) [Remasterizado],Ty4ofsjp4m27ukwvgcyps43ky3y
Detalhes (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1971) [Remasterizado],T5f62h3k22uo53pgnn53qzuy5bi
Todos Estão Surdos (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1971) [Remasterizado],Ts2v3xv52e5ov7dsmaruf5ilymu
Debaixo dos Caracóis dos Seus Cabelos (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1971) [Remasterizado],Tbmh6ygoawi5zq4uxlxfik4z55m
Amada Amante (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1971) [Remasterizado],Tfzut2wjsgwr26uynehjhmjr3hq
Quero Que Vá Tudo Pro Inferno (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1975) [Remasterizado],T2gazkio5sdrzc6uypharqvxnxa
Olha (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1975) [Remasterizado],Tggd7a2lpu7e4ltb354r2suyqtm
Além do Horizonte (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1975) [Remasterizado],Tgo2jz3ocwcbyogl62fdthjhmsm
Não Vou Ficar (Versão remasterizada),Roberto Carlos,Roberto Carlos (1969) [Remasterizado],Tudcsqlf6xl5xvfvceyy25lpzny
As Curvas da Estrada de Santos (Versão remasterizada),Roberto Carlos,Roberto Carlos (1969) [Remasterizado],T7jmzdyv4pqslpubfdyhopkjyzm
Sua Estupidez (Vers¦o remasterizada),Roberto Carlos,Roberto Carlos (1969) [Remasterizado],Tfnawee7u6ofnoei2tmgxgzy5r4
A Montanha (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1972) [Remasterizado],Ta57kvrazlqqcb2r3o64ace5nka
É Preciso Saber Viver (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1974) [Remasterizado],Ts35jsp56y634pewovcjpebvdoq
Querem Acabar Comigo (Versão remasterizada),Roberto Carlos,Roberto Carlos (1966) [Remasterizado],Tubdnohnbjtckik5ndjcfzll3eu
Negro Gato (Versão remasterizada),Roberto Carlos,Roberto Carlos (1966) [Remasterizado],Tccmteg3t3fvnxao5jsn4msv3mu
É Papo Firme (Versão remasterizada),Roberto Carlos,Roberto Carlos (1966) [Remasterizado],T73hvqugjuixbikbtdzwk3evxri
O Calhambeque (Road Hog) (Versão remasterizada),Roberto Carlos,É Proibido Fumar (Remasterizado),Twhjh66wl436jp6lxhpbgp3rtuu
Hoje é Domingo (Versão Remasterizada),Roberto Carlos,Roberto Carlos (1993) [Remasterizado],T46swvuhykndoukdhdoiu6zdyp4
É Proibido Fumar (Versão remasterizada),Roberto Carlos,É Proibido Fumar (Remasterizado),Txmoyzd4yppsjbkrdneachjln6e
Splish Splash (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tkcjcjryqaaoewylpsd5strbyre
Os Sete Cabeludos (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tq2titcbctaf3rklhhzxos2smdu
Lobo Mau (The Wanderer) (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tldbtr6d3fk6qn7isj4nitpwzti
Gosto do Jeitinho Dela (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tiw5jfr4yzg2atkemtugo7g3du4
O Velho Homem do Mar (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tcv4oun46ybzh64lccxpjint2ma
Não é Papo Pra Mim (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tcx4qe2c54fv6gudn6lxfb7pbmq
Mexericos da Candinha (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Temlrsc2cpneckh62c3l5wxftom
"Eu Te Amo, Te Amo, Te Amo (Versão remasterizada)",Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tjt2hbqmab47imwmsg2bwnxxsz4
Ciúme de Você (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tj7a3lxw2nq6y3yha35w6qhuzcq
Do Outro Lado da Cidade (Versão remasterizada),Roberto Carlos,Box Roberto Carlos - Anos 60 (Versão Remasterizada),Tahdzcrbi7vek3mvn4zbmcjjz4q
Parei na Contra Mão (Versão remasterizada),Roberto Carlos,Roberto Carlos 1963 (Remasterizado),T7tnhuj6kh2xgvebnk5sq6k7vmq
Na Lua Não Há (Versão remasterizada),Roberto Carlos,Roberto Carlos 1963 (Remasterizado),Txyqdegx2y5rfv33rhuol2hcj7m
