Volta Pra Mim,Cacau Com Leite,"O Melhor do Forró Universitário, Vol 1",Thmjeqe46dyihv2vwtlrjyrjtme
Brigas,Bicho de Pé,A Vida Vai,Trsmzzmftkhvt274hyh2a55jgfa
Eu Só Quero Um Xodó,Bicho de Pé,A Vida Vai,T7bgwb5b6yrj3sgxikt6obbki4y
"Que seja (feat. Dominguinhos, Caju & Castanha, Caju, Castanha, Miltinho Edilberto & Paulo César Pereio)",Bicho de Pé,Que seja,Tvbt2pc4ebdev3ymxrhty6bg4da
Qui Nem Jiló (feat. Baião de Quatro),Rastapé,Fundamental - Rastapé,Toihd2mifpkevs72oh62u5fos3a
Eu Só Quero um Xodó / É Proibido Cochilar / Vem Morena (feat. Baião de Quatro),Rastapé,Fundamental - Rastapé,Tikjcjdz777oxndy5ukr57ovwei
Braia Dengosa/17 Légua e Meia,Bicho de Pé,Olhando Pra Lua (Tributo a Luiz Gonzaga),Trgro654sh2q6uinj7gbholdma4
Quero Ser Feliz Também (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,T2lxxavi7humqnnvarm6n5cd4ya
A Estrada,Cidade Negra,Hits,Td6vgbmh47kmohoqpa3ofyc7qpq
Firmamento (Wrong Girl To Play With),Cidade Negra,Hits,Tcyr6tsx3ks37hs25tzmzc5ewei
Te Ver,Skank,#1 Hits,Ti3binvjrdjze7bty53sanhxtpm
Tão Seu,Skank,#1 Hits,Tu2qhgro3ax3egezd7aloqgw3py
O Amor Não Sabe Esperar (feat. Marisa Monte),Os Paralamas Do Sucesso,A Arte De Os Paralamas Do Sucesso,T645wkzgv3ugikriswzazy4fkiq
Andei Só (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,Tw4cbhspblbkp265ow4dd4twpnm
Do Lado de Cá,Chimarruts,Só Pra Brilhar,Tcgboa77pqghbbwvqr7xi5xxdwa
