Princesinha no Choro,Nelson Faria,Nelson Faria Convida Sandro Haick. Um Café Lá Em Casa,Tg2tcbxxxeuqwaj275adpjdguaa
Sá Marina,Nelson Faria,Nelson Faria Convida Antônio Adolfo. Um Café Lá Em Casa,T5kbaipjbavevyep3kgb7h7y3su
Chega de Saudade,Nelson Faria,Nelson Faria Convida David Sacks. Um Café Lá Em Casa,T4soxhj5r3pmakj5fgwqvhimwsm
Meu Canário Vizinho Azul,Nelson Faria,Nelson Faria Convida David Sacks. Um Café Lá Em Casa,Tqghxnnkzohvgp3wikggt7yqdhi
Só Danço Samba,Nelson Faria,Nelson Faria Convida David Sacks. Um Café Lá Em Casa,Tj3bokecw4bc5yeqoepmpi64rs4
Inutil Paisagem,Nelson Faria,Nelson Faria Convida David Sacks. Um Café Lá Em Casa,Tkc2gkhkhsb5hfbxiejb7rskmve
Samba do Avião,Nelson Faria,Nelson Faria Convida David Sacks. Um Café Lá Em Casa,Tt4iql37bi6tcmc4mdukqfipmaq
Sonoroso,Nelson Faria,Nelson Faria Convida David Sacks. Um Café Lá Em Casa,Trra224lnumca3ahhofy43qzede
Prelúdio N°3,Nelson Faria,Nelson Faria Convida Heraldo do Monte. Um Café Lá Em Casa,Tnm5yutzywzurcpe2iz3whpamn4
Blue Bossa,Nelson Faria,Nelson Faria Convida Heraldo do Monte. Um Café Lá Em Casa,Tyh73tm4bwtke5lt2vwelkmjp4e
Corcovado,Nelson Faria,Nelson Faria Convida Heraldo do Monte. Um Café Lá Em Casa,Tuvjov2fcqde67jgtml6lcxcipi
Catita,Nelson Faria,Nelson Faria Convida Bebê Kramer. Um Café Lá Em Casa,T44wazq4dhohduh3ymynh6oanx4
Breezin' (2015 GH Version),George Benson,The Ultimate Collection,Tfxss7wqll7q4k77exgvrzjn6ne
