The Girl From Ipanema,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T3hfcfhodfoav24hwzbwfilpgz4
Amor em Paz (Once I Loved),Antonio Carlos Jobim,The Composer of Desafinado Plays,Tzlocsmibrwapf5qb7ljxa4bjqu
Once I Loved,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T7qtqvf4s23m3dp2u5tvrlp6zba
Agua De Beber,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tej5vufp55shwqzg3qi2lmas2m4
Vivo Sohando (Dreamer),Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Teesusm4smfidbnzc4nf4vk2asm
Dreamer,Antonio Carlos Jobim,The Composer of Desafinado Plays,Tnu3u7tmajfw22xgiuppenyuizm
O Morro Nao Tem Vez,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T4bqceio242bwcbrrzmpftvjpjm
Insensatez,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Taytfe22zphbflsod2ctkfyuwou
Insensatez,Antonio Carlos Jobim,The Composer of Desafinado Plays,Ten5xzpdkf4mfvucbztahlkr2te
Corcovado,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tsykmntnfc5ltmyynqe6im6j6om
Samba De Uma Nota Só (One Note Samba),Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T7rqz6wmdtoa4uchfjan7hnknge
Meditation,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tx5abjqtskkswgp62r2n4ghd66q
So Danco Samba (Jazz Samba),Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tkbor5kcuwho43dkdsdsxgtpljy
Chega De Saudade,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tur65ze7pz7fmfynhz4bzrenaam
Desafinado,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T5sgao65wafy2jmbj4hcndw4kte
