Do It Again,Steely Dan,Can't Buy A Thrill,Thypkufwesqupjj5gzqmkgpcw7a
Aja,Steely Dan,Aja,Thtdohz2b3bkyhjw5bnoyxlxhfe
I'll Be Around (Remastered Version),The Spinners,Essentials,Trtfbq6fdpweesdaets77wcbine
Sun Goddess (feat. Ramsey Lewis),"Earth, Wind & Fire",Pure... Disco/Funk,T7as6hd53pjmamvwxuiypc34knu
Float On (Single Version),The Floaters,"The ABC's Of Soul, Vol. 3 (Classics From The ABC Records Catalog 1975-1979)",Tk6y4xnclsmxoafimvkfdok3xa4
Good Times,The Jacksons,The Jacksons,Thbnlzyohueqwsaaqebpgbefeya
"Night Fever (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,Greatest,Tigdokrndjgsswavj2yy27sugfy
How Deep Is Your Love,Bee Gees,Greatest,Tqqqhwujoaj4gubom33jnxb3k4a
"More Than A Woman (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,Greatest,Tgfoukylpt6o7qo2il7l2bcxc6i
Love You Inside Out,Bee Gees,Greatest,Teilth5ohwdrfcjbalky6ofreti
Punky's Dilemma,Simon & Garfunkel,Bookends,T4h2gf7xz36lpl262joxtlwkxim
All Along the Watchtower,The Jimi Hendrix Experience,Electric Ladyland,Tixcfaeouvevc5q4ve6o2m5tziy
It's Too Late,Carole King,Tapestry,Txey5rq3uq2b22qyo4xs32bt7eq
Time of the Season (Mono Version),The Zombies,"The Original Studio Recordings, Vol. 4",Tkwwftnfkg4ovd63vmbujswgana
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,Turn! Turn! Turn!,Tcxkczwwf6nropdlb4hawdl4z7a
Wouldn't It Be Nice (Remastered),The Beach Boys,The Very Best Of The Beach Boys: Sounds Of Summer,Tircxxax5bfq5b22xatzfp35u3q
To Sir With Love (2002 Remastered Version),Lulu,Most Of Lulu / Lulu's Album,Thagah7iftego56meyj2ebwj3te
Kodachrome,Paul Simon,The Essential Paul Simon,Typmz3ad7eh43socxjrtihewmfu
Winterlong,Neil Young,Decade,Tmtrkvpafde6467mrk3ahxylcfa
Show Me The Way,Peter Frampton,Frampton,Tcqb7al3rjqtfhsgajghlyo4deq
Suzie Q,Creedence Clearwater Revival,Creedence Clearwater Revival (40th Anniversary Edition),Tsbtli3s3kwhizmowwl2ppdqr6i
King Of The Whole Wide World,Elvis Presley,Kid Galahad/Girls! Girls! Girls! - Elvis Presley,Tsp3x5fib47qbiiqjg2adm6jpx4
Spooky,Dusty Springfield,"Music From The Motion Picture Lock, Stock And Two Smoking Barrels",Tv2ryqyrmajpkioxfvdyoru3dey
Tighten Up,The Black Keys,Brothers (Deluxe),Tsldizpxkv3gl5nxg2xbdfykclm
2120 South Michigan Avenue (Long Version),The Rolling Stones,12 X 5,Tjg3ldsliyrzlths7njzyv32lke
Assedic,LES ESCROCS,Faites-Vous Des Amis,Tmjpm5b32ilebygjd5hq24faq4u
I Can't Wait Until I See My Baby's Face (Remastered),Aretha Franklin,Runnin' Out Of Fools,Tdcqkudkl75put4j7kpg42boioe
Good Times,Matt Bianco,The Best Of Matt Bianco,Ttszuyznz2ab336pf4micvqewpy
The One,All Good Funk Alliance,Pulverising! Green,Ttnah7xyazc2j6pp5v2fyqzbaay
Lowdown (Edit),Boz Scaggs,Silk Degrees,T2xsiutuhm5jpegkqlojexkhcoe
Coming Back Around (Domu Re-Beat Mix),"Domu, Pete Simpson","Papa Records Presents Sounds for the Soul, Vol. 4 (Selected & Compiled by Domu)",Ttklpfl3nc4bxoupqb2tsohqkte
Day What a Day,Fabio Nobile,Day What a Day,T4sq5zyynk7cnkqicbdfkug3yke
I See A Different You,Koop,Freshly Composted 2 - Compost 250,Tgaflbqu3xc755vgo3idmhgflfe
On the Way to San Mateo,Lalo Schifrin,Bullitt,Tvzotebjyjcuxoe7jhfqy4pj3g4
Escapism (Patchworks Boogaloo),Metropolitan Jazz Affair,Find a Way,Thq2sqo6ibg332n4gxaqhxznhbu
Fourmi Rouge,Metropolitan Jazz Affair,Bird of Spring,Tk3ihe7nyqopeduxlumn7myi5xq
Why,Tortured Soul,Introducing Tortured Soul,Tbvrigqcaw7u4viofmsmj5ebiu4
Rain Cat (Enea Dj Remix),Abertico Project,Midnight Loungin,T2d4rb35327npez6u53qxmutngq
Things That Make You Go Hmmmm.... (feat. Freedom Williams),C+C Music Factory,Gonna Make You Sweat,Tpvuk42ea3gfnl4nnexp4q24yoe
Ascension (Don't Ever Wonder),Maxwell,Maxwell's Urban Hang Suite,T6utayayrlyfmpovgj4ulacpatu
"Na Rua, Na Chuva, Na Fazenda (Casinha De Sapê)",Hyldon,"Na Rua, Na Chuva, Na Fazenda",Tspdhmvlf6ix5afgy4szzoezzgm
Chiclete Com Banana,Gilberto Gil,Electric Samba Groove,Thzlpd7t5vei3vguhietpxrgyfu
A Lua e Eu,Cassiano,Soul do Brasil,T7kli7v3eiwuu4zewv4cjqdz6mm
Rio Best-Seller,Cassiano,Cedo Ou Tarde,T4ttxjwrouwssu7srh3tfgyowny
"Theme From ""Shaft""",Isaac Hayes,Greatest Hit Singles,Tpb5lk3sgt7lkipdzqdlvrzjv6u
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
What's Going On,Marvin Gaye,What's Going On (40th Anniversary),Tn3js66ju2stp62qjbzffpxzwxy
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
Be Thankful for What You Got (Pt. 1 & Pt. 2),William DeVaughn,Be Thankful for What You Got,Tg2yju2f7fadm7fef43wmftekm4
Mercy Mercy Me (The Ecology),Marvin Gaye,What's Going On,T4chdqrk774twpils422ea26l5e
Papa Don't Take No Mess (Pt. 1),James Brown,Greatest Breakbeats (2CD),Tugsrpjyi6s2bopqloxcvpattoa
I Want You (Single Version),Marvin Gaye,I Want You,Tb3suhmrqxcw4r47eq5vyiigu7u
Tell Me 'Bout It,Joss Stone,Introducing Joss Stone,Taxmbd4jfgksqugq7tb2e6lfqti
I'm Searching For A Love,Harold Melvin & The Bluenotes,Philadelphia Soul,Tfasfstkvqbdtb5e2yt3sif6nl4
People Get Up And Drive Your Funky Soul,James Brown,The Singles Vol. 9 (1973-1975),Trjiquuogv7fpif4eeekfmh3u5y
Seven Nation Army (Remasterisée),Ben L'Oncle Soul,Ben L'Oncle Soul,T3jakzuh22jgzgrc4usjjgyu47u
Never Can Say Goodbye (Single Version),Jackson 5,Motown The Musical – 100 Originals,Tp2civlv6uyg4y6fxmuw5lq4iz4
Shoutin' The Blues,B.B. King,Spotlight On Lucille,Tu6hlspc6lpqcmgwzswzpbsew2a
Just Got Back From Baby's,ZZ Top,ZZ Top's First Album,Tsdpcuv44mbvsxw4ed6ag3kzhpm
As The World Falls Down,David Bowie,Labyrinth,Tugeih7icbkyend2zwwm6rng2zy
