Never Grow Old,Aretha Franklin,A Little Tenderness: Songs Of Aretha Franklin,T2xvjjos7xbdcyzxbaljixcpn3m
Today I Sing the Blues (Remastered 2015),Aretha Franklin,Aretha (All Tracks Remastered),T3axzjrtnvzvv5uvgzwi255ct6y
Runnin' Out of Fools,Aretha Franklin,Runnin' Out Of Fools,T2pr2fikrrxjenojxg34mhieaqu
Skylark,Aretha Franklin,Laughing On The Outside,Tfugy2kaiah3kqvjmndhoguk3ce
Evil Gal Blues (2002 Mix),Aretha Franklin,The Essential Aretha Franklin,Tw4c4jqifnsrrszjjvt4wkuuq3e
One Step Ahead,Aretha Franklin,A Bit Of Soul,Tlh56mcxqg37foveltdp2bzsjca
I Never Loved a Man (The Way I Love You),Aretha Franklin,30 Greatest Hits,T3hesisctzwl5dv5qfub3ou7x2e
Respect,Aretha Franklin,30 Greatest Hits,To7yffl4ltcul4g7f2sczvnvzxe
"Baby, I Love You",Aretha Franklin,30 Greatest Hits,Tdv2lp7lqak7auzzkv7fy3mwuae
Chain of Fools,Aretha Franklin,30 Greatest Hits,T7ax24giqbx3ivlqeg4v6bfsuma
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,30 Greatest Hits,Tz3tqlswqlhkbdz5fddkxm4yzfe
Good Times,Aretha Franklin,I Never Loved A Man The Way I Love You,Tvi2lrpnkqdtborx6xbobvsp3hq
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,Soul Queen,Tferlt6ws54cc5kgxeqaa3sj2wm
Never Let Me Go,Aretha Franklin,Soul Queen,T6ecdgfrw7shu4avgyadpsnpjrm
Ain't No Way,Aretha Franklin,30 Greatest Hits,Taufa6m7nkgbm5diftqfmazbyyi
I Say a Little Prayer,Aretha Franklin,30 Greatest Hits,Tdoxwo2ld5dtdn2y6ghzzjzwkoa
Share Your Love with Me,Aretha Franklin,30 Greatest Hits,Trfmvkrutyqycyxli6n7otriswm
Let It Be,Aretha Franklin,This Girl's in Love with You,T4e5dmx7med6znoqwn3snd46t3i
You and Me,Aretha Franklin,Soul Queen,T5srqfppkeuvfnluhs2lf3ysj6a
Pullin',Aretha Franklin,Spirit in the Dark,Tkyhdmulv2y4662lnulv2hrgddm
"Bridge over Troubled Water (Live at Fillmore West, San Francisco, February 5, 1971)",Aretha Franklin,Aretha Live at Fillmore West,Tc62sil6gjjjxoabzy2aw3wldpi
"Spirit in the Dark (Live at Fillmore West, San Francisco, February 7, 1971)",Aretha Franklin,Aretha Live at Fillmore West,Tlzlmexlvucf7xzsy4tbsbf5fve
"Spirit in the Dark (Reprise) [Live at Fillmore West, San Francisco, February 7, 1971]",Aretha Franklin,Aretha Live at Fillmore West,T4mng3k5rd3je4f7su3v76h2y6u
"Young, Gifted and Black",Aretha Franklin,"Young, Gifted and Black",Twdptsl3km5khimjpv6hsceq6gy
Oh Me Oh My (I'm a Fool for You Baby),Aretha Franklin,Soul Queen,Thwfhtsfk22fjqx4jaz7h4lxuqq
All the King's Horses,Aretha Franklin,"Young, Gifted and Black",Ti5f4a233wltjrun3cnskor5gqe
"Amazing Grace (Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972)",Aretha Franklin,Amazing Grace: The Complete Recordings,Tgjazndxlo4cvsk5txoxeskzcje
How I Got Over,Aretha Franklin,Amazing Grace,Tmhr63bretcjda5lxg4iogzim7y
Wholy Holy,Aretha Franklin,Religious Soul,Tnswddlg3xzjr26it72mtwnxqmq
A Brand New Me,Aretha Franklin,"Young, Gifted and Black",Tvzsbxck4oxdaude2q2yrwggtke
Spanish Harlem,Aretha Franklin,30 Greatest Hits,Thfuwlg6gan6bgmnbx4ecfg7ami
Angel,Aretha Franklin,30 Greatest Hits,Tlob6p3tu7vi5xqnoymw37g5as4
That's the Way I Feel About Cha,Aretha Franklin,Hey Now Hey (The Other Side Of The Sky),Tryjk7dqeylvlqoplhad24x7i6a
I'm in Love,Aretha Franklin,30 Greatest Hits,Tk53egkhjl63liwj43dtp7xedra
Every Natural Thing,Aretha Franklin,Soul Queen,Toyd73nvtizwe4hwizcxyehejyi
Look into Your Heart,Aretha Franklin,Sparkle,Taysabzbprqqerzu36nssakarvq
Something He Can Feel,Aretha Franklin,Sparkle,T2h47bdmjgklftkxys3w3t4756m
Love All the Hurt Away (Live),Aretha Franklin,Didn't It Rain: The Chicago Sessions (Live),Tqubcs4iiegz4z5rz5spy5nx6xq
"Surely God Is Able (Live at New Bethel Baptist Church, Detroit, MI - July 1987)",Aretha Franklin,"One Lord, One Faith, One Baptism",Tagn3pwibonh66khwt2k3glimhq
What Y'All Came To Do (feat. John Legend),Aretha Franklin,Jewels In The Crown: All Star Duets With The Queen,Tru3enaqvxjq2kxfo2px7x744iy
Don't Waste Your Time,Mary J. Blige,Mary,Tkago53yxq3lr3jfufkdesdwrhm
Nessun Dorma,Aretha Franklin,Jewels In The Crown: All Star Duets With The Queen,Thmporqf6mahnmwdcbx6idypviy
