A Foggy Day,Art Tatum,Keep Calm & Jazz On,Tl6holrjb2dgdoa265olgusvy4e
All the Things You Are,Art Tatum,Jazz Ballads - 18,Tm3btbmapjwmc23ra4xmg3bjxra
Begin the Beguine,Art Tatum,The Genius of Art Tatum,Tb5sqnwxdcaq7czi3mppyqzab6y
Body and Soul,Art Tatum,Jazz Ballads - 18,T3bjqcwuyuemozal3n6ajc3hkx4
Caravan,Art Tatum,Live Performances 1934-1956 Vol.7,Td6wxy3ivgqwlkqzecjfw2f5w6a
Caravan,Art Tatum,The Best Of Art Tatum Vol 8 (Remastered),Trjiisg76epkpric2klud7362vi
Cherokee,Art Tatum,Art Tatum Diamond,Tink7jil4uphp6li7xsd7ygcqci
Chloe,Art Tatum,Autumn Leaves: Romantic Jazz Classics,Tige6fuodrn7ewrxsu5dli6lmxa
Come Rain or Come Shine (Take 2),Art Tatum,Live Performances 1934-1956 Vol.5,T4ch52rdcet73bdp7atpfcxfpxe
Heat Wave,Art Tatum,Solo Masterpieces,Tcckib2lusyqnmhmbxbqwvp3zoq
Honeysuckle Rose,Art Tatum,Moonglow,T2rldp5sfgzfs6ombrfcviqk4be
How High The Moon,Art Tatum,The Jazz Collection Vol. 2,Tcm3edtel3dzij457imjckbnjuy
I Got Rhythm,Art Tatum,Jazz Journeys Presents High Speed Swing - Art Tatum,T365bzuqgd2kb7jfvgwf56dosxi
I'm Gonna Sit Right Down and Write Myself a Letter,Art Tatum,Gene Norman Presents: Art Tatum at the Piano,Tjtyfszzoom46ulp5bnpxjevnsm
In a Sentimental Mood,Art Tatum,Jazz Ballads - 18,Tmayvmj4wkzg7fjwyemvyvywxh4
Limehouse Blues,Art Tatum,All That Jazz,Tkur72lacw5n4kdtywb2zucloo4
Louise,Art Tatum,You're Driving Me Crazy,Tjwuutzehr2w64zmzpnjbsgu7mm
Love Me (Remastered),Art Tatum,Easy Jazz,Tvu5uvmmpxf5tri5k3rzgb2up5m
Love Me,Art Tatum,All God's Chillun,T7gljtklyz6nxm2hwivp6yfqeg4
Love for Sale,Art Tatum,Jazz Ballads - 18,Tgqv3zxmz32crvtk3xvnrktzt4e
Night and Day,Art Tatum,Night and Day,Taxp2h5xh6d7eprwl6gtidvhxf4
Night and Day,Art Tatum,The Song Is You,Tghzir2xtgccklpwlkyap4ilify
Sophisticated Lady,Art Tatum,The Genius of Art Tatum,T2j2cs7eglryoekiasbwpnfebaa
Stardust (Remastered),Art Tatum,Take Five (100 Memorable Jazz Performances),Tolexoz22drkupqlbf7wxptuddi
Stardust,Art Tatum,Jazz Ballads - 18,T4h2xzqy37bt42xd7ur4shqh4tu
Sugar Foot Stomp,Art Tatum,Art Tatum 1945,Tk7cnceszhbnod5crza547uvnee
Sunny Side Of The Street,Art Tatum,The Art Tatum Legacy,T7tg45mv3tynd27dwqkbzadwfbe
Tea For Two,Art Tatum  Solo Piano,Jazz in the Charts Vol. 50 - Moonlight Serenade,Tju6chdipjaijzwmvtuk2yh7dgy
Tea for Two,Art Tatum Trio,111 Swing Classic Masterpieces (Jazz Masters),Tcz5ytmkz3zgl7z2yurlscjbfba
Tenderly,Art Tatum,Jazz Ballads - 18,Th7ib7ymfsiukfr6ffkymlkomiy
There Will Never Be Another You,Art Tatum,This Is...Art Tatum,Tmoery5ksxxdtdeki5doyxlmd2a
These Foolish Things (Remind Me Of You),Art Tatum,The Best Of Art Tatum Vol 8 (Remastered),Txulq4cvi6ow667r3qi6jirv2gq
These Foolish Things,Art Tatum,Solo Masterpieces,Tsqcjxx7wovwc4qgnunjyw6lq6e
They Can't Take That Away from Me,Art Tatum,Jazz Ballads - 18,Tts5mrkk7pk3r5gwvd6acsesply
Three Little Words,Art Tatum,Night and Day,Thnpc2hr7vtvkjgwpaplwi3u2ii
Tiger Rag,Art Tatum,Take The 'A' Train - The Big Band Album,Tmfl4z5aof6j4lliiu3c6sl2ubi
What Is This Thing Called Love (Previously Unissued - Alternate Take),Art Tatum,Complete Masterpieces Part 1,Tewl6nqbtxrlpskhprm3aneko2a
What Is This Thing Called Love? (Live) [Remastered],Art Tatum,Easy Jazz,Tud5rssny5kha4x5xx47axbgq3a
You're Driving Me Crazy,Art Tatum,You're Driving Me Crazy,Tt4alyijgcl7k5vk6xwv4hrhcba
