Balanço Zona Sul,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tu2mvjmwrllrhdhw35cb4nsvv5y
Perfeição,João Bosco,"Não Vou Pro Céu, Mas Já Não Vivo No Chão",Tvf7wsd6mpfmmd7glb3sfd7tnke
Tributo A Martin Luther King,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,T75bopz6vcd3tucedmdainlai2a
Justo Agora,Adriana Calcanhotto,Cantada,T2lsfkpz3puffeduwzjgstf4ope
Sá Marina,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tpncvwumlaiyeycvj443d5mr6rq
Preciso Aprender A Ser So,Elis Regina,Samba Eu Canto Assim,Thidodekxad5cnx2l2ipgxh3e6y
Simples Carinho,Gal Costa,"Songbook João Donato, Vol. 1",Tgbgmff2fqrkdohahon5arpyqty
Happy Hour à Beira Mar,Wilson Simoninha,Live Session At Trama Studios,Tluii6od2vytos2y63d3ir3h4lu
Fotografia (Live),João Bosco,40 Anos Depois (Live),Ttzassawdtgqsmrybk3j6e5cekm
Eu & Você,OSócio,Eu & Você,Tkb72t5nnyhx6tvfkwwicpfb6cy
Que Pena (Ele Já Não Gosta Mais De Mim),Gal Costa,Gal Costa,Tvtry5sxjtqqmaxvjrjghfhlmey
