Superfly,Curtis Mayfield,Da Funk!,Tyj5fyrubczeartxhqjzsxr4iiy
Theme Of Foxy Brown / Overture Of Foxy Brown (Medley),Willie Hutch,Black Power,Tlyaynqb3vn3tldf23hubkrbnt4
I Wanna Get Next To You,Rose Royce,The Very Best Of Rose Royce,Twtu6qq37w7za2ibisau6pf6kwe
I Choose You (feat. Willie Hutch),Not So Friendly Ghost,Beats I Entered Into Contests. I Never Won.,Tpujc7qmbqhsqapfzqolvnhl3lm
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
Car Wash,Rose Royce,Car Wash,Tz332rsnixzzwm3r4bifpqowuzq
Pusherman,Curtis Mayfield,Only The Best Of,Ttr7vgkp3nq7t5hcfnqznwu4e6i
Trouble Man,Marvin Gaye,Trouble Man,Tzysbbgt35s5ogvyhs5k5u447j4
Freddie's Dead,Curtis Mayfield,Only The Best Of,Towpkovjt5zdbj64qmldws7b2ra
"Main Title ""Truck Turner""",Isaac Hayes,Truck Turner (Original Motion Picture Soundtrack),Tlu53eqc7dj2outrelxwqipac54
Sweetback's Theme,Melvin Van Peebles,"The Complete Stax / Volt Soul Singles, Vol. 2: 1968-1971",Txm3xkzocsw35psbvbe3tgj63gu
Human Tornado,Rudy Ray Moore,Big Money Hu$tla$,Trc4hywsluge7t5setqhcxyfa5q
Are You Man Enough,The Four Tops,Are You Man Enough,Tpvqptplaxj77vl6vtvel6vbm2i
Theme From Cleopatra Jones,Joe Simon,Wanted Soul: From Diggers to Music Lovers,T27752wr3r5uk2y7gcnci7nndye
"Theme From Black Belt Jones - Dennis Coffey And Luchi De Jesus (feat. AfroNaught, Agent K., Brass Construction, Dj Spinna, Dj jazzy jeff, Erro, Gergory Issacs, Grupo Batuque, Manu Dibango, Marion Brown, Mongo Santamaria, NusSprit Helenski, Peven Everett, Shaun Escoferry, Totico y Sus Rumberos & Vinia Mojica)",Djinji Brown,"Presents Uncle Junior's Friday Fish Fry ""The Market""",Tyj4odea53rpflwkvh5gg2bwrbe
