Minhas Coisas,Bia & Nino,Minhas Coisas,Tmjwqvzktbsx4vu5if2uiztxxla
O Parquinho,Mundo Bita,"Dorme Dorme Mundo Bita, Vol. 1",Themnrkntdn6vpemx2ic23pvdcu
Menina Moleca,Palavra Cantada,Pauleco e Sandreca,Tmznz3t6e2iyidjztqqovsncnve
Diversão,Doki,Doki e Seus Amigos,Ttom4bmdvjo4x6es5oxwzrn5o2e
Aquarela,Toquinho,Aquarela,Tnhmmlzn47xs7c5pvx2avotutny
Vamos Jogar Bola,Mundo Bita,Bita e as Brincadeiras,T3gyqvjjdmfjrxyvswf3zscoqbq
Cocoricó (Abertura),Hélio Ziskind,Meu Pé Meu Querido Pé,Txwuqrpkkcxswbq5datl3rgibea
Formiguinha,Galinha Pintadinha,"Galinha Pintadinha, Vol. 2",T3hngq6doo6xsumhupjsigicc2q
"Bola de Meia, Bola de Gude",Banda de boca,Mpb Pras Crianças,Tx3rvqomvhibukethe3f46ofmza
O Pato,Zeca Pagodinho,A Arca de Noé,Thwzzxisahsfltzmhops6haylaa
Carrinho bate-bate,Silvio Mansani,No dorso do rinoceronte,Tyjxv26c43bcl5yme3o5s7m3oxq
"Soco, Bate, Vira",Xuxa,Xuxa Só para Baixinhos Vol. 5 - Circo,Tae4atjfkgih3n57wznz4l4uglm
Tu Tu Tu Tupi,Hélio Ziskind,Meu Pé Meu Querido Pé,T7dbxmefj3bqfkmlvzhtzd2bffe
Biquini de Bolinha Amerelinha,Banda de boca,Mpb Pras Crianças,T3ny4tempm4mbcycn7o2ezre4sm
Brincar de Índio,Xuxa,Xou da Xuxa 3,Tqf6od4nxlzdinxsaz3m74o2vqq
Pipoca,Palavra Cantada,Canções de Brincar,Trmlw7uhtrwbjrunwiqtmmnb7sq
-live -vivo Brincando de Estátua,Teleco e Teco
Batuque Na Cozinha,Mart´nália,Música para Colorir,Tqs2bpgt4gutislf2vlporhjgqm
Duelo de Mágicos,Palavra Cantada,Show Brincadeiras Musicais,Ti4r2bbmhyabb553du45fvqz2tu
Eu Não Tenho Onde Morar,Zé Renato,Música para Colorir,Tgwvmhlzevcwra4gnzmiriuhfxu
"Tatu Tá? (feat. Guilherme Kastrup, Natália Matos)",Zeca Baleiro,"Zoró, Vol. 1 (Bichos Esquisitos)",Tvzhnu3od4kqffam4ybvgj5er5u
Tambor Menino (feat. Julia Sarr),Saulo,Baiuno,Tuvom3yjpn6ktuo2iiodnliylc4
Criança Não Trabalha,Palavra Cantada,Para Ficar Com Você,Tp5eklvt46j5vnwykxgovvshhve
Balança Caixão,Bia & Nino,"Bia & Nino - Cantigas e Rimas, Vol. 2",Ts44dgqvjkfpvybdes4tvc47d2y
Som e Fantasia,Fofão,#Fofão Forever,Tetg2cesegclo6tjtg26soxpdvi
Hoje É Domingo,Palavra Cantada,Cantigas de Roda,Twjog7dagjfa2stmrvdcmktcmka
Corre Cotia,Bia & Nino,"Bia & Nino - Cantigas e Rimas, Vol. 1",Txjrfd7qqr6ksk4t66hqxdw5skm
Bolinha De Sabão,Trio Esperanca,Nos Somos O Sucesso,Td6dqbx2actyolfxihrsj5ijo6y
Eu Vou Pegar o Trem,Emcantar,Dum Dum,Tvlrfuwaccbugyejqgoh5q32mby
"Cabeça, Ombro, Joelho e Pé",Bob Zoom,"Bob Zoom, Vol. 2: Português",Tmcqpnspwzf3vgybryq4tqfykyq
Lola Elétrica,Hélio Ziskind & A Turma do Cocoricó,Show no Paiol,Tcy25buhxcoabtq2xapovbsc2q4
