A Foggy Day In London Town,Duke Ellington & His Orchestra,Bacon Sarnie Morning,Txvxz5u3cowtdfad7vt4rzsjtqu
A Foggy Day,Oscar Peterson,The Jazz Soul of Oscar Peterson / Plays the Duke Ellington Songbook / Plays the George Gershwin Songbook / Plays the Harold Arlen Songbook,T263sjj25cjwdcxe6qbk4nsd33q
A Spoonful of Sugar,Duke Ellington,Duke Ellington Plays Mary Poppins,Tbkntggppwii4ahlnayb36fgyc4
After All,Duke Ellington,Blue Serge,Twvrl4lo3zwxptoov4dofcuwd44
All The Things You Are,Duke Ellington,The Duke In Washington,Thpi6acx2vcfewhsr65zdol3a6m
All of Me (feat. Johnny Hodges),Duke Ellington,Jazz Party,Twhdnbcxrnmgb6fisdkkele5yb4
All of Me,Duke Ellington,The Outstanding Duke Ellington,Tvi4u5wszghuswc2d3v5ujuzwfu
"Begin the Beguine (From ""Jubilee"")",Ella Fitzgerald,Vintage Vinyl Collection - Ella Fitzgerald and Duke Ellington,Tdieq64m7u4rw2rqulde3c2ayoy
Body and Soul (Remastered),Duke Ellington,Jumpin' at the Woodside (Remastered),Tu4sxtyzpccqu3dqviggvdezeka
Body and Soul,Duke Ellington,Piano in the Foreground,Tvrhu7ft6qdzecncvtgedfs33ny
C Jam Blues,Earl Hines,The Duke Ellington Songbook,Tzb56l5vatpmsux54qfeekd6ssq
C Jam Blues,John Pizzarelli,Rockin' In Rhythm: A Tribute To Duke Ellington,T72veggyj2obaodeekhltbnpyha
C Jam Blues,Sonny Stitt,Plays Duke Ellington,Tnji3jqutvesisqdbwhnt6p7tva
Caravan,Dizzy Gillespie,A Portrait of Duke Ellington,Tt3n2gwyzrclymfujgm6yuxk6gm
Caravan,Duke Ellington & His Orchestra,Ken Burns Jazz-Duke Ellington,Tdv32knqzumzw65zt4lgzrkjqv4
Caravan,Duke Ellington,Lionel Hampton & Duke Ellington,Tultkvctdpketecjcng5lfkeg3i
Caravan,Earl Hines,The Duke Ellington Songbook,Tgga2ibac2esf2dnciveszxg45m
Caravan,Thelonious Monk,Brilliant Corners / Plays Duke Ellington / Thelonious Monk Trio / Thelonious Monk & Sonny Rollins / Thelonious In Action (Five Original Albums),Tcj6hmot4yhqmyhsuryoi6cn2zm
Caravan,Thelonious Monk,Plays Duke Ellington,Tvadf5mlon4wwaqffcxoylnp6x4
Cheek To Cheek,Ella Fitzgerald,Ella Meets Duke Ellington & Irving Berlin,Tw2724mayygv46pw5py3pq6fmt4
Cherokee,Duke Ellington Orch.,Duke Ellington: The Reprise Studio Recordings,Tdp6rqn4wiealfrtms54y6lgwvi
Corner Pocket (aka Until I Met You),Duke Ellington,First Time! The Count Meets The Duke,Tirxjhfkpel6n5js6u5st3tcm2y
Corner Pocket,Duke Ellington,The Jazz Collection Volume Two,Tfyczau454k5kbak6325w35cbbq
Don't Get Around Much Anymore (feat. Bob Russell & Duke Ellington),Miles Davis,Wild Man Blues,T4o6cooxmf46wws4fpwrafapyw4
Don't Get Around Much Anymore,Duke Ellington,Ken Burns Jazz-Duke Ellington,Tzqiunfronjap3iebi5eil3xp6q
Don't Get Around Much Anymore,Earl Hines,The Duke Ellington Songbook,Tnufzchwytlysci2znvlrawthuy
Don't Get Around Much Anymore,Ella Fitzgerald,Ella Sings the Irving Berlin & Duke Ellington Songbook,Tzz7z5ef6nbr2jwu2ub3wx4vhqq
Don't Get Around Much Anymore,Sonny Stitt,Plays Duke Ellington,Tk6na2jxz3pyg2jtlncu2a2t5v4
Duke Ellington's Sophisticated Lady Melange (Live),Joe Pass,Blues Dues,Twhk4cpuxluxnzu55cemtezbsea
East St. Louis Toodle-oo/Don’t Get Around Much Anymore,John Pizzarelli,Rockin' In Rhythm: A Tribute To Duke Ellington,T4weu6edktitnpmewtil6sc6tbq
Easy To Love,Duke Ellington,25th Anniversary Concert,Tckzxlj5eg6hxucrgrpgkivxauq
Ellington Medley: Don't Get Around Much Anymore / I'm Just a Lucky so and So / Caravan / Sophisticated Lady (Billy Eckstine & Quincy Jones at Basin Street East),Billy Eckstine,Four Classic Albums Plus (Sarah Vaughan and Billy Eckstine Sing the Best of Irving Berlin / Billy Eckstine & Quincy Jones at Basin Street East / Basie-Eckstine Incorporated / Once More with Feeling) [Remastered],Tknyrkyiv5euvf4dwoemqfezgwu
Fly Me to the Moon (Remastered),Duke Ellington Orchestra,Duke Ellington: The Reprise Studio Recordings,Tosn2ifckhhslapynkghhuvglhm
