Midnight Special,Creedence Clearwater Revival,Willy And The Poor Boys (40th Anniversary Edition),Tjagijjgboklxspggf3ei3hgqfa
Cotton Fields,Creedence Clearwater Revival,Willy And The Poor Boys (40th Anniversary Edition),Tjsn3fqzyblbhtcm4liu4hr75au
Suzie Q,Creedence Clearwater Revival,Creedence Clearwater Revival (40th Anniversary Edition),Tsbtli3s3kwhizmowwl2ppdqr6i
Inbetween Days,The Cure,The Head On The Door (Remastered),Thbsislaxtab5cpa3qfjvyibhsm
Proud Mary,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (Ecopac),Tkvklrqc5rmvp7pd55ku5pbty4m
Lodi,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (Ecopac),Trjzxqpqvbhoaxux47c56vysi6i
I Heard It Through The Grapevine,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (Ecopac),Tx3dnol5i6jtetoqsx5inun7e5m
Telegram Sam (2012 Remaster),T.Rex,The Slider (The Visconti Master),Tn3gp7f2sbrytknrjs6y7av76n4
I Love It Loud,Kiss,Creatures Of The Night (Remastered),Tfhidd3ai7zq2kra4b3uvhmbsu4
Rocket Man,Elton John,Os Maiores Cantores de Todos os Tempos,Tvtr57cpgthmqgyek2kmkk6mjlq
Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,Honky Chateau,T4dqsr6u2muxew5getd573gfnj4
Tom Sawyer,Rush,Moving Pictures,Ttyyqkjx6mldxs6a4mnekviozua
Born On The Bayou,Creedence Clearwater Revival,Bayou Country (40th Anniversary Edition),T6uypnaglbysvgji5tdtdzlrrke
Good Golly Miss Molly,Creedence Clearwater Revival,Bayou Country (40th Anniversary Edition),Tqqltld422haayui42cgnrlzaxm
Jeepster,T. Rex,Electric Warrior,Tnsggcjnj7kuwxlkxvcquvr5xea
New York City,T. Rex,Futuristic Dragon (Deluxe),Tqi2kpywvlcbtyk4bwo5hjima2e
YYZ,Rush,Moving Pictures,Tzw4yd4z7o3t6ytbmw5k3u3u7km
