Allons A Lafayette,Joe Falcon & Cleoma Breaux,J'ai Ete Au Bal - Vol. 1 (I Went To The Dance),Tx4bg5u2muitcg2gdfptvuyypcq
Lágrimas Negras,Trio Matamoros,"Trios de Oro, Vol. 2",T37ndvmzgmnhtduuikf4bakyole
St. James Infirmary,Louis Armstrong,Put ‘Em Down Blues (The Very Best of Louis Armstrong’s Hot Five & Hot Seven 1925-1929),Tqo7ek4vju7ege7iuxa6u2icnai
El Manisero (The Peanut Vendor),Don Azpiazu & The Havana Casino Orchestra,Bossa Nova Calypso,Tmrcivcgtdsswy6sfwh3te7tjwa
Minnie the Moocher,Cab Calloway Orchestra,111 Swing Classic Masterpieces (Jazz Masters),Tri3ncuyszxfehh5pvleoynyrvi
Need a Little Sugar in My Bowl ,Bessie Smith,The Lp Library,T6gkqyb7or4d22i6bvckd5fd7fq
"Brother, Can You Spare a Dime?",Bing Crosby,"Brother, Can You Spare a Dime?",Tpeab3xelbr4u5jpt6nxmhwmxk4
Mal Hombre,Lydia Mendoza,Mal Hombre,Tjomk7z4b5b4xfft4637smh2f7e
Hula Girl,Sol Hoopii,Ticklin' The String,Tt32alw4g4kydo6v5rixabky6vm
Can the Circle Be Unbroken?,The Carter Family,Can the Circle Be Unbroken?,Ta45bnff2jymkedzpwdqzv2qf5i
Cross Road Blues,Robert Johnson,Crossroad Blues,Tcibo2k632sxp6mnrcmgzcvobdu
Hellhound on My Trail,Robert Johnson,The Complete Recordings,T4mucn56ndmutx54egjm2kzyfbq
Strange Fruit,Billie Holiday,Billie's Blues,Tmohivknc4cvbqzc2r2h5dcc7z4
Over The Rainbow,Judy Garland,Forever Gold -75 All Time Greats,Tu7rrq3sgx3va6ymxmhaevpiqkm
The Gallis Pole,Lead Belly,Absolutely The Best,Telhvd7qht7m776cekwiwuhjs2a
Mbube,Solomon Linda & The Evening Birds,In the Jungle Vol. 2,T6a5hqorzqqqmomb36orbtk74oe
Java Jive,Ink Spots,Inkspots,Ts5yrgxmr3e4utsags3a65yu3i4
Gloomy Sunday,Billie Holiday,Gloomy Sunday (Songs from Bob Dylans Theme Time Radio Hour 1940 - 1949),Td63tog65oosph2xnjy4mvrgxq4
Guajira Guantanamera,Joseìto Fernàndez,100 Voces 100 Canciones,Tqiyzo3b3vlgi73l4ludxtuo2l4
God Bless the Child,Billie Holiday,Billie's Blues,T2lqbgdwvdlowpvcf4m5iz5g5s4
Stormy Weather,Lena Horne,Lena Horne: Stormy Weather,Tkt7wzgin2gknjbzraoiluenywm
Rum And Coca Cola,Lord Invader,"Classic Music Of Trinidad, Vol. 1",Ttclhpv47lx4mrfw4jscwr74iva
This Land Is Your Land,Woody Guthrie,So Long It's Been Good to Know You,Twkuj45uin7e3ounjjz664kpu6m
Lili Marleen,Marlene Dietrich,Lili Marleen,Txatjuew4vs4toq7ywih3ubb5wy
(Get Your Kicks On) Route 66,King Cole Trio,100 Jazz Rarities Vol.19 - The Mid 40's Part III,T6np6ck7lqjf676hwglk7sky2by
Al Gurugu,La Nina de Los Peines,Cantaores (Vol. 2),Tzxptj73nedvcxsr5rigfh4a4ci
La Vie En Rose,Edith Piaf,La Vie En Rose & Other French Café Classics,Tjg7jpc5wlth6i267mimqxrrlsm
La mer,Charles Trenet,Vive La France,T6ya6bkhfwz5v7od7ed4ahflr6i
White Christmas,Bing Crosby,Weihnachtslieder aus aller Welt,Tr4g37yoqod2qrgx5szhn24xv7q
Good Rockin' Tonight,Roy Brown,"Classic Blues by the Spoonful, Vol. 1",Tdf6wsn5eudehhwtkhps7c7htly
