Uni-Duni-Tê,Trem Da Alegria,Trem Da Alegria,T5bjjd6ta5tahk3vizz3csdoo2i
Piruetas,Os Trapalhões,Chico E Vinícius Para Crianças,Tiouuawnb6ojjwswnxk66mb4zfu
Ciranda,Palavra Cantada,Canções de Brincar,Tdfgc7hrr6idkh7ibnbfetrz3nm
Sítio do Picapau Amarelo,Gilberto Gil,Sítio do Picapau Amarelo,Tuqnq6ngwo5jxcnsrpc5n2zv4wm
De Gotinha em Gotinha,Palavra Cantada,Vem Dançar Com a Gente,T7xtllpjhfpdb4commmaprtrx5a
!,Pato Fu,Toda Cura Para Todo Mal,Ttauq4ik3n5fyfxnar4qbcbm67i
Escravos De Jó,Barbatuques,Tum Pá,Tu45ck4clipdwnsv5b44vnd4v2m
É Bom Viajar,Ivete Sangalo,A Casa Amarela,T6ddpem5ge2qxmzauzfq5j5mcua
O Explorador,Palavra Cantada,Vamos Brincar,Tt3asfvuenycxtv4ae7yp4pugrq
Água,Palavra Cantada,Canções de Brincar,Tbjj5ovhohzqusmyziyvb3l3zg4
Samba Lelê,Barbatuques,Tum Pá,T2tznrbpaf6hikomp5mrpdqmscm
Piuí Abacaxí (feat. Xuxa),Trem Da Alegria,Trem da Alegria,Tic35p64wlh4bqdtsopsj26zk2u
Lua de Cristal,Xuxa,Xuxa 5,Tjmullwdx2sxvoh53p6vqswb35m
Superfantastico (Super Fantastico) (feat. Djavan),A Turma Do Balão Mágico,A Turma do Balão Mágico,Tq7clzhyk2fuqntabf3ozrp7hhy
Amigos do Peito (Somos Amigos) (feat. Fábio Jr.),A Turma Do Balão Mágico,A Turma do Balão Mágico,T7za5b2nbhe4va3oswd5itq5jkq
A Galinha Magricela (La Gallina Papanatas),A Turma Do Balão Mágico,A Turma do Balão Mágico,Tcpqizmc6jp56i6oq5vdix6sarm
Baile dos Passarinhos (Tschip Tschip Tschip),A Turma Do Balão Mágico,A Turma do Balão Mágico,Treayxwkufwgyh76dg5i3qondva
Ursinho Pimpão (Mi Osito Pelón),A Turma Do Balão Mágico,A Turma do Balão Mágico,T7old5yso337ag4mkkyrkovd3ji
Dia dos Pais (Mi Amigo Felix),A Turma Do Balão Mágico,A Turma do Balão Mágico,Temktcvsukpoug2wwgjhdcii5hy
