Sangrando (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Thg77yv7irmeh3ejqfnwpmva6ly
Dias De Luna (Dias De Lua) (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Tuermgtqmsoxmdlwkv2jsd7njwi
Não dá Mais Pra Segurar (Explode Coração),Emílio Santiago,Maxximum - Emílio Santiago,Tjctqtfjuzv72pxk5yuitsgz6za
E Vamos À Luta (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Txytdwwuvbihfs5k3euisavddva
Deixa Dílson E Vamos Nelson (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Tvjtdjsokor2ca6v5gpabbwtpzm
Canto de Ossanha,Emílio Santiago,Maxximum - Emílio Santiago,Tz3rzthrqlcu6uwkfjwvkoy4k7i
Avassaladora (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,T6nbpxa3raiopqbdgxmrhrza56y
Eclipse,Emílio Santiago,Maxximum - Emílio Santiago,Tbtduzqh4nwe5f6miz3k7esr6x4
Vivo Sonhando / Triste / Meditação (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Ta4vvxj3bpr4hhpiixva6oivin4
Manhã de Carnaval,Emílio Santiago,Maxximum - Emílio Santiago,Taxgtg2txe2ds7ihkqwleyfcyuu
Anos Dourados (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Tffnrjbmtzfes7mihqszg2xawsq
Si Me Enamoro (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Tqp53hadapmyl45pr4g232fgscu
Rio,Emílio Santiago,Maxximum - Emílio Santiago,T4m2lvwm7pxbeti5z2jctayvxsm
Garota de Ipanema (Bonus Track),Emílio Santiago,Maxximum - Emílio Santiago,T2lclfgflklkopsglnnfyhttdgy
Bateu Pra Trás,Emílio Santiago,Maxximum - Emílio Santiago,Twh6hu5c76v2lesbyzno7fql6oy
Escuta,Ângela Maria,Maxximum - Emílio Santiago,Txgnjro53n2mxnvtsciowzwsogu
Noves Fora,Fagner,Maxximum - Emílio Santiago,Tnkn6xcuqbqc7pivgjkbznigkme
Detalhes / Além Do Horizonte,Emílio Santiago,Emílio Santiago Personalidade,Tltggz6tl2xirxzuohdifiowkqe
A Noite (Ao Vivo),Emílio Santiago,Emílio Santiago Personalidade,Tvocfsg7fis3ijje34q46rklo2m
Homenagem Ao Malandro,Emílio Santiago,Emílio Santiago Personalidade,T5cp2u6jgifnukpnr4j6d7pht3i
Noite Acesa,Emílio Santiago,Emílio Santiago Personalidade,Toll7jt32wdxpe4k64pwbz2tl2m
Ultima Forma,Emílio Santiago,Emílio Santiago Personalidade,Tpuj4d2ze5ytsx7gfeuevaau5ve
Velas Içadas,Emílio Santiago,Emílio Santiago Personalidade,Tqewhlvpk4yc27i5gm3chohplde
Meu Pranto Rolou / Se Ela Quisesse / Turbilhão,Emílio Santiago,Emílio Santiago Personalidade,Tvsadgx3mvjluy2p7osakxweiam
As Rosas Não Falam,Emílio Santiago,Emílio Santiago Personalidade,Tzvsnqfwnwqlkj63qlnj736qxwm
Dores De Amores,Emílio Santiago,Emílio Santiago Personalidade,Twv27ki66sdjswlpbqxat3hd7g4
Ensaios De Amor,Emílio Santiago,Emílio Santiago Personalidade,T2x73yu7x4qjikjfsyxol3thcty
Logo Agora,Emílio Santiago,Emílio Santiago Sem Limite,Twulqz7dxy4rve4xiacsmiwpl6i
O Mestre Sala Dos Mares / De Frente Pro Crime / Kid Cavaquinho,Emílio Santiago,Emílio Santiago Sem Limite,Tjl7qfg6u6yq2l2f3jhps2pfg5a
A Lua E Eu / Juventude Transviada,Emílio Santiago,Emílio Santiago Sem Limite,Trghvrdqc6u5rit73b2btjnez7e
Amigo É Pra Essas Coisas (feat. João Nogueira),Emílio Santiago,Emílio Santiago Sem Limite,Trw6dpw4zzexpxks3oklx5u4q7m
Ultima Forma,Emílio Santiago,Emílio Santiago Sem Limite,T62kjodowcy3tyug7irtw4z6wyq
Guerreiro Coração (Ao Vivo),Emílio Santiago,Emílio Santiago Sem Limite,Tqll3l367frbktccx3brbr5ov4u
Domingo,Emílio Santiago,Emílio Santiago Sem Limite,Tqqcvhvhx2ecbcqegigmiqq6qh4
Pelo Amor De Deus,Emílio Santiago,Emílio Santiago Sem Limite,T5q5rcy3v6ldt7hpvsyrbvpibuq
Nega,Emílio Santiago,Emílio Santiago Sem Limite,T64wmizb772vo4jnt6ynjqcczfq
Aquarela Brasileira / Mulher Brasileira / Nega De Obaluae,Emílio Santiago,Emílio Santiago Sem Limite,Twk2qufxo4e7gk7olszm3lrrg2y
Dores De Amores,Emílio Santiago,Emílio Santiago Sem Limite,Togorrqxmbdjmbrauz4ashyqexu
As Rosas Não Falam,Emílio Santiago,Emílio Santiago Sem Limite,T2bjwgdtfotwtyt4q7kpkwyvn4e
Trocando Em Miúdos,Emílio Santiago,Emílio Santiago Sem Limite,Tj5dedl42kb5isr3daqdljrx5yq
"Dois Pra Lá, Dois Pra Cá / Qualquer Coisa",Emílio Santiago,Emílio Santiago Sem Limite,Tq2ocgywhnbfvlusmooss3kicb4
Outra Vez,Emílio Santiago,Emílio Santiago Sem Limite,Tcuodlqlv7tzzstu7hybnct3zba
Recado,Emílio Santiago,Emílio Santiago Sem Limite,Tfco5knwelkw4qmicsidoyycjs4
O Homem Do Pacoval / Sonhar Com Rei Dá Leão / Os Sertões / Arte Neegra Na Legendária Bahia,Emílio Santiago,Emílio Santiago Sem Limite,Tr3yv3er63h2fcosd6tdreucwme
Grito de Alerta,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,T4hhkwotam3rwjijqqmqgvo5dzy
Brigas,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tp3mrd2d52jd665d25lz3bzjuie
Minha Namorada,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tl46rllx5qlioykhylf7oxcpukq
Não dá Mais Pra Segurar (Explode Coração),Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,T25d5grjwvmqjbgxsbbhjyonwna
Corcovado,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tjwbnmoy2bjmvz6alaruiubbghq
Sangrando,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tcdvpehrdsh6mooryk5lsefug6i
Canto de Ossanha,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tdwb6pmf7zweigii4a64hj6zq3e
"Espere por Mim, Morena",Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,T3ih6kqvl44xsmzsukcy76suhoy
Garota de Ipanema (Bonus Track),Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tpfjekyajagitybjwo5c4qvmvri
Anos Dourados,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tdfd5mddiua6gd4u4jkyss5h2gy
Vivo Sonhando / Triste / Meditação,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tlclczmnwqovsqtmjiiu5intjoa
Faixa de Cetim (BRSME0000521),Emilio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tjhsnucmi73tzqisrvzrnz5erj4
O Que é o Que é?,Emilio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tjasreotjnsgcycgt7eh5e3aewq
Guerreiro Coração (Ao Vivo),Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tnxwgjtmj7xxfowy3qrgdyxrqxq
Saigon,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,T24wqiv6lx2cg56dp2sp7dvzpn4
O Mestre Sala Dos Mares / De Frente Pro Crime / Kid Cavaquinho,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tr7fbatdrv4xglp24jcz3wrii24
Pelo Amor De Deus,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tsn3447bbljxocmbutih7a4rbmu
Logo Agora,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Ta4fz6kvlizrtf5nhbiv33ebkmm
"Dois Pra Lá, Dois Pra Cá / Qualquer Coisa (Medley)",Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tjotw5cxyemjl5lobgbcsdqatai
A Lua E Eu / Juventude Transviada,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tbrasj7jxjawnc47yeufdasuaie
As Rosas Não Falam,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tcj3honn7fujwcdoseiga4fewcq
Trocando Em Miúdos,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Trkmfdcccsnsfsyoyho43pemboi
Nega,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tzocrp35g4h47exq6dtn7ieebv4
Amigo É Pra Essas Coisas (feat. João Nogueira),Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tdxtduovrfw6v64jikm5plcctqq
A Noite (Ao Vivo),Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,T67ef3aovgecah2dbaw35nxlpry
