Sultans Of Swing,Dire Straits,Dire Straits,Tlqbvqhnjjyvtkz67sdvvwxjhpq
Every Breath You Take,The Police,Stranger Things (Soundtrack from the Netflix Original Series),Tlazbjnxnz5vovb6hinzy3mepzy
Roxanne,The Police,Outlandos D'Amour (Remastered 2003),T4g5wfzhtvwjgqsubmn6yyzj2oa
So Lonely,The Police,Outlandos D'Amour (Remastered 2003),Tedp7lszrqmqofiulptqgqruypi
Lovesong,The Cure,Galore: The Singles 1987-1997,Ton24a5gcspsxm6p2bqi66dud4m
Catch,The Cure,Galore: The Singles 1987-1997,Tj3tqtfs3ssvrls6ol2oxpvwl2u
Why Can't I Be You?,The Cure,Galore: The Singles 1987-1997,Txlhl3dx62njw4z6na6trevk7nu
Just Like Heaven,The Cure,Galore: The Singles 1987-1997,Tvml6yblgsh4k2dobgt33lcivkq
Boys Don't Cry,The Cure,Staring at the Sea: The Singles,T6xuieg6hhb5kn7kyoafpzzvnpi
Inbetween Days,The Cure,Staring at the Sea: The Singles,Tgyb35lbtf5cyredxavkfvgt3sy
The Killing Moon,Echo And The Bunnymen,Ocean Rain (Expanded & Remastered),Twgxec3cq6jcrjdwap64kiwepji
Money For Nothing,Dire Straits,Brothers In Arms,Temrlt7eldlubp5a3ny4boqf6wm
So Far Away (Full Version),Dire Straits,Brothers In Arms,Tkkpe5355rrmn25kudjh7ao25eu
Born to Run,Bruce Springsteen,Born To Run,Tnlwgpr4rl62zblmhhowiep653a
Hungry Heart,Bruce Springsteen,The River,Tp5736ldxbhzvkt6qrts5tc6vt4
Beds Are Burning (Remastered),Midnight Oil,Diesel And Dust,Tdmcl5tkpkimt6xkmixqc57itzm
This Charming Man (2008 Remastered Version),The Smiths,The Sound Of The Smiths,T4eitajlydrkdfija4x7kqygnte
Luka,Suzanne Vega,Solitude Standing,Tnq6wgnv5g5c2ggdl7pselwqwcu
One,U2,Achtung Baby,T3pffna3vcml2loczcvriofjbwy
The Boy With The Thorn In His Side,The Smiths,The Sound Of The Smiths,T46oltnsibiu6ujxzxj7lc2iq2y
Ask,The Smiths,The Sound Of The Smiths,T2hb6r5oke6fr6hwyooprvoy5ny
Girlfriend In A Coma,The Smiths,The Sound Of The Smiths,Tsfngtwf7cvc523qglxyixdtdua
Sunday Bloody Sunday (Remastered 2008),U2,War (Deluxe Edition Remastered),T2k63d7lvi6ca3b4mbpbjiv272q
Inside Out,Mighty Lemon Drops,World Without End,Tsqoyzewjw6noblkc6ldv7ozcka
Don't Get Me Wrong,Pretenders,Get Close,Tzedxvu7fszzcf3ii4f4yaoats4
Back on the Chain Gang (2007 Remaster),Pretenders,Learning To Crawl [Expanded and Remastered],T4xvbhjubyri3kvrax7f5hlz5qe
Middle of the Road,Pretenders,Original Album Series,Tujd32gf6z7rmxuiwnuw63mevxa
Summer of Love,The B-52's,Time Capsule,Th7rwfmru6zc6wf4ld4wxzcutdy
Love Shack,The B-52's,Time Capsule,Twzbwbwodipzb7zvqmswww2hp5y
Legal Tender,The B-52s,Whammy!,Thxc42lfabmwjmq4mfcv4hx7ufi
Dreamtime,The Cult,Dreamtime,Tvotk3kri5foz4qd4nrhr3nsbga
Who Can It Be Now?,Men At Work,The Best Of Men At Work,Tvq6lapu5q3c3pjouhk32fgid3e
Down Under,Men At Work,Business As Usual,Tljl54rto74vsv5lsyxmvdutohe
Overkill,Men At Work,Cargo,Tqxlqax5tamhcyae2dm52qs63uq
It's A Mistake,Men At Work,Cargo,Thvzkn2woppg4espr3ifnks6tim
I Still Haven't Found What I'm Looking For (Remastered 2007),U2,The Joshua Tree,Tq5j5cns63ian6ee4ty5fkzwedi
With Or Without You (Remastered),U2,The Joshua Tree,T6rrxaihpq3isrg6u6t53losasq
Regret (2015 Remaster),New Order,Republic,T2gb6nno47vww4xl4ais6djocoy
Age of Consent (2015 Remaster),New Order,Power Corruption and Lies,Tkpevayyszsuutmxjta4eawpvum
Bizarre Love Triangle '94,New Order,(The Best Of) New Order,Tnxbufz2t6nciqhzj5qjsnngeoi
Faith (Remastered),George Michael,Faith,Tqgi2it52umqq7j5zmywclyxqku
Wake Me up Before You Go-Go,Wham!,Make It Big,Thuc7widowrbkag6fru5244dpfy
A View to a Kill,Duran Duran,Greatest,Tq4uynywhzhvqea23egfcclbdx4
Save a Prayer (Single Version),Duran Duran,Greatest,Tbz2guvompnaxjkra5zgwqniimu
Rio (US Edit),Duran Duran,Greatest,Tzuq2k2w3i3ut6iborx2cyua3ny
Hungry Like the Wolf,Duran Duran,Greatest,T6blhg3fayhiwy7bwjfvypksqqa
"I Don't Want Your Love (Shep Pettibone 7"" Mix)",Duran Duran,Greatest,Taoyhellxnlb4qcpt6hfv5z2z5u
Notorious,Duran Duran,Greatest,Tsvf2iuivkk35e42e5hrhzscade
Everybody Wants To Rule The World,Tears for Fears,Rule The World: The Greatest Hits,Tykdktfeqbitagzoebzmxbwi62q
"Shout (7"" Edit)",Tears for Fears,Rule The World: The Greatest Hits,Tep25dclqenfw7447lvaiqaq7ki
Sowing The Seeds Of Love,Tears for Fears,Rule The World: The Greatest Hits,Tgerwyyrdnsdmutd4ec6wv3v3d4
Head Over Heels,Tears for Fears,Rule The World: The Greatest Hits,Tbsi3mtae4n34poagjt55cihscm
Woman In Chains (feat. Oleta Adams),Tears for Fears,Rule The World: The Greatest Hits,Tngljoyofq4rld4x7izsmdjbv2m
