10:15 Saturday Night,The Cure,Staring at the Sea: The Singles,Tqlnkbnzmopgj474cwdxc7ar5ri
Killing An Arab,The Cure,Staring at the Sea: The Singles,Tthaplkfmlf7numznklg5ciivxm
Boys Don't Cry,The Cure,Staring at the Sea: The Singles,T6xuieg6hhb5kn7kyoafpzzvnpi
Jumping Someone Else's Train,The Cure,Staring at the Sea: The Singles,T5dhivofjutz55e2z2lgywnmdwq
Inbetween Days,The Cure,Staring at the Sea: The Singles,Tgyb35lbtf5cyredxavkfvgt3sy
The Lovecats,The Cure,Staring at the Sea: The Singles,Tx55nkytqkv3rfl4h2upmdxwvvu
The Caterpillar,The Cure,Staring at the Sea: The Singles,Tmpmk3aenmny35a5eghnzhedrga
Just Like Heaven,The Cure,Galore: The Singles 1987-1997,Tvml6yblgsh4k2dobgt33lcivkq
Catch,The Cure,Galore: The Singles 1987-1997,Tj3tqtfs3ssvrls6ol2oxpvwl2u
Friday I'm In Love,The Cure,Galore: The Singles 1987-1997,Twu2bchcaarjvpk72zbaqqlx2vi
Lullaby,The Cure,Galore: The Singles 1987-1997,Tdcayualcg3oohqi6avsdvc4kay
Lovesong,The Cure,Galore: The Singles 1987-1997,Ton24a5gcspsxm6p2bqi66dud4m
This Charming Man (2008 Remastered Version),The Smiths,The Sound Of The Smiths,T4eitajlydrkdfija4x7kqygnte
Heaven Knows I'm Miserable Now,The Smiths,The Sound Of The Smiths,T4677hwtkxgpgxgbpdqfoig5wfu
Girlfriend In A Coma,The Smiths,The Sound Of The Smiths,Tsfngtwf7cvc523qglxyixdtdua
The Boy With The Thorn In His Side,The Smiths,The Sound Of The Smiths,T46oltnsibiu6ujxzxj7lc2iq2y
Everyday Is Like Sunday (2011 Remaster),Morrissey,Viva Hate [2011 - Remaster],Tjcvwv32svyj5bgddbxshhodgbm
Suedehead (2011 Remaster),Morrissey,Viva Hate [2011 - Remaster],Toioengtzge2fkxbol46mzztgfi
Roxanne,The Police,Outlandos D'Amour (Remastered 2003),T4g5wfzhtvwjgqsubmn6yyzj2oa
So Lonely,The Police,The Very Best Of Sting And The Police,Tesaxii6us7x3x4nr5gwllbz7m4
Every Breath You Take,The Police,The Very Best Of Sting And The Police,Td2kgpjjpvm44xbogeca6se6p2i
Cities In Dust,Siouxsie And The Banshees,Tinderbox (Remastered) (Expanded),Tfuyrp6fcevptrtkug5ja4p7lsa
Here's Where the Story Ends,The Sundays,"Reading, Writing & Arithmetic",Tmgkxezjgwninp7qc7j7ya4ehcm
When All's Well,Everything But The Girl,Love Not Money,Tmjl5tnfuvqxjlbn2ydrqsvdoe4
Música Urbana (Versão Alternativa),Capital Inicial,Capital Inicial,T64gwb4yxlzhruak6bl5zsxzcxu
Tudo Mal,Capital Inicial,Capital Inicial,Tu2yvk54w7apusjuycx4fem2fbu
Independência,Capital Inicial,Millennium - Capital Inicial,Ttq6rktd63iq2assmuygt55226i
Lips Like Sugar,Echo And The Bunnymen,Echo & The Bunnymen (Expanded & Remastered),Tiivr2op63yn4ysrzjy435th6uy
Mamma Maria (Mamma Maria),Grafite,Geração Rock Brasil,Tfqir2uumdjtcobmyf566w5o7ya
The Killing Moon,Echo And The Bunnymen,Ocean Rain (Expanded & Remastered),Twgxec3cq6jcrjdwap64kiwepji
Bring on the Dancing Horses,Echo And The Bunnymen,Songs To Learn And Sing,Tebxl67gegwqecqky2d4ig4gazi
Seven Seas,Echo and the Bunnymen,Ocean Rain (Expanded & Remastered),Thqlauqjn6x6e2ikteexny5f5ca
Love Will Tear Us Apart ,Joy Division,TOTAL,Tztvsjdqmikz3zihsv3dypkixwy
Shadowplay (2007 Remaster),Joy Division,Unknown Pleasures,Teyrsmlrv4qafpupm4nefy6xsuu
She's Lost Control (2007 Remaster),Joy Division,Unknown Pleasures,Te44hvkuaml7i34boyw72ks36ka
Transmission (2011 Total Version),Joy Division,TOTAL,Thojv5kjfgug7kqfx56piatpau4
Love Will Tear Us Apart 2 (Pennine Version) [2010 Remaster],Joy Division,Substance,Tzs6v2zednprnbtoqkzxqccb2zm
Regret (2015 Remaster),New Order,Republic,T2gb6nno47vww4xl4ais6djocoy
Age of Consent (2015 Remaster),New Order,Power Corruption and Lies,Tkpevayyszsuutmxjta4eawpvum
To the East,Electrelane,"No Shouts, No Calls",Tkreeybb7ohhdlg23a6fjhgtzre
Gone Under Sea,Electrelane,The Power Out,Tfs72n4dqs6ot6pp5ag7sbs3kii
Louras Geladas,RPM,Back To New Wave - Vol. 1,T2armgbjhqbcg4zm3pupaduambi
Birds,Electrelane,The Power Out,Tefmldobmi7pnnyjryz74qsf76u
Trouble,Lindsey Buckingham,Law and Order,Tqil6r4ncxwsme2ymtrpti34zxq
True,Spandau Ballet,Radio Pop Hits 80s,Tam4omkktc2ygjx4njhxztsvoqi
