Levada Louca (Live),Banda Eva,Ao Vivo,Tioyzszhxj7xn6mib3n5iao5upm
Auê (Live From Brazil/2005),Banda Cheiro De Amor,Banda Cheiro Ao Vivo,Tzthxdyqyp7pg6vbcolmjd4yjuy
A Dança Da Sensual,Banda Cheiro De Amor,Me Chama,T3mqy35vsiwgkdqaalxvxa6mbpq
Pipoca (Ao Vivo),Ara Ketu,Ao Vivo,Tg2fnagigtflggyhdxtvroadmvi
Mal Acostumada (Ao Vivo),Ara Ketu,"Muito Axé, Vol. 3 (Ao Vivo)",Tqxe6pruamroa6eguuc37h5gms4
Milla (Ao Vivo),Netinho,Total - O Melhor De Netinho,To2i33fqbf2czckeh6xkz75zunu
Capricho Dos Deuses,Netinho,Axé Bahia,Tjyg3j22ofan6ov6i2yumssfjzy
Preciso De Você,Netinho,20 Grandes Sucessos De Netinho,Tzjzn62rbd4romlmbtz5yrgjrlm
Nobre vagabundo,Daniela Mercury,Clássicos da Bahia,Tb7yn3vculvr6mt47kpybpftgri
O Canto da Cidade,Daniela Mercury,O Canto Da Cidade,Tpiernlyl2qfxhlespvfxwqmovm
Vermelho,Fafá De Belém,Pássaro Sonhador,Tmmnz36o2szour5mn3wnxrj7loy
Eva (Eva) (Live),Banda Eva,20 Grandes Sucessos De Banda Eva,Tjyyboby2thlinljfkw65gerbu4
Alo Paixao,Banda Eva,20 Grandes Sucessos De Banda Eva,Tkoat4khz5kahqf7jx2yaoydxca
Arerê (Ao Vivo Em Salvador / 1997),Banda Eva,O Carnaval De Ivete Sangalo - Sai Do Chão (Ao Vivo),Twtwvlrvq6xsj3dzjwzfc2nubry
Levada Louca,Banda Eva,Beleza Rara - O melhor De Banda Eva,Tqawu7nje7ctfmorzmc2ohl2tei
Xô Satanás (Ao Vivo),Asa De Águia,Na Veia Ao Vivo - 21 Grandes Sucessos,Tf5ipctwr7d2r6q5hptoguvomhe
Manivela (Ao Vivo) (Ao Vivo),Asa De Águia,Na Veia Ao Vivo - 21 Grandes Sucessos,T3jbyoodkeyujjnjbjqq2c3wuka
Dança do Vampiro (Ao Vivo),Asa De Águia,Mega Hits Carnaval,Tztuaqdx4lavdhgbpx3tx7546tq
