O Processo de Criação Vai de 10 Até 100 Mil,Pato Fu,Rotomusic de Liquidificapum,Tbttmolvcroc6zzhvwlr4qng43a
Nunca Diga,Pato Fu,Televisão de Cachorro,Tgy4ad4wihw3tgpovlmate2jw54
O Peso Das Coisas (Maria E Gabriel),Pato Fu,Tem Mas Acabou,Tzeqr3pm5br6qwyjcs346xh47ya
Antes Que Seja Tarde,Pato Fu,Televisão de Cachorro,Ty4ji7yvl25aycc2v6i6vnjbxfq
Eu Sei,Pato Fu,Televisão de Cachorro,Tglff7rj3evl4hjwkxrwllqyd2e
Tempestade,Pato Fu,Televisão de Cachorro,Trok2ndukuijsgh5joekvzqwkvq
Canção Pra Você Viver Mais,Pato Fu,Televisão de Cachorro,Tinsda7gvdu7i4gnhwdiwo5ihem
"Spaceballs, The Ballad",Pato Fu,Televisão de Cachorro,Tyzupl5cjcood565sljdakjkzxy
O Filho Predileto de Rajneesh,Pato Fu,Isopor,Tcd2xgtbqqidfivhllmubfoo7aq
Made In Japan,Pato Fu,Isopor,T2gw4jx63cilrbava6ilwruhyua
Depois,Pato Fu,Isopor,T7admgtrbwku22xn2dfmxd656ea
Imperfeito,Pato Fu,Isopor,Tojrwg2mueoxzjafxi4wxlyfvtm
Um Ponto Oito,Pato Fu,Isopor,Tqcl3cmyo4tynlkg5pvnlfn3cfe
Perdendo Dentes,Pato Fu,Isopor,Tjhzx6zzmi7dlhohe7dj7qql5vi
O Prato do Dia,Pato Fu,Isopor,Tumuiynvy5tr7afqnynqbqqcsk4
Eu,Pato Fu,Ruido Rosa,Tgtprkppsaduskxolvj7l6hdife
Tolices,Pato Fu,Ruido Rosa,T3e3xx2bnyhdv3ftbqrm7oija2i
Ando Meio Desligado,Pato Fu,Ruido Rosa,Tsawgesgwipscgobul4g47khnk4
"Uh Uh Uh, La La La, Ié Ié!",Pato Fu,Toda Cura Para Todo Mal,Tbdp7m7ephu3n5elkvaswlr7k3m
!,Pato Fu,Toda Cura Para Todo Mal,Ttauq4ik3n5fyfxnar4qbcbm67i
Cities in Dust,Pato Fu,Daqui Pro Futuro,Tvmeealmiykuatmfmguerxqd2ym
Não Pare Pra Pensar,Pato Fu,Não Pare Pra Pensar,Tmgolwcha4xqv7dy5njsvwnovnm
Mesmo Que Seja Eu,Pato Fu,Não Pare Pra Pensar,Tspkr224rp3obzi7q6umhbxdmfy
Ring My Bell,Pato Fu,Maxximum - Pato Fu,Telvqpozhabffvjv6p3ahhecmta
A Volta do Boêmio,Pato Fu,Maxximum - Pato Fu,Tpoktv6bg32o5mn5ibqraapzj7e
Porque Te Vas,Pato Fu,Tem Mas Acabou,Tx5bkribbzefwvxzabt2hplkt5u
Boa Noite Brasil,Pato Fu,Toda Cura Para Todo Mal,Togxiqhtabackbof4tmyhyb6bwm
Tribunal De Causas Realmente Pequenas,Pato Fu,Ruido Rosa,Tyndorzw6n67ewvxfld7kbm72oe
Anormal,Pato Fu,Toda Cura Para Todo Mal,Tqfcudwesxnzqownhl3m34ytyye
Amendoim,Pato Fu,Toda Cura Para Todo Mal,T7ec5e3oq76ai4wiglimrlxstie
Simplicidade,Pato Fu,Toda Cura Para Todo Mal,Tig37s3zdwproz7osxgtxdl76m4
No Aeroporto,Pato Fu,Toda Cura Para Todo Mal,T7jydix25aizs2ouiti4zlpdhii
Vida Diet,Pato Fu,Toda Cura Para Todo Mal,T72rcfad3iadhwzdlsxyy6q7icy
Cego Para as Cores,Pato Fu,Não Pare Pra Pensar,Tgp5zbu72awd3wrqehltarh65li
Um Dia do Seu Sol,Pato Fu,Não Pare Pra Pensar,Toxm62yx6g36dtjr7yfwxunjpvi
30.000 Pés,Pato Fu,Daqui Pro Futuro,Tixvhpg2v7ixkn6jvmidzid4lyu
Mamã Papá,Pato Fu,Daqui Pro Futuro,Tbk36ixfbpcbqyk7ny2bqsm3uc4
Tudo Vai Ficar Bem,Pato Fu,Daqui Pro Futuro,Tminfnhsyr2y4iwz6u3o2q6fzfa
Ninguem,Pato Fu,Ruido Rosa,Tefopxxshzlafceppkaus5h7oam
"Sorria, Voce Esta Sendo Filmado",Pato Fu,Ruido Rosa,Tponsdywd6zittq2xbhwkenmpp4
