Já Fui uma Brasa,Casuarina,Casuarina,Tsmc7ys6je6z3xnfy6qkfxrbspe
Certidão,Casuarina,Certidão,Tnpz537bmpunyemm73xzjn53woy
Cabelos Brancos (feat. Paulinho Moska),Casuarina,Roda de Samba do Casuarina e Convidados,Tff63sazks5dnvxltn54hc4pqli
Disritmia,Casuarina,Roda de Samba do Casuarina e Convidados,Tn6w7ycge6pjor2waw3qvyjuv6a
Tempo Bom na Maré (feat. Martinho da Vila),Casuarina,+ 100,Tuz2fqig4fx4rm662pafzotoptq
Sábado Em Copacabana / Copacabana,Nilze Carvalho,Lembranças Cariocas,Tzmyhyqm5jrqprpjpv7agiwasku
A Rita / Samba do Grande Amor / Homenagem ao Malandro / Feijoada Completa (feat. Chico Buarque),Sururu na Roda,Sururu na Roda,T47j3fulefdz4n7fzdlrxjupppi
A Primeira Vez / Madalena Você Foi Ao Samba / Nunca Mais,Nilze Carvalho,Lembranças Cariocas,Tpyku5f3gnidth2ncrio5ncz3ou
Gotas de Luar,Sururu na Roda,Se Você Me Ouvisse,T4vkiqc27jp7l2nxs5sa5grrlxe
Nem Eu / Não Tem Solução,Nilze Carvalho,Lembranças Cariocas,Tgeaiil52pr2beijnfshrtkmivi
Retalhos de Cetim,Sururu Na Roda,Sururu na Roda Made In Japan,Tcq2cxs57bdugpuzscjyl2bobxq
A Flor e o Espinho,Sururu na Roda,Se Você Me Ouvisse,Tm4wnn6dl3fncxvm3qrm7xw3ysy
Quando Eu Chamar Saudade,Sururu na Roda,Se Você Me Ouvisse,T42pumlmp7yr6h5fokoov4mfxhi
Folhas Secas (feat. Dirceu Leite),Sururu na Roda,Se Você Me Ouvisse,Tcuoawjspumsqwzcqrqrsgowcle
Baile da Pesada,Fernanda Abreu,Entidade Urbana,Tlffrh4dgsyeyskx3m52ifq3k7u
Zona Norte - Zona Sul,Fernanda Abreu,Entidade Urbana,Ts727acmr4g54fkxsasgigqfp2a
Tambor (feat. Afrika Bambaataa),Fernanda Abreu,Amor Geral,Tc6gqq4ghacfvrzdhy3jxb3vy4e
Deliciosamente,Fernanda Abreu,Amor Geral,Tmhqdlpde527n74opfzn4dasgtq
Eu Vou Torcer,Fernanda Abreu,Na Paz,Thgytu453didcnmgavos7u3o5vy
Xote Dos Milagres,Falamansa,Falamansa Essencial,T4roiowuk6dkxsoro2aku4hr2ei
Xote da Alegria,Falamansa,Essa É Pra Vocês,Tczavuohtfkigx4fitvff7vw74i
Qui Nem Jiló,Falamansa,As Sanfonas do Rei: Tributo aos 100 Anos de Luiz Gonzaga,Tcdc6zmhw42zfh773g2m25y4scy
Colo de Menina,Rastapé,Fale Comigo,Tvfk4jpf2vfkoyndxrqigwb3kga
Eu Só Quero um Xodó,Dominguinhos,Nas Costas Do Brasil,Tmgig6gbsdjbxpgm2fmomqvytje
"Que seja (feat. Dominguinhos, Caju & Castanha, Caju, Castanha, Miltinho Edilberto & Paulo César Pereio)",Bicho de Pé,Que seja,Tvbt2pc4ebdev3ymxrhty6bg4da
A Estrada,Cidade Negra,Hits,Td6vgbmh47kmohoqpa3ofyc7qpq
Resposta (Album Version),Skank,#1 Hits,Te52vsp6pmzmyhxmsvw7w7fplwe
Balada do Amor Inabalável,Skank,#1 Hits,T6lktlrrj3zyy57z6xr6tcvhxua
Onde Você Mora? (Acústico),Cidade Negra,Hits,Tppkb7dqrqeccsbe3r6pgsgfldq
Firmamento (Wrong Girl To Play With),Cidade Negra,Hits,Tcyr6tsx3ks37hs25tzmzc5ewei
O Amor Não Sabe Esperar (feat. Marisa Monte),Os Paralamas Do Sucesso,A Arte De Os Paralamas Do Sucesso,T645wkzgv3ugikriswzazy4fkiq
Te Ver,Skank,#1 Hits,Ti3binvjrdjze7bty53sanhxtpm
Andei Só (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,Tw4cbhspblbkp265ow4dd4twpnm
Quero Ser Feliz Também (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,T2lxxavi7humqnnvarm6n5cd4ya
Você Me Encantou Demais (Ao Vivo),Natiruts,Play: Namorados,Tunew64hcsy6o3ufumv2454qubq
Meu Abrigo,Melim,Melim,Tueoxwrnyybe7giwxoimt3v436u
Presente De Um Beija-Flor,Natiruts,Cafe Octavio - Nova Brasil FM,Tupxu34ot7qcxye7dkiwrocg4dy
Do Lado de Cá,Chimarruts,Só Pra Brilhar,Tcgboa77pqghbbwvqr7xi5xxdwa
Tão Seu,Skank,#1 Hits,Tu2qhgro3ax3egezd7aloqgw3py
E Lá Se Vão Meus Anéis,Os Originais Do Samba,É De Lei,Tbbmhzgndfqyp3l6j5incdtkxom
Do Lado Direito da Rua Direita,Os Originais Do Samba,O Samba é a Corda... Os Originais a Caçamba,T6madyohdhny7c6gnjrr5ezbgoe
Tragédia No Fundo Do Mar (O Assassinato Do Camarão),Os Originais Do Samba,É De Lei,T7g237jv3qpzf4umekvqlpmegy4
Retalhos de Cetim,Sambô,Sambô,Ttfsiprp55hrfwq6sqyisam4xq4
Na Cadência Do Samba,Novos Baianos,Vamos Pro Mundo,T3gx3qetog67yxer4qel62ziq7u
Voltei Amor,Trio Mocotó,Samba Rock,5c763058-f06d-3d7c-ae05-a6a1e74e8167
Não Sei Por Que,Trio Mocotó,Samba Rock,e0c0e1ca-2583-3831-965b-732a28ff70d3
Meu Lugar,Arlindo Cruz,Fundamental - Arlindo Cruz,Tehgebewesbu4amkxfflfdwyrua
Sambista Perfeito,Arlindo Cruz,Fundamental - Arlindo Cruz,Toz7ckh56zcy7b7wxkg7hr7grse
O Que É o Amor (feat. Maria Rita),Arlindo Cruz,Fundamental - Arlindo Cruz,Th4s7imacgoyri2vzhhfk3ik2pa
O Show Tem Que Continuar,Arlindo Cruz,Fundamental - Arlindo Cruz,Tigehkhokhvjvl27zfv32gysuia
