Coroné Antonio Bento,Tim Maia,Tim Maia 1970,Tnzigfgu37peh2sux7vd4sjb3s4
Cristina,Tim Maia,Tim Maia 1970,Ttbxwcicpiubce5gmkmi7hrvvom
Primavera (Vai chuva),Tim Maia,iCollection,Thhc66agfuqfytlgy3nzav5kv44
Azul Da Cor Do Mar,Tim Maia,Tim Maia 1970,Tfccqfdpwzknbuxouvmujfs2ska
Não Quero Dinheiro (Só Quero Amar),Tim Maia,Tim Maia 1971,Tpxx6sevj7kxsmtqwmo2maj3ira
A Festa Do Santo Reis,Tim Maia,Tim Maia 1971,Thw5kchwv2czk65xmbuiwwcqy2m
Você,Tim Maia,iCollection,Tnhautsalhc4jbtrrhcwhkvrqia
Canário Do Reino,Tim Maia,Tim Maia 1972,Twofifhnxpymgqnrybi73wk3ys4
Idade,Tim Maia,Tim Maia 1972,T6n7xcpgctglcvpuotvigvtfuiy
Razão De Sambar,Tim Maia,Tim Maia 1972,Towttdrqw65odffzw7y5tmrbj44
Réu Confesso,Tim Maia,Tim Maia 1973,T4lmpbsxibljjv4s37bbh76l3sy
Gostava Tanto De Você,Tim Maia,Tim Maia 1973,Tpsbgzdch2mcy4qbyk5u2pdcfdu
Rodésia,Tim Maia,Tim Maia 1976,Tjlivmkpioxp4hrrz5k65nx65vy
Sentimental,Tim Maia,Tim Maia 1976,Tgaf6j7qzxhmt6cfkfr3b3olf4y
"Batata Frita, O Ladrão De Bicicleta",Tim Maia,Tim Maia 1976,T4vuzy5yemgijnnisaagj73wr2u
"Você E Eu, Eu E Você (Juntinhos)",Tim Maia,Tim Maia 1980,Ts3rkngii3uwpovvznife6tpdau
O Descobridor Dos Sete Mares,Tim Maia,O Descobridor Dos Sete Mares,Tcsusfid6f5s346pf7gui5baehm
Me Dê Motivo,Tim Maia,O Descobridor Dos Sete Mares,Tfzmrfxpazivg7m6sqmc7xj6bgi
Bons Momentos,Tim Maia,Sufocante,Tleivvw4xagdkssr672ulvwhnbu
