Jailbreak,AC/DC,'74 Jailbreak,Tcsukk2yappv2kog4l3he5v2hsu
You Ain't Got a Hold on Me,AC/DC,'74 Jailbreak,Tejixvbrkfw6k3xz7cdnzdocx5y
Show Business,AC/DC,'74 Jailbreak,Txgmsmgcqqubpladsz6ybr436qa
Soul Stripper,AC/DC,'74 Jailbreak,Tijq4f6r53yatcrh4wmr4rni2ym
"Baby, Please Don't Go",AC/DC,'74 Jailbreak,Trylmsuhw2dmpybemqtfkdmvlpa
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,Tenjlkolzc4w47aewdtbrpd4vrq
Rock 'N' Roll Singer,AC/DC,High Voltage,Tddu554u26ojqxl2rotruko5qtm
The Jack,AC/DC,High Voltage,Tmfbdm4fdmcmofn3so4d4uod2ue
Live Wire,AC/DC,High Voltage,Tdwggv6lqtozukoitl5vsxmu2hy
T.N.T.,AC/DC,High Voltage,Tatczq3jqbzftxdnhgqomespzgu
Can I Sit Next to You Girl,AC/DC,High Voltage,Txdhb5hf2bhrk7nq3i5escqicjy
Little Lover,AC/DC,High Voltage,T3ljczna7suwat7qzys7pbjpvae
She's Got Balls,AC/DC,High Voltage,Ttldc7dqysajorplivktnedsvby
High Voltage,AC/DC,High Voltage,Tt6djdxc6dz36uda5xbeger7w6q
"School Days (From ""TNT"" (Australian Release))",AC/DC,Bonfire,Toqtjqufql343ggyiila7i3fjwi
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,Twdawavsqgccegt2igowx4dwe6a
Love at First Feel,AC/DC,Dirty Deeds Done Dirt Cheap,T5jkkdfppat7jbs633a6sefywfu
Rocker,AC/DC,Dirty Deeds Done Dirt Cheap,Tyeg35los5kpz2r5u6cre5hm2q4
Problem Child,AC/DC,Dirty Deeds Done Dirt Cheap,T5gxmi66fp2rv4vu3md5ddamsbm
There's Gonna Be Some Rockin',AC/DC,Dirty Deeds Done Dirt Cheap,Tmxptmenpgivmkykgvklez4jo3i
Ride On,AC/DC,Dirty Deeds Done Dirt Cheap,T24ivwlf2zhx42mjxwqqhwfvshm
Squealer,AC/DC,Dirty Deeds Done Dirt Cheap,Trafmoz3hl4qvqnv2mlxyzot57u
Bad Boy Boogie,AC/DC,Let There Be Rock,Tjjxrl3ubwjh6q3asglx77gazyq
Hell Ain't a Bad Place to Be,AC/DC,Let There Be Rock,Tp26xow63lov45lnwogmx3up5uy
Whole Lotta Rosie,AC/DC,Let There Be Rock,Tunz5o22akljms6tp4m25jksmfe
Rock 'N' Roll Damnation,AC/DC,Powerage,T5k3nxkcpkh5wswupuzl5usdlwu
Gimme a Bullet,AC/DC,Powerage,Tdp23tvcns7dmd7d27gmykmsmga
Riff Raff,AC/DC,Powerage,Tbzkbgiutnxatalcde2jyg7dv3u
Sin City,AC/DC,Powerage,Tjwezqafwbqxphri5ls732hrjze
What's Next to the Moon,AC/DC,Powerage,Tqy5ni62dqtqgridsbwzwxdylpi
Gone Shootin',AC/DC,Powerage,Tgn3glcj6yvysg3ilhnw5ijojqu
Up to My Neck in You,AC/DC,Powerage,T4nluwr7qx3547gn7vxrsa63rqa
