Broke Down Engine,Blind Willie McTell,"Hillbilly Willie's Blues, Vol. 4",T5qnlm5im2gi2knfqc5g4j6beli
Shake 'Em On Down,Fred McDowell,Mississippi Delta Blues Jam In Memphis,Tk6pcudchawzb4ciqgllcljdwpq
My Baby Don't Love Me,John Hooker,John Lee Hooker Vol. 8,Tvpddmqitk7tokgfxpcdffwpbam
Tall Pretty Woman,Stick McGhee,New York Blues and R&b 1947,Tyuygna5oharyzuu5jxqfrnqpue
The Blues Rock,Texas Johnny Brown,Lost & Found - Atlantic Records - The Blues,Te4kwmgat5wykes5my4mm3rmdva
There Goes the Blues,Texas Johnny Brown,Texas Blues 2,Toqbgjfelb4otjqf7g6xt6fs7am
Bongo Boogie,Texas Johnny Brown,Lost & Found - Atlantic Records - The Blues,T52sz4g5emt73wsupsk47tc6ntm
Two Bones And A Pick,T-Bone Walker,"T-Bone Blues (Hd Remastered, Atlantic Best Series Edition, Doxy Collection)",Tyy55fz6tqxfes62af6fju6yxfq
Let Me Know,Chuck Norris,Lost & Found - Atlantic Records - The Blues,Tfiuef4kgnr3pdbmihyedun5ov4
Down Through the Years,Guitar Slim,1956-1958 Sessions,Tja5etjmqybc6wfuy2rbcep7rfa
Okie Dokie Stomp,Cornell Dupree,Teasin',Tzlhcabekd3knnnwano6lvbnqjq
T.V. Mama (Rerecorded),Big Joe Turner,Shoutin' with Big Joe,Tew34447efkkiyuwk76frvtgwjq
Reconsider Baby,Al King,Lost & Found - Atlantic Records - The Blues,T44jn7lg4wsq5efnyu3rc5bt23a
Midnight Midnight,Mickey Baker,The Wildest Guitar,T6eanc6eii7ymgszxuym5fg3cwq
I Smell Trouble,Ike & Tina Turner,I'm Fired Up,Txoadx3s7mvoa7eq7tm743342vu
Why I Sing The Blues,B.B. King,Why I Sing The Blues,Tb3hteqee6jq2y6ru7yavewcw6e
Crosscut Saw,Albert King,Crosscut Saw: Albert King In San Francisco,T3r2mtrtfnynuyrvtj5d5a7fj3a
Born Under A Bad Sign (with Stevie Ray Vaughan),Albert King,Stax Profiles: Albert King,Tznasgfj4tpymfv72vbghq44vfa
Texas Flood,Stevie Ray Vaughn & Double Trouble,A Flood Down In Texas,Tzev5mpiuz2r3nekkjp6rk55iri
Shake for Me,John Hammond,Muscle Shoals Soul,Tx7jmx763fizjzwwkbvouva47pm
