Our Love,blackgypsy,"blackgypsy, Vol.1",Ti4tgur5y7huidsyqg63agv2dmq
Soul Strut (Instrumental),Lady Daisey,Soul Strut,Tldvse3ovkyxghh5qzdvgtzfod4
Turn You Loose,The Transatlantics,The Transatlantics,Trvx5z3oezmsvldrfxbdkl2inny
Sign Of The Times,Bob James,Sign Of The Times,T5mbvaicifbwpmcf4x5bslg3gj4
Brite Nightgown,Donald Fagen,Morph The Cat,Tkhzw2zmxygfmhcbyxcapurhbcq
Back Stabbers,The O'Jays,The Best Of,Tz3l7swre4edwddm4v7bbjqg44q
Clouds,Chaka Khan,Tonight's The Night: Disco Gems,Tjqvqyxmppfpzjtkpzpqusxjaby
Never Too Much,Luther Vandross,R&B: From Doo-Wop To Hip-Hop,Tbfwtzyxtf6k2vrkpvjojdtdsqa
I Can Understand it,Calvin Richardson,Facts Of Life: The Soul Of Bobby Womack,Tny6xax6wytojykhsuqtfeqxpeq
Nights over Egypt,The Jones Girls,Love Ballads Vol. 2,Ty3nfunv3vvklbp3kggi2bdpgwm
Better (Micky More Classic Mix),Angela Johnson,Dome In The House - Then And Now,Tfzc4py5qnkc65fci3js5nkqpe4
You Know How to Love Me (Edit),Phyllis Hyman,The Essential Phyllis Hyman,Tlii4j2mxf3ftiswzm7sl6xfen4
So Tired,Maktub,Khronos,Tltimpepnzcqtstgm7o6liaikgi
Midas Touch,Midnight Star,The Soul of Solar,Td2cughtwo44jav5chmlqboeugu
Circles (feat. Nina Jayne),Richard Earnshaw,In Time,Tjfo4udjp73u3rp4cbback5kulq
I Wanna Do It With You,Bobby Thurston,You Got What It Takes,Tfmof5acdhrgh462ddldxmqd5yu
Do Me (Single Version),Teddy Pendergrass,Teddy (Expanded Edition),Tix4pv6bblplqiaxkoqltjrfjfa
The Rubberband Man,The Spinners,Happiness Is Being With The Spinners,Tlqcdjlet2emf3vupeiz7tdfoba
