"Theme From ""Shaft""",Isaac Hayes,Greatest Hit Singles,Tpb5lk3sgt7lkipdzqdlvrzjv6u
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
What's Going On,Marvin Gaye,What's Going On (40th Anniversary),Tn3js66ju2stp62qjbzffpxzwxy
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay,T34zf6e7rumz5egh6shv52txteu
I Say a Little Prayer,Aretha Franklin,Aretha Now,Txquvvrxoph56akg5hzjgz6f6mu
Be Thankful for What You Got (Pt. 1 & Pt. 2),William DeVaughn,Be Thankful for What You Got,Tg2yju2f7fadm7fef43wmftekm4
If You Want Me to Stay,Sly & The Family Stone,Fresh,Tjdnsjda5p2ahhbdgownqocxrke
Mercy Mercy Me (The Ecology),Marvin Gaye,What's Going On,T4chdqrk774twpils422ea26l5e
See You When I Git There,Lou Rawls,The Essential Lou Rawls,Tvcc4v44lbmka2ljdcarcqvwc2i
My Girl,The Temptations,The Temptations Sing Smokey,Tcncnvqfropqfaksjlgbi647jry
My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
I Want You (Single Version),Marvin Gaye,I Want You,Tb3suhmrqxcw4r47eq5vyiigu7u
Respect,Aretha Franklin,I Never Loved A Man The Way I Love You,Tcmk4ldiq4gqyjemt6cr2csidja
Let's Get It On,Marvin Gaye,Let's Get It On,T7mwqne7oltlxzzmah2x4r5vlmi
Think,Aretha Franklin,Aretha Franklin,Tp23x7p5sf2bcrjqbwrn5z7mbaa
Lowdown (Edit),Boz Scaggs,Silk Degrees,T2xsiutuhm5jpegkqlojexkhcoe
You Are The Sunshine Of My Life,Stevie Wonder,Talking Book,Tvmloc4cn3jxqtl4oia5wto2omq
Daylight,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tua2nxloiubzzikc6zeqom7zcl4
I'll Be Around (Remastered Version),The Spinners,Essentials,Trtfbq6fdpweesdaets77wcbine
Tell Me 'Bout It,Joss Stone,Introducing Joss Stone,Taxmbd4jfgksqugq7tb2e6lfqti
Family Affair (Single Version),Sly & The Family Stone,The Essential Sly & The Family Stone,Tfalwel2fr7xtgnvsdgdhkamlf4
Crazy (Single Version),Gnarls Barkley,"Crazy (12"")",T532nijsu44zxznevyqbrhpus7y
I Can't Wait Until I See My Baby's Face,Aretha Franklin,Runnin' Out Of Fools,Tdcqkudkl75put4j7kpg42boioe
All About That Bass,Meghan Trainor,All About That Bass,T3s4wi7m3eakrpzc2cakbojnea4
Cry to Me,Solomon Burke,The Very Best Of Solomon Burke,Txapjnks7xzkzdvs235eywn4tim
Take Care of Business,Nina Simone,I Put a Spell on You,Tckw6pl6lmfmaxf6wtasbgpwvw4
Across 110th Street (Cover(Bobby Womack)),THE COMMOTION,Across 110th Street (Cover Bobby Womack),T2tw5lwf5ssvyfxs6zkzkxy7lgq
I Heard it Through the Grapevine,Marvin Gaye,I Heard it Through the Grapevine,T3jxm7czckeozsob44gtxkk6x2e
This Christmas,Donny Hathaway,Donny Hathaway,Twhjjbeikul5npl4tge3d5yr6kq
Mustang Sally,Wilson Pickett,The Wicked Pickett,Tbpbkqo353r6yctwjgjm2sykqiq
It's A Shame (Remastered Version),Spinners,Definitive Soul: Spinners,Tqeewnslpw22tno7nv5g7lepboy
Give the Little Man a Great Big Hand,William DeVaughn,Be Thankful for What You Got,T4jc3vgfoer2e7e4rg47ngnsohi
Rock with You (Single Version),Michael Jackson,Off the Wall,Tdb6wyj4p44umpuxuddjy63qetu
Me and Mrs. Jones,Billy Paul,Between The Sheets - Volume 1,T4y7tr2rstogms42wexti5p2t2a
People Get Up And Drive Your Funky Soul,James Brown,The Singles: Vol. 9 1973-1975,Trjiquuogv7fpif4eeekfmh3u5y
Let's Make a Baby,Billy Paul,When Love Is New,Tvqgynwtpq6d5w2aoqfxficqlpm
You'll Never Find Another Love Like Mine,Lou Rawls,The Essential Lou Rawls,Tls2rcvi3327juueu3fozsuuwba
Seven Nation Army (Remasterisée),Ben L'Oncle Soul,Ben L'Oncle Soul,T3jakzuh22jgzgrc4usjjgyu47u
Float On (Single Version),The Floaters,"The ABC's Of Soul, Vol. 3 (Classics From The ABC Records Catalog 1975-1979)",Tk6y4xnclsmxoafimvkfdok3xa4
Where Is the Love,Donny Hathaway,A Donny Hathaway Collection,Tj6hu2spubjpdrpo2nsmx24djoa
I'm Searching For A Love,Harold Melvin & The Bluenotes,Philadelphia Soul,Tfasfstkvqbdtb5e2yt3sif6nl4
Proud Mary,Ike & Tina Turner,Best Of / Proud Mary,Tegdlz55xyo2dlrdry4udyff67e
So Very Hard to Go,Tower Of Power,70s Pop,Ttbxiwqmvbznogulv2elqpkazv4
Never Give You Up (feat. Stevie Wonder & CJ),Raphael Saadiq,The Way I See It,Tw3ad7ixdyb2ac2xcypnrvhyqd4
Be My Baby,The Ronettes,Be My Baby (The Very Best Of The Ronettes),Tj3rafaxio3mlgtb7x4ynuo2lmq
Between The Sheets,The Isley Brothers,It's Your Thing: The Story Of The Isley Brothers,Tj2hjcv4garpk5ufsf6ueqsp6lq
Ex-Factor,Lauryn Hill,The Miseducation of Lauryn Hill,Tih3j27bj2uhuynim2fyt2dzyka
Make It Better (feat. Smokey Robinson),Anderson .Paak,Ventura,Tqyuydqlhogud5q7zqigjtw6rvi
