When I'm Sixty Four,The Beatles,Yellow Submarine Songtrack,Tbux5srsvhjjcfy7hbswqpczkjy
Down and Around,The Stones,Time to Go - The Southern Psychedelic Movement 1981-86,T3x4qx56jbbaew3hsrd34cspsbe
Por Isso Corro Demais (Versão remasterizada),Roberto Carlos,Em Ritmo de Aventura (Remasterizado),Tmiftq22m3vauefaejvkroyploy
Andy Warhol (2015 Remaster),David Bowie,Five Years (1969 - 1973),Tndot4okji5dc6hq2siifbc7vwm
"If You See Her, Say Hello",Bob Dylan,Heartbroken,Tlmlzma5jr6mbpaunpqisceasky
God Save the Queen,Sex Pistols,God Save the Queen,Tnflazwpeuxhkd55u4ipwv6j5me
Ovelha Negra,Rita Lee,Dia das Mães 2013,Tjwlu6asjqhjqlg73adpn3wwt6m
Inútil,Ultraje a Rigor,O Melhor Do Rock Do Ultraje a Rigor,Ta7hwpthiacp5t7gvtg3npjhp64
Você Não Soube Me Amar,Blitz,Com Você,Tlr5ud6rdescl325xaj25cbo5de
Infinita Highway,Engenheiros Do Hawaii,Seleção Essencial Grandes Sucessos - Engenheiros do Hawaii,Ttkne2re5std7bheh5lwkfjqvuu
"William, It Was Really Nothing (2008 Remaster)",The Smiths,The Sound of the Smiths (2008 Remaster),Tzj2hvhdlp5dpyf5r7hr53vc6ou
Love Will Tear Us Apart,Joy Division,Paradiso (Hd Remastered Edition),Tvgfswqc7latvq3vfb4fv7y7fym
Vento No Litoral,Legião Urbana,Mais Do Mesmo,T5wbt446uw7p5vxvjden64enhdy
Lado B lado A,O Rappa,Lado B Lado A,Ttxrpr7uczfhp3cxgseswogst6m
Smells Like Teen Spirit,Nirvana,The Best Broadcast Sessions (Hd Remastered Edition),Tso7b4zxbkgfrwypcv36snyammi
Elderly Woman Behind the Counter in a Small Town,Pearl Jam,"Fox Theater, Atlanta, April 3rd, 1994 (Hd Remastered Edition)",Trigvvslaydzfecdsxgrbsyj6bq
O Vencedor,Los Hermanos,Copa das Confederações Brasil (Nacional),T7sqm34u63ptkdackcpr4l6flsa
A Vida É Doce,Lobão,A Vida É Doce,T2ukfe57hlw5nef5pb2pe25hleq
Não Se Preocupe Comigo,Baia,Alter_Nativo - Canções Inéditas / Versões Não Lançadas 1991-2016,Tdi4q3qmhanetjx5tjugal65psi
Hope There's Someone,Antony and the Johnsons,I Am A Bird Now,Tbgfwm5bpaujg3s5nsa4ufshc6e
Prenzlauerberg,Beirut,Gulag Orkestar,Tejmyltcnvl3gaqz3lyrgzaogpy
Quem São Os Animais?,Titãs,Nheengatu,T4neqogb23omtrlb76gpnbye5q4
Apocalipse Agora,Capital Inicial,Saturno (Deluxe Edition),Tbr7f36ck3rek7ojqjv3ovvwkm4
Lonesome Street,Blur,The Magic Whip,Tto3jidtulwvhoue3xxgaykqvse
Burn the Witch,Radiohead,Burn the Witch,Ttp3b5rtdegorngkf3t7z7zrpa4
Finishing Jubilee Street,Nick Cave & The Bad Seeds,Push the Sky Away (Deluxe Edition),Twqjeb4muyauidwvv2e3phz3vxm
