Estou Dez Anos Atrasado,Erasmo Carlos,Brazilian 70's Rock 'N' Roll,Tlmcyveznfc3a5nmlbpsy2cvgie
Coqueiro Verde,Erasmo Carlos,Show de Bola 1970,Taooz6qb67wj4ymp7k6etgztvt4
Vem Quente Que Eu Estou Fervendo,Erasmo Carlos,O Tremendão,T6tunwwg6btiqrhhihftdceulva
Sentado À Beira do Caminho,Erasmo Carlos,Sentado À Beira do Caminho/ Johnny Furacão - Ep,Tmejrooqerk36dwiasti2bh3vpq
Mesmo Que Seja Eu,Erasmo Carlos,Amar Pra Viver Ou Morrer De Amor,Tqa2ll6qki5ao4ohfmvwpxy5aau
Mulher (Sexo Fragil),Erasmo Carlos,Mulher,Tan4dx6rzfbj6oewkq46yu5xn7e
De Noite Na Cama,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tel2eeuxuipnmlcaznz3v4mlcju
"Masculino, Feminino",Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",T76tag7us4twq2clv4c65uvebxe
"É Preciso Dar Um Jeito, Meu Amigo",Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tauz7hp2xp3rla6il7gd7s7u2vy
Dois Animais Na Selva Suja Da Rua,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tudo5tpw423zf52kd47udt3exdu
Gente Aberta,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tgd6icpeykxry3lpztug3bvosga
Agora Ninguém Chora Mais,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tgnxrax7fquif6vgk3tyayslcsu
Sodoma E Gomorra,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",T2cym3d32ukaku5rkurcjssp3ji
Mundo Deserto,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tlmxnr63f7ezulykb6ondr4oigm
Não Te Quero Santa,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tp2snvg66u7pup5qoy33eu5ysqq
"Ciça, Cecília",Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tirobo2stexrzqywifxgokxa2tu
Em Busca Das Canções Perdidas Nº 2,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tqxhnfrx2pobdobpzigeqbwb5ty
26 Anos De Vida Normal,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",T2bfo6dgibz5323ud7yybrw6pue
Maria Joana,Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tckcfmaauk46pwq5xoyd54nllke
A Semana Inteira (Bonus Track),Erasmo Carlos,"Carlos, Erasmo (Versão Com Bônus 1971)",Tvjhu7iyseubzjd5xa2p3ahyi5i
Close,Erasmo Carlos,Buraco Negro,Tgwjvutfy7y5o5e4vpww2k2c4ie
Pega Na Mentira,Erasmo Carlos,Mulher,Tvqpi6w6t7ryarnvm6s2iwsiave
Indigo Blue,Erasmo Carlos,A Arte De Erasmo Carlos,Twbtal7vuzlfp6ad7x43og25vmu
Broto No Jacaré,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tximuo6vbk7izbi3jbk4ounlr7q
Terror Dos Namorados,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tp4ivtukepgsw63k5fnqjhlgyny
Minha Fama de Mau,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tclq3bpvqb4fl22iro4563ae2j4
Amor Doente,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tgmstix7uw5yg5nhla6273fk6ly
Festa de Arromba,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tm3zy5yxw42vksd23bpq5qnhkfi
Sem Teu Carinho,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tixlga2qqxl2cha2d45yesq6qj4
A Pescaria,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tqxwl7s55gyed7q5n37pqwiq32a
No Tempo da Vovó,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,T4gp3ld4j3o25e4kb4mha6czu4q
Alô Benzinho,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tllkmj26dlymnzsbyy5qbeqccfi
Sou Feliz Com Mamãe,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Txq2sijout6rceofksgm3tbqgwe
Deixa de Banca,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tminscq2ecqikgl5podsektwswm
Você Me Acende,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Trqfs2x7f4m6xmjy4h7j5qwdini
O Pica-Pau,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Ttgnbm7no47hz4iar465bqenu7i
É Duro Ser Estátua,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,T57zzimam5zz3hg4ksseybed3qe
Cuide Dela Direitinho,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tgwncj37gxma34dncmblwtuoczi
O Carango,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,T77jkudbbizy4sw6lsaxhvb4rtm
A Carta,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tu4ob5pjrjlmcytak7etpmsfgxm
O Tremendão,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,T2sbjnwykstajgyxur25jwz5uhe
O Bilhetinho,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tt2qick2ajmpa6gitqjxe7rdkka
Vem Quente Que Eu Estou Fervendo,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tc2wgswdnkvapfvp3dndmmhp47m
O Caderninho,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tstuv5gmw6jpmieitjcy73s7jbi
Estrelinha,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tfuupblanh6rz6ptbnh6jaasq3q
Caramelo,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tu7l5pg5i5gncc7oez5qy4nluq4
Eu Não Me Importo,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tenasbepntdbe7qzzcokn2xzn2i
Capoeirada,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,T36qfg2tzn47amjncin7q37kfda
"Neném, Corta Essa",Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Twrfr7axx2olnrfgub67pzx6hqa
Cara Feia Pra Mim É Fome,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Teldfvca2gk62rppr7l3s6ndn24
Para o Diabo Os Conselhos de Vocês,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tyjy5oyhrjym2cuivs7rvrplv7a
Quase Perdi Seu Amor,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tyft4omqhryx7ub2rtdpi6eb53a
O Maior Amor da Cidade,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tncmphypdyak6yxu4t7q73yyb44
"Baby, Baby",Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tc3bvy4h62lzlr3wca2kjllc35q
Sentado À Beira do Caminho,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tmglo7w3ogyvq5ps7jqjn5dfjri
Johnny Furacão,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,T3sgpmpnok4z7d6iuwebwagai3q
Vou Ficar Nú Pra Chamar Sua Atenção,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Thkr6v5xirvnhy5565dxrsc4hve
Aquarela do Brasil,Erasmo Carlos,Os Primeiros Clássicos da Carreira Solo,Tja2bcsbl4o64iv5zur35jkalsi
Mais um Na Multidão (feat. Marisa Monte),Erasmo Carlos,Fundamental - Erasmo Carlos,T3xqwf6edsyzsq6wjknd3j3gbnm
Turma da Tijuca,Erasmo Carlos,Fundamental - Erasmo Carlos,Tombwcg3wykng4akq3anlo2rq3e
É Preciso Saber Viver,Erasmo Carlos,Fundamental - Erasmo Carlos,Thxks7r5grpgzqi4r2zc7dqoj4u
Você Me Ascende (You Turn Me On),Erasmo Carlos,Fundamental - Erasmo Carlos,T64ey55fmn3bbyhj2kzmv6rrgty
Jogo Sujo,Erasmo Carlos,Rock'n'Roll,Tg7yf62iiskk4hxeo3owbh6c6du
Cover,Erasmo Carlos,Rock'n'Roll,T4mgynbnihry2aa5cgf43hxsz2q
Chuva Ácida,Erasmo Carlos,Rock'n'Roll,Tdtlnq7z3jk2rmicb5kcdpvjbxe
Olhar de Mangá,Erasmo Carlos,Rock'n'Roll,Twootkcjccasihfrddhdcp44f5i
Noite Perfeita (Uma Farra no Tempo),Erasmo Carlos,Rock'n'Roll,Tnrpvetdllxh6lq3utzhop3snhe
A Guitarra É uma Mulher,Erasmo Carlos,Rock'n'Roll,Tc66mcv5vbr3qij7jhyrms3f4qu
Um Beijo É um Tiro,Erasmo Carlos,Rock'n'Roll,Tj3ykh5hu2bhasrncqrfuoqlvw4
Vozes da Solidão,Erasmo Carlos,Rock'n'Roll,T55peysopbgvn2nt77pn3klyz4q
Mar Vermelho,Erasmo Carlos,Rock'n'Roll,Tqi7cwfurh3ae5kiuarzknv66ym
Noturno Carioca,Erasmo Carlos,Rock'n'Roll,Ty3y7lnpycpeizaiey3hyrkifhq
Encontro às Escuras,Erasmo Carlos,Rock'n'Roll,Tc7ai3jr6ge7tbjcptzkjvtt6am
Celebridade,Erasmo Carlos,Rock'n'Roll,Tyb5tbnbmfbqrt3o7nottxjngge
