"'Round Midnight (Live at the Newport Jazz Festival, Newport, RI - July 1955)",Miles Davis,"Miles Davis at Newport: 1955-1975: The Bootleg Series, Vol. 4",Td7id3vzwmfy5nxs4bq2lyq22lq
"A Night in Tunisia (feat. Dizzy Gillespie Orchestra, Benny Golson & Wynton Kelly)",Lee Morgan,Those Dizzy Days (feat. The Dizzy Gillespie Orchestra with Benny Golson and Wynton Kelly),Tpucgo4q4w4p2swehysmvi47jie
"A Pretty Girl Is Like a Melody (feat. Jan Engebretsen, Mike Owen, Freddy John & William Evans)",Barry Martyn,On the Sophisticated Slide,Tgxgi22qcbxwe2obv4ajgumluoa
"Ainda Me Recordo (Ao Vivo) (feat. Altamiro Carrilho, Chiquinho do Acordeon, Joel Nascimento, Paulinho da Viola, Paulo Moura, Paulo Sergio Santos & Zé da Velha)",Chiquinho do Acordeon,Noites Cariocas (Os Maiores do Choro Ao Vivo No Municipal),Tjxvcm4qdmvryiz4vavkl42oz7y
"All of Me (feat. Ralph Sutton, Danny Barker, Pops Foster & Baby Dodds)",Wild Bill Davison,"""This Is Jazz"" The Historic Broadcasts, Vol. 9",Tvs64iz5fyr5dv32rheacoe5hxy
"All the Things You Are (feat. Lee Konitz, Zoot Sims, Phineas Newborn Jr., Red Garland, Oscar Pettiford & Kenny Clarke)",J.J. Johnson|Kai Winding,The 1958 European Tour (Remastered),T5abropbmchf27zsuswsojio4ea
"Anythin' (feat. Sonny Rollins, Sonny Stitt)",Dizzy Gillespie,"The Double Six of Paris / Something Old, Something New / New Wave / Duets",Typzmdzmffdrjbvrvbxbhoof72y
"Autumn Leaves (Live) (feat. Peanuts Hucko, Max Kaminsky, Jack Lesberg & Cozy Cole)",Jack Teagarden,"In Concert at Free Trade Hall, Manchester 1957: Vol. 1",Teooxujjp7ultluqydyy3epjebm
"Autumn Leaves (feat. Marcial Solal, Niels-Henning Ørsted Pedersen & Daniel Humair)",Lee Konitz,Jazz á Juan,Tec4dcbr3fpfolwhujwh2rcehyy
"Baby, I Love You",Wynton Marsalis,Magic Hour,Trwnuwx25fprqangjktgrksx7di
"Begin The Beguine (feat. The Lionel Hampton Orchestra, Herbie Fields & Arnett Cobb)",Lionel Hampton,1944-45 Broadcasts,Thpuuuo6rgmzgims55pkjmaqlae
"Begin the Beguine (From ""Jubilee"")",Ella Fitzgerald,Vintage Vinyl Collection - Ella Fitzgerald and Duke Ellington,Tdieq64m7u4rw2rqulde3c2ayoy
"Begin the Beguine (feat. Quincy Jones, Phil Woods, Benny Golson & Billy Mitchell)",Dizzy Gillespie,Dizzy In South America Volume 2,T7a3lid3zyrjkdoc5wfyxsgvuyi
"Bessie's Blues (feat. Ron Carter, Billy Higgins)",Charles Thomas,"The Finishing Touch (All Star Trio) [feat. Ron Carter, Billy Higgins]",To26t4pxcs6hwhifm6ogtqeznxi
"Billy's Bounce (feat. Ben Webster, Percy Heath, John Lewis & Milt Jackson)",Kenny Clarke,Kenny Clarke - Volume 10,Tsb7jc7folybrtcmwbcjvsqtxme
"Black Orpheus (feat. Anton Baronin, Alex Sipiagin, Bill Evans, Eduard Zizak, Vitaly Solomonov)",Igor Butman,IGOR BUTMAN & FRIENDS,T5dw724cqsxnneufyrzi7b74u2i
