Mudando De Conversa,Doris Monteiro,Doris / Lucio – No Projeto Pixinguinha,Te7bgmt6ww7ribhrbuzjwmdfqby
Nem eu,Lucio Alves,Estrada do sol,Taqwbxkeikn3fcvvdcddjkfkns4
Agora É Cinza,Lucio Alves,"BD Music Presents: L'histoire de la bossa-nova, Vol. 2",T42mk5cdbfhatsr64l2bzpsdcx4
Lá vem a Baiana,Lucio Alves,Estrada do sol,Tasiniolgithrkdqv2phv5xa33q
Laura,Lucio Alves,Estrada do sol,Teilz2dc7plqwddkj7dt5qjkcmy
Estrada do sol,Lucio Alves,Estrada do sol,Tvrkbqwdq27f543rivjmoh3jqa4
Ninguém me ama,Lucio Alves,Estrada do sol,Tcliqbunoa26b5mtegwqzoiwjni
Se acaso você chegasse,Lucio Alves,Estrada do sol,Tuptda7weapgq6vfm5ca6i3tla4
Boa noite amor,Lucio Alves,Estrada do sol,Ti2rptirmsepz5gjfwoeoosbyoa
Se todos fossem iguais a você,Lucio Alves,Estrada do sol,Trpy66iweykttmis3oo3qtaum2q
Conceição,Lucio Alves,Estrada do sol,Tka3p3542s5iucq7f5vk3q7rmha
Menino de Braçanã,Lucio Alves,Estrada do sol,Tulblgnspze2tosa6zi4eeparsy
Beija-me,Lucio Alves,Estrada do sol,Tifatftdbiahmmcce2zsmik72li
Ideias Erradas,Lucio Alves,'S Bossa Nova 1,Thyuv2ee6uacqmg6g6ue54ee5gu
Sabado Em Copacabana,Lucio Alves,"Bossa Nova Café, Vol. 3",T3q42govotwviepzyi7s2iozgqq
Tereza Da Praia,Dick Farney and Lucio Alves with Tom Jobim Group,Outra Vez (1951 - 1959),Twgeoyh2nfqn7oftszgydc3kzbe
Viva Meu Samba,Lúcio Alves,Viva Meu Samba,Tmgp2y5z7hww5lhf6mlsytexjqq
Este Seu Olhar / Só Em Teus Braços,Lucio Alves,Pure Bossa Nova,Tg3vjdnrsukk36wsraiybg2447q
Samba Triste,Lucio Alves,"BD Music Presents: L'histoire de la bossa-nova, Vol. 2",Tszob3aliv4i6hb7ccutis4kcwa
Lamento No Morrro,Lúcio Alves,A Tribute To Jobim: Best Hits,Tbhybqzeztnlvhyptzrdmqqe754
Rio,Lucio Alves,Balancamba,Tfimfqwrfjdvjlpulg6p22sihwm
O Barquinho,Lucio Alves,Balancamba,T3nw7l3hbmzbcue7hpyetxkdrmq
Ela É Carioca,Lucio Alves,Pure Bossa Nova,Tqur3lh3f6ixrflv5kw6rtorkgq
Eu Nao Existo Sem Você,Lúcio Alves,A Tribute To Jobim: Best Hits,T77i73atohsmtpztjrg4f5alcjy
Dindi (Version 2),Lúcio Alves,A Tribute To Jobim: Best Hits,T24yydoyeys4ykrei2g6qlkwysq
O Samba da Minha Terra,Lucio Alves,Bossa Nova - The New Wave of Brazilian Music 1958-1962,Tllowphsslczww654ka76p5ta6a
A Noite Do Meu Bem,Lucio Alves,A Noite Do Meu Bem...,Tasa5mvk6fkunsunr4hy2rqee7m
Casinha pequena,Lúcio Alves,Mestres da MPB,Txqjaxjiok7sqbz5on3kfndrr6q
Por Causa De Você,Lucio Alves,A Noite Do Meu Bem...,Tlmh24rmfvhdfb36j4wedq5rmyu
Fim De Caso,Lucio Alves,A Noite Do Meu Bem...,T7co3s5o2m52olzbjcffj7ffzfy
Castigo,Lucio Alves,A Noite Do Meu Bem...,Tc7lejqfkyf5mez65csfqkcpj3e
Valsa De Uma Cidade,Lucio Alves,Doris / Lucio – No Projeto Pixinguinha,T3ivssjoffw7fmfsfysu35sutjq
Cheiro De Saudade,Lucio Alves,Pure Bossa Nova,Toy3me6u2gwafaxof65bvq4n3mq
Ah! Se Eu Pudesse,Lucio Alves,Pure Bossa Nova,Tuqnsqd55vgzosc2mecqke74aqy
Dindi,Lucio Alves,Pure Bossa Nova,Thjosdeywazhv2tjkic5vfnv3am
