Song For My Father (Rudy Van Gelder Edition) [1999 - Remastered],Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Watermelon Man (Rudy Van Gelder Edition) (2007 - Remaster),Herbie Hancock,Takin' Off (Rudy Van Gelder Edition),Tlc26vkm3cht2vlcquagyrukc5q
But Not For Me (Vocal),Chet Baker,Chet Baker Sings,Td2zurllphfi62ngi5mofhe6acq
My Favorite Things,John Coltrane,My Favorite Things (Deluxe Edition),T6jrkxixdjbswiyufn5zseu2p6i
Moanin' (feat. The Jazz Messengers),Art Blakey,Art Blakey And The Jazz Messengers,T7ecrfrjmydk4tfwlw2q4nlaieu
Cantaloupe Island,Herbie Hancock,Best of Soul Jazz,Tveg23tgo6j6j376vzmfoolgwre
Body and Soul,John Coltrane,Blues to You,Tldm6zn5lxx4ugjssbodgno3xcu
My Favorite Things,John Coltrane,Everytime We Say Goodbye,Tdjhy7vorkqpzudida56w5xazh4
'Round Midnight (Rudy Van Gelder 24-Bit Mastering) (1998 Digital Remaster),Thelonious Monk,Best Jazz 100,Tbkiupuuqht66mosl44x4csje3a
Blue Train (Rudy Van Gelder Edition) (2003 - Remaster),John Coltrane,Blue Train (Rudy Van Gelder Edition),Tq2ysqjbdgk3juoielqsuvnpatq
Penthouse Serenade,Erroll Garner,The Hot 50 - Erroll Garner (Fifty Classic Tracks),Tu3ysufg3ffjuvpcscwsl245xje
Mercy Street,Herbie Hancock,The New Standard (Originals International Version),Tcnfj6tyj6m45pdbo6m2d46sy4y
Everytime We Say Goodbye,John Coltrane,Everytime We Say Goodbye,T23v2n3rbxox3ey2bf7c7mzs4ge
Profile Of Jackie,Charlie Mingus,The Art Of Charlie Mingus,Tm3yy4r73mm4ffhqo7wmrusco7u
So What,Miles Davis,Kind Of Blue,T3izkaukeiwhsxjh7bamh7hkuna
Wave,Paul Desmond,Pure Desmond,Thw6zes44jkmrh7ouulhkil6ysa
Naima,John Coltrane,Giant Steps (Deluxe Edition),Tspewjmyrshsc33qwuf4x4d7fne
Love for Sale,Miles Davis,Miles '58 - Miles Davis,Tw2iyjcgluu2hff3cmmvgqtzzpa
Stardust,John Coltrane,"Grandes Del Jazz 23 - ""Early Train""",Twoiducio5eaoq25cxbyyno7yky
Afro Blue (Live In Stockholm / 1963),John Coltrane,Afro Blue Impressions,Tz3pfyp7h43pjnsjywz2pem67d4
Body and Soul,Sonny Rollins,Far Out East,T5omu5c6xpkzmtqs4v3jpovtcuq
Bags' Groove (Live),Miles Davis Sextet,Bye Bye Blackbird,Tlb7hmbhexbx4vr4rdu5gkprsy4
Poinciana,Ahmad Jamal,Poinciana - One Night Only,Tj2azltjctqh7kujwzpmb2mvu2u
The Theme from Black Orpheus,Paul Desmond,Take Ten,Tz22iyoq7e32uc3omm2psc64y3y
Easy To Love,Bill Evans,Plays For Lovers,Tnlnkvq2gegtdrgv4cdgsjlx47i
"Pithecanthropus Erectus (First Take, Incomplete)",Charles Mingus,Charles Mingus In Paris - The Complete America Session (Crystal Version),Tz3uaihltn37w2olblb4cmefg74
Blue Rondo à la Turk,The Dave Brubeck Quartet,Time Out,Tnmw6qo5liwxvukhgtfz3473g54
Misty,Erroll Garner,Erroll Garner,Tnugz7rsfi7vpgjjaspogixr62a
Take Five,The Dave Brubeck Quartet,Time Out,Tn5pmntxulndl4mdhdmanhqw74i
Corner Pocket,Count Basie,Basie Boogie,Tipleru5chrnk5n6o6y7bdlezlq
Ruby My Dear (Rudy Van Gelder Edition) (1998 - Remaster),Thelonious Monk,The Very Best,Tm5xw2vgw72tkmw44xffdu3yckm
Dear Old Stockholm (Alternate Take) [Remastered],Miles Davis,Hot Summer Jam,T2tf3kpc27uxhswaoae6nqtfuaa
Funkallero (Original Mix),Bill Evans,There Came You,T3ehgvqlsngzlt4zqwvemy3hsua
Samba De Orpheu,Paul Desmond,Black Orpheus,Tf7ptwtnjussjjppii6blzmdx4q
"Straight, No Chaser (2nd Version)",Thelonious Monk,"Original Works (Original Artist, Original Recordings)",Tfiyy6x3hlsctcvstukqoaecvoq
West Coast Blues,Wes Montgomery,Heart Strings,T2xskswpohk4home5e24jqb656u
Blue Rondo à la Turk,Dave Brubeck,Dave Brubeck's Greatest Hits,Ttc2xr3r6bebysdfgxofdi4iruu
Autumn Leaves,Paul Desmond,The Very Best Of,Telr556jtd5l2l6nz65piupdsj4
Giant Steps,John Coltrane,Giant Steps,Tru6dpfvcghb6ddtpxs3hdaeqju
Cousin Mary,John Coltrane,Mr. Syms,Tkjzyzsagz7nrsamj5yvlszax2u
Naima,John Coltrane,John Coltrane,Tty6ema2qpu7ndpkbqozuk7ilrq
Like Sonny,John Coltrane,The Legend Collection: John Coltrane,Tmsuin3mf3ky26i5zl3jwuv2eau
You’re Driving Me Crazy,Chet Baker,Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster),Tbvgjcxa7wo6ihagd56iickumqy
How High the Moon (Remastered 2016),Chet Baker,Greatest Standards for the Night People Vol. 4 (All Tracks Remastered),Trtwcq5fmsjs5u4zzf24ke57k5y
Poor Butterfly (1999 Digital Remaster) (The Rudy Van Gelder Edition),Sonny Rollins,The Very Best,Tyxbp4wnpgcgsfuco6n4fc24kpu
Just Friends,Charlie Parker,Charlie Parker with Strings. The Complete Master Takes (Bonus Track Version),Thbza7ckkxb2oih6bc2ccmkdp7i
They Can't Take That Away from Me,Charlie Parker,Charlie Parker with Strings. The Complete Master Takes (Bonus Track Version),Tth3xjsowmw55xq623odsxemkci
Lonely Woman (Rudy Van Gelder Edition) (1999 Digital Remaster),Horace Silver,Song For My Father,Tp2briibwptgu5nh6bbrnxxfnu4
Mimosa (2005 Digital Remaster),Herbie Hancock,Inventions and Dimensions,T5q3ublwtsvnebd733bovsi5keu
Night and Day,Sonny Rollins,The Standard Sonny Rollins,Ttbapux7sxrgeu4hy4wbsep2puy
I'll Be Seeing You,Sonny Rollins,The Standard Sonny Rollins,Tqg75nc4d7mitmtf6xy3jf5krbm
