Hotel California (Remastered) [Live],Eagles,"The Best 1972 - 1976 (Remastered) [Live, The Summit, Houston Tx 16 Nov '76]",Tvyk24thavqctaitesok7snosmm
Revolution (Remastered 2009),The Beatles,The Beatles 1967 - 1970 (Remastered),Tbl5wh5pssvwdalewfs2oxki7km
Rain (Remastered 2009),The Beatles,"Past Masters, Vols. 1 & 2 (Remastered)",Tqhilbv7g56wqcuxu4olsd3fp34
Old Brown Shoe (Remastered 2009),The Beatles,The Beatles 1967 - 1970 (Remastered),Tl2aqvcn5jxkjvgr6syapz6lswq
Hey Bulldog (Remastered 2009),The Beatles,Yellow Submarine (Remastered),Ttzxol234hojqegvu3pofqg7ynq
In The City,The Jam,In The City,Tzxqe3wjq3hdsqjlwo4qu6it3ni
Needles And Pins (Remastered Version),Ramones,Road To Ruin,Tvjlvtsehi24uzlzstqrgop35gu
You Really Got Me,The Kinks,You Really Got Me: The Best Of The Kinks - The Kinks,Trxwunadzawif5t44ldg5eeiwom
Stray Cat Strut,Stray Cats,The Very Best Of,T3ylrqvpa5pa7yby244hlkx4tmy
Burnin' for You,Blue Oyster Cult,Fire of Unknown Origin,T643xxfl4zihjg7b7xmotqpqu2y
Dreamtime,The Cult,Dreamtime,Tvotk3kri5foz4qd4nrhr3nsbga
Pain Lies On The Riverside,Live,Mental Jewelry,Tpxh64h7tqqxuj3yurtfd2grsoe
Brick Is Red,Pixies,Surfer Rosa,Tado374exzqi4smsf7wdajis2pu
Telegram Sam,T. Rex,Classic Hits,Tpka72i5pnr5wfiy2tdxmhnwuyq
Chinese Checkers (Single Version),Booker T. & The MG's,The Very Best Of Booker T. & The MG's,Ttuz3kimgcagnkqnklc2ot72keu
Don't Stop Believin',Journey,The Essential Journey,Tgmu7frgday3jwrkj5hl7h5dkdi
