Periódico de Ayer,Héctor Lavoe,"Rumbo al Caribe, Las Estrellas de la Salsa",T4nd22vtzpnkekws4rxbhzp25ty
El Preso,Fruko y sus Tesos & Wilson Saoko,Música Tropical de Colombia (Vol. 13),T27hxininqperjdc7bjoukkzjjq
Fuego en el 23,Sonora Ponceña,"55 Aniversario, Vol. 2",Tonacie6htazblvilqpcon6dgzu
Pedro Navaja,Willie Colon,A Man And His Music: The Player,Tgu5nqigywlyldnghkf3oa5gt4y
Vivir Mi Vida,Marc Anthony,Verano Hits,Toxhrtrbj7qu34u6vvpbwn5ctdu
La Rebelión,Joe Arroyo,La Mejor Salsa Vol.1,Ttuuxl7kfucqtba4hfq6ajmduje
El Comején,El Gran Combo De Puerto Rico,Sin Salsa No Hay Paraíso,Tw3ztstfxjkyj2ymiauoxcv7jmy
Cali pachanguero,Grupo Niche,Cali Pachanguero,Thwmei32uxa7yxd5dysh4g2zpye
Toro Mata,Johnny Pacheco,"New York Fever Vol.1 - The Big Apple Soundtrack : The Quantic Soul Orchestra, Kerri Chandler, Alice Russel, Tito Puente, Celia Cruz, Elephant, Bonobo, Romare, Agoria, Møme…",Tenl4x3rhlqhijppab3f6wckiza
Ven Devórame Otra Vez,Lalo Rodríguez,Ven Devórame Otra Vez (Baile Total),Tpcnb4evq52upjyyekbfoqst37e
Las Caras Lindas,Ismael Rivera,"Cantando a Borinquen, Vol. 25",Trsn26kbkqoywrjgxfmgtnafm7u
Dile a Ella,Víctor Manuelle,A Pesar De Todo,T57w6hq5xmhkmpomeklvsibzhju
Conteo Regresivo,Gilberto Santa Rosa,Salsa Caliente,Tndfp3czcgf7t3qdgrikxopnmiy
Quítate Tú (feat. Ray Barretto & Yomo Toro),Fania All Stars,Ghetto Klown: Music From My Hood,Trwvwt4hjubminjr47ky4zy7g2e
Conciencia,Gilberto Santa Rosa,20th Anniversary,Trgarykymwhkcyo7lpmx7lb42gi
Yambeque,Sonora Ponceña,Determination,Thpa35ytbmo676zcpsup27cvjhm
Sonido Bestial,Bobby Cruz,El Bestial Sonido de,Tvcxcoorb6gecwbdaijauy6eywy
Mi Gente,Hector Lavoe,El Cantante,Tutyypblqr5ixytubkszzudlhmq
El Menu,El Gran Combo de Puerto Rico,Happy Days,Txh7zgluvoosvg2uw6ead3arae4
La Vida Es Un Carnaval,Celia Cruz,Para la eternidad,Tsljwzoaf5erhzp47w5pr6ttrvq
Llorar Es Una Locura (feat. El Mola),Fanny Lu,Llorar Es Una Locura,Tajwb5cj73p32a5zjbgdwdxtzdu
Todo O Nada,Rubén Blades,Tras la Tormenta,Tv5f5yzyiqweua3td5776ny5kji
Lo Malo Se Va Bailando,Alex Matos,"Hot Salsa 2016 (21 Salsa Latin Hits - Salsa Romantica, Urbana, para Bailar)",Tdwszwxgdk465qjhrbjsum4ijoe
Salsa Pa' Olvidar las Penas (feat. Gilberto Santa Rosa),Víctor Manuelle,25/7,Tnt6p5guzhwhsjomcabrnoz6xye
Corner Pocket,Tito Puente,Salsa Meets Jazz,Txo22d5sczvkt24ysvh7rg53qk4
