Nena Nanã,Jorge Ben,Sacundin Ben Samba,Tlmbext5jgkb67utvo6rtu4kwpe
Praia,Os Cobras,O LP,Tkek6c2onbdozdyy3v7xte5xnui
Na Tonga Da Mironga Do Kabuletê (Ao Vivo),Fernanda Abreu,O Baile Do Simonal (Ao Vivo),Tqq5ydqodvdf2bmdsblxfbzjh7a
Tamancas do Cateretê,Orquestra Imperial,Fazendo As Pazes Com o Swing,T7wfru4mfgndajyllscth37unna
Aurora da Revolução,Marku Ribas,4 Loas,Tfhvbr37tsjwgia6ou543fbja6i
Hino Vira-Lata (feat. Quinteto em Branco e Preto),Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,Tnz4mcwykvfuzti2emhh2dpxchq
Gomalina (Ao Vivo),Orquestra Imperial,Ao Vivo,Tpthvunyy6ecr6diymy3g5wphre
Pra Gente Fazer Mais um Samba,Wilson das Neves,Pra Gente Fazer Mais um Samba,Tt2qvdt5qve7pm22wmj6m5f236a
Quintessência,Samba Jazz 40°,No Olho da Rua,Tzwgh5zznhlmks7a2bw4ns5ibzy
Maná,Rodrigo Amarante,Cavalo,Tu6pljd2vr3whvbolasz2nzudbi
Sem Estrela (feat. Curumin),Rodrigo Campos,São Mateus Não É um Lugar Tão Longe,T2h2bqzd3f3y2blrhovhbdxsaia
Coisa Nº 10,Moacir Santos,Welcome To PEDRA BONITA - Instrumental Flights Over Brazil,Tnmq2d6k3tuofvnh37addkrmhoi
Quando Você Está Sambando,Kassin,Sonhando Devagar,Tt6na5hubvgehxgkwmqafp65324
Rebola Nêga,Vanessa Da Mata,Segue o Som,T5piiknsdou75h64maolpynyyla
