Djelimory (feat. Fuseini Kouyate & Ira Coleman),Mamadou Diabate,Tunga,Tgluaib6qcqbbrumyompanukomy
Love,Mamy Mbaye,Love,Tokgydz7fadydd4gkoiuow6jiva
Mon Choix,SIDY DIOP,NDORTEL,Tp2rjvbj4mdh7ryht6i3vegp4si
Coffeel,"Mamadou Mbaye aka ""Jimi""",Yaye Digalma,Tmwpontrfyto4x7penfw6hv73wm
Dieureudieuf Forever (Live) [feat. Jo Jo],Coumba Gawlo,23 ans de Succès - La diva à la voix d'or (Live),Tffn445zdenoy3jzanan5i7ssxy
Yalla nay moom,Carlou D,A New Day,Tujh7bqzccih4vc3uezou52u77i
Yeugouloma,Souleymane Faye,Senegal Flash: Dakar,T3pznfs5facrbp5objm2bm7foxu
Te Toque Sin Querer,Lenier,Te Toque Sin Querer,T6u4msd6hie6bu7ixsgjktmcyzu
Siyo,Coumba Gawlo,Terrou Waar,Tkf4svvgeogfa6gtnfr4eknhzxa
Fonema,Coumba Gawlo,Dewenëti show,Tmsyeszqzh746yvd64mkei4qnni
Dougou Dougou,Lemzo Diamono,Simb,T4cguwxrcpu5s2pa5gvydlpr64a
Paradise,Wally Ballago Seck,Xel,Tvey3nr2imt7miwaytsxjhaqc3u
Boy Dakar,Alpha 5.20,Rakailles 3,Tyuluqklpo5pire4j6amihglgcy
Farafina,Ismaël Isaac,Black System,Tjt4p6jj3wrzkzus7hs5cvq6jlm
Gëstu,Aida Samb,Sarabaa,Tdtytacb5eoe65xq23rfeu4ekti
Demna (Sax-piano),Dior Mbaye,Demna,Tnh7tjey7bwwl4tvvijy5szruzu
Ndawu rew mi,Yoro Ndiaye,Nittu nitt,Tufdxx7w3vtgj7gqduu7dxf663u
Pape Ndiaye,Orchestra Baobab,Made in Dakar,Tgvmawhgcqmn5apc4zvhp5bkr24
Woyal,Yoro Ndiaye,Laamisoo,T5mxwqn2ykjzyow762zg3wfwtm4
Chance,Lemzo Diamono,Marimbalax,Tlbilgbtb2imi32rtvgvlwkassq
Nima Yalla Def,Idrissa Diop,Voyage (Travel),Tf4pkhlkb2f6r6g7rysafdm6n7y
Marchands ambulants,Titi,Titi la lionne,Tvt7jbvv64iqjytr64xoow6sg4e
Manmignoul,Thione Seck,Orientissime,T6sfcflhcq6gszlx3tbnvgt24e4
Diabira,SIDY DIOP,NDORTEL,Tybfzud7nncm5rvgu66ema6lccu
Aqq (Remix),Yoro Ndiaye,Màndu (Remixes),Tos2fs6ijexbhwbks6spoj73nhm
Everything (...Is Never Quite Enough),Wasis Diop,Séquences,Tnowdq6giyppqwoeoodgor7csbe
Teungueth,Pape Fall,Ke Jaraxam,Ttwaszqieddply2iryidzc4qmfq
Fedde,Soumboulou Siby,Ido Tixu N'daga (Kalitex présente),Trot2lac2vdyc65xg73p4qsqa4i
Lo Que Me Hicistes Me Gustó,Zantana & Will,Lo Que Me Hicistes Me Gustó,Tvqgthapevol2g5nvjtm3vkcp4y
Assalo,Thione Seck,Demb II,Twvcyzul6kvsf3fha7sek2hrntm
Baawu Naan,Carlou D,A New Day,Ttpvuce3lxjskkq566d43ti4age
Begge sa Reew,Carlou D,A New Day,Tm4eacxiyanc2thzcotizycrude
Papa Thione,Wally Ballago Seck,Voglio,T54d43inzrzxabzfgn76i24di7y
"Seyni ""Plus""",Pape Fall,Ke Jaraxam,Tbjrbhq7jpmunfkpoqdzx3raymm
Mon chocolat,Safary,Mon chocolat,Tvfxiif6nx36eqlyxnmb2oydkoq
Abdou Gueye,Souleymane Faye,Guëw,Tofugyz4vmltluesfrvugygsuim
Simb,Lemzo Diamono,Marimbalax,Tkhycxnqlnf5lhu2wpvbylii7cm
La Bicycletta,Laba Sosseh,El Maestro,Thqyl4fv2drz7mk4xqgztxukyq4
