Bang Bang (My Baby Shot Me Down),Nancy Sinatra,How Does That Grab You?,Tdn4otwyy7dtchbkt4vksd2ei4m
Coconut,Harry Nilsson,Personal Best: The Harry Nilsson Anthology,Tnqpifnmhz4xs2vbqu27p24fqoe
Run Fay Run,Isaac Hayes,Stax Classics,Tbnm6nm6b4arewd4n3kocvv2r34
"Fango giallo (From ""Django"")",Luis Bacalov,Luis Bacalov Music Collection Vol. 3,Twrrrny5drcx2w4h24ylbbl6odu
Western Ballad (His Name Was King - Lo Chiamavano King) (Remastered),Luis Bacalov,Western Ballad (Remastered),Tuvav2gr6xhkkeuvipyz5sv7euq
Summertime Killer (Ricatto Alla Malla),Luis Bacalov,Kill Bill Vol. 2 Original Soundtrack,Tkg5hwifiord4z4xhawd7ef44cm
"""Major Warren Meet Daisy Domergue"" (From ""The Hateful Eight"" Soundtrack)",Jennifer Jason Leigh,Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),Tkcdnndc2xtjp6c47l7oao2r5k4
Bustin' Surfboards,The Tornadoes,"Apero Time, Vol. 2 (50 Hits Before Dinner)",Tc44zhlyfqhpx3lt4mdtpa4bnjq
Don't Let Me Be Misunderstood (Acappella),Santa Esmeralda,Don't Let Me Be Misunderstood,Tpbtu6llwcffgexpvkgou4twadi
Green Hornet,Al Hirt,"Kill Bill, Vol. 1 (Original Soundtrack)",T5xpo6eb7lo6a4mfgwuwcnrcfyu
Two Hearts,Chris Isaak,Best of Chris Isaak,T37dqd4n3rnj7inxwwcpnbp3ngi
Flowers on the Wall,The Statler Brothers,Flowers on the Wall,T44zphjic6t6sgqkzr4344wf4wu
"Now You're All Alone (From ""The Hateful Eight"" Soundtrack)",David Hess,Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),Trg55nvdvhh4rsygfonxztmyyii
Didn't I (Blow Your Mind This Time),The Delfonics,Didn't I,Tmbtnrw6mqsfon4ljmdfa3r4wmm
Spooky,Peggy Simms,The Best Halloween Party Ever,T2uzf7gvsukjr7qpyzqu5d6vkry
Little Green Bag,George Baker Selection,The Tarantino Connection,Txxvg7cwqdv5ey6itnabbx2cqvy
Outshined,Soundgarden,Telephantasm,Tvgutbmmjukgfvttk34oqmmqv3q
Jack Rabbit Slims Twist Contest,Jerome Patrick Hoban,Pulp Fiction (Music From The Motion Picture),To7u2nousxo2sbau3puoitmznny
"Overture (From ""The Hateful Eight"" Soundtrack)",Ennio Morricone,Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),Te5ic4nax6gkbkcwzksku7s3uca
Satisfied Mind,Johnny Cash,American VI: Ain't No Grave,Tskvpymzmcswuwdhfurwgcipi34
Surf Rider,Lively Ones,The Birth of Surf Vol. 1,T5mkqfggfop36ebdkzzarkexvvm
Mary Had A Little Lamb,Buddy Guy,A Man And The Blues,Tqxmijlmplbly7o7aveyzaefewm
Battle Without Honor Or Humanity,Tomoyasu Hotei,"Kill Bill, Vol. 1 (Original Soundtrack)",Tjromddnkwset3e3pc3yixiboiq
She's Just Killing Me,ZZ Top,From Dusk Till Dawn Music From The Motion Picture,Ttcr3dkzzhfbga7gjjs6ygblzki
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
Strawberry Letter 23 (Re-Recorded),Brothers Johnson,70's Mixtape Vol. 3 & 4 - Music Inspired by Guardians of the Galaxy,Tqhquvlwafkyxcadzrusribwtzy
The Love You Save (May Be Your Own),JOE TEX,"The Very Best of, Volume 1",T32rpfeu5ns3bj35tdu3gyniksy
The Flower Of Carnage,Meiko Kaji,"Kill Bill, Vol. 1 (Original Soundtrack)",Tbf6hmnibpopoqquflg3pvhnaqa
I Put A Spell On You,Kim Circle,Monster Halloween Hits,Tuzrilysi7fen3nx6za5mj7f3gm
Swamp Thing,Malcolm McLaren,Swamp Thing,T3vo2w3jcgupz5rvf5dqoen3l2q
There Won't Be Many Coming Home (Remastered 2015),Roy Orbison,Roy Orbison: The MGM Years 1965 - 1973 (Remastered),Tbrsb23yhiy56i42qhle4jqz3gy
Ancora qui,Elisa,L'anima vola (Deluxe Edition),Tkjqrftck5bsb76yixqc4my7uii
Lonesome Town (1990 Digital Remaster),Ricky Nelson,The Legendary Masters Series (Volume 1),Th5gncfgfbtlir4ndp3fdw5bpea
The Surrender (La Resa),Ennio Morricone,"The Surrender (La Resa) (From ""Inglourious Basterds"")",Tpd37dbrg7wmjgsiz7aqyhcpyy4
Goodnight Moon,Shivaree,Kill Bill Vol. 2 Original Soundtrack,Tdfz7p7777prr3hyfabe43vipra
Fever,Ann O'Day,Valentines Jazz Lovesongs,T362tzm4pzvabmad5czve3jxzzm
Cat People (Putting Out Fire),David Bowie,A New Career in a New Town (1977 - 1982),T4zvpxpefwvojhmig7jbi6ranye
Baby It's You,Toni Smith,Baby It's You,Txzdavresw4ygtq7gqyzb63yfym
Oh Why,The Robins,Since I First Met You,Tcewx743hkcd5xpfdicw2csycom
I Got A Name (Stereo Version),Jim Croce,I Got a Name,Tjcce5czjdhtvysf65ztrkaxpfm
"Apple Blossom (From ""The Hateful Eight"" Soundtrack)",The White Stripes,Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),Ttkw4hncgjv4zlsunhlojjldk4m
Who Is He (And What Is He to You)?,Bill Withers,The Essential Bill Withers,Tfs3uc2xsmptf63dj2ndvm32w6u
Dark Night,The Blasters,The Blasters Collection,Tvwqvqepczqh3yfkx2kcqdsfmxi
Winged,James Russo,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,Tiu4iihbr7m3z7hpb772f45qjpu
That Certain Female,Charlie Feathers,Teenage Cruisers,Tqwdydp3yjiioppnrfblnsla6cq
Woo Hoo,The 5.6.7.8's,Bomb the Twist,Tdwmpiicb4lszx6cakbecraky6a
Unchained (The Payback / Untouchable) (Album Version Explicit),James Brown & 2Pac,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,Tlx72lqvrbsxxkjzvib6iqrvrx4
Tu Mira (Edit),Lole Y Manuel,Kill Bill Vol. 2 Original Soundtrack,T6iuncxotk7l5dwdpnonqtby63a
Natural High (Single Version),Bloodstone,The Essentials: Bloodstone,Tvzzfvgqhyqsfb4hd53otlhz2d4
Too Old to Die Young,Brother Dege,Folk Songs of the American Longhair,Tsnmsotcypn7eym473xkhwzf4ve
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
Jungle Boogie,Kool & The Gang,Easter Morning,Tpabjbfmtpz5dqpaaqfzejnsuwq
(Love Is) The Tender Trap,Robert Palmer,Ridin' High,Tik4rlf7prodzbfrhej2dohrvkm
Staggolee,Pacific Gas & Electric,Are You Ready?,T36pwe4rk2hvrydpycc4ml7l4xe
Jeepster (Electric Version),T. Rex,Bang A Gong (Get It On) (Extended Version),T6qszcg5kx7qnqj26miug6eiuxi
Jeepster,T. Rex,Reltane Walk,Tb7hn2dbfyhgntymhmzz6ezpwu4
Tennessee Stud,Johnny Cash,American Recordings,T3shage3rw6odl77dqitafv7n6y
"Girl, You'll Be a Woman Soon",Urge Overkill,Stull,Tiezejcduuj2ys7rfgghc6tqgt4
Twisted Nerve,Bernard Herrmann,"Kill Bill, Vol. 1 (Original Soundtrack)",Tkqpszych2lsped2fghqr4p3psa
Can't Hardly Stand It,Charlie Feathers,"Dixie Fried: Rockabilly Hits, Vol. 6",Td4ix7h3kds5ecmiwebuets7hna
