"Nem Luxo, Nem Lixo",Marina Lima,Pessoa,Tk2nswfimflrrw6myalzv3cjf7m
Educação sentimental II,Kid Abelha,2 é Demais,Tg4hx2emb3vxvorrpn52zb2goeq
A fórmula do amor,Kid Abelha,2 é Demais,Twuofi66cxo4uoqokr6b4jwsdru
Perdidos na selva,Barão Vermelho,,8ab08049-ad0b-3fe6-bbb1-f3972bef0e0d
Nosso Louco Amor,Gang 90 & Absurdetes,Essa Tal de Gang 90 & Absurdettes,Tcwk3sdnzgzqyj2g5g3ymoxwzaq
Nada Sei (Apnéia) (Ao Vivo),Kid Abelha,Acústico (Live),Tvqiseimaw3hys77midjznlpx7m
Coisas Do Brasil,Guilherme Arantes,Lance Legal,T3u3ihwsu2s34nkb55or2c4syue
Justo Agora,Adriana Calcanhotto,Cantada,T2lsfkpz3puffeduwzjgstf4ope
Lance legal,Guilherme Arantes,Dirigindo No Brasil,Tmbacd7qqlmknqsao6ybrgfycsq
Deixar Chover,Guilherme Arantes,Lance Legal,T6db2y4ksdrxehlvo672inlp4kq
Maresia (Ao Vivo),Adriana Calcanhotto,Público,Tdqy3tzffifbeof5yrnuuo3gy74
Rolam As Pedras,Kiko Zambianchi,Retratos,Tyry5xmfyjmmobnr7tbye6teife
Teorema,Ira!,Isso É Amor,Tu5lfs7rjia5ubh4xgkaosb6ale
Sentado À Beira do Caminho,Ira!,Isso É Amor,Tsbeino6bjm3jqt4vvwpzlzs2qi
A Vida Tem Dessas Coisas,Ira!,Isso É Amor,Tjdqblw4a2qe5dnhwzfp6ukrhay
Baile da Pesada,Fernanda Abreu,Entidade Urbana,Tlffrh4dgsyeyskx3m52ifq3k7u
Zona Norte - Zona Sul,Fernanda Abreu,Entidade Urbana,Ts727acmr4g54fkxsasgigqfp2a
Sândalo de Dândi,Metrô,Olhar,Tocs5jzlshg2u2f3m4tofb6kwji
Tudo Pode Mudar,Metrô,Olhar,T6kme5cdxim7ixm22dbnjq6xova
Ritmo da Chuva (Rhythm Of The Rain) (Ao Vivo),Fernanda Takai,Ritmo da Chuva (Ao Vivo),Tf656642f5y7cqo57tmg33mirom
"Com Açúcar, Com Afeto",Fernanda Takai,Onde Brilhem Os Olhos Seus,Td4ysrikqd7wcv4any4mc7mbc6u
Dias de Luta (versão acústica),Ira!,Acústico Ira!,Tmniwggr3we4y6lmbjyypzkn6k4
Tarde Vazia (Versão Acústica) (feat. Samuel Rosa),Ira!,Acústico Ira!,T2vpbmavhwm7trefsowyodkungq
Núcleo Base (versão acústica),Ira!,Acústico Ira!,Tyu4kkeisavvum5pouiry5cstva
Fico Assim Sem Você,Adriana Partimpim,Adriana Partimpim,Tlo7nw2ozebvbybijdmx6bb2phi
O Homem Da Gravata Florida,Jorge Ben,A Tabua De Esmeralda,Twzwwzfh3mxyakraatqnqnugg4i
Cinco Minutos (5 Minutos),Jorge Ben,A Tabua De Esmeralda,Tvqy6ey2pyj2iot3aeezwaq72na
Quero Ser Feliz Também (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,T2lxxavi7humqnnvarm6n5cd4ya
Andei Só (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,Tw4cbhspblbkp265ow4dd4twpnm
Você Me Encantou Demais (Ao Vivo),Natiruts,Play: Namorados,Tunew64hcsy6o3ufumv2454qubq
A Noite Vai Chegar,Lady Zu,A Noite Vai Chegar,Tyqc74gh35blvjayud4wu5oto5e
