Hellhound On My Trail,Robert Johnson,Crossroad Blues,T4kt25lk76cddsx3dbz3va3ke44
Mannish Boy,Muddy Waters,Hard Again,Tdbz6jvrw6a4yi3p7nmmxgdzsfe
How Many More Years,Howlin' Wolf,Moanin' In The Moonlight,Tudjw3zptlba3w7tgndqc3ohufy
Boogie Chillen',John Lee Hooker,Boom Boom,Tn5nkjkilndcesyhtmtdgpix5ei
Gimme A Pigfoot,Bessie Smith,The Collection,Ts7ffe2omgar2v4vro7wan5qhyq
Dust My Broom,Elmore James,Dust My Broom,Tc3dhpejj4cj3p2hpnvw5js6wxe
Where Did You Sleep Last Night,Leadbelly,Where Did You Sleep Last Night (Greatest Recordings),T7dbl2hu4ph2fk5b4xcll4czp3a
Alabama Blues,J.B. Lenoir,Alabama Blues!,Tmflykkatzw24xwwbmcyyhy4t3m
Crow Jane,Skip James,Today,Tes2gy3pz3zfjjuepxkdkbq5jqe
Mean Old World,T-Bone Walker,T-Bone Blues,Tebezxaalwvw2ksevrtot44dn3e
Got The Blues For Murder Only,Lonnie Johnson,Essential Blues Masters,Touujdvkj6gc6mozsmbshymhs2a
Trouble So Hard,Vera Hall,"Old Country Songs from Down On the Farm, Vol. 1",Twzgobqykaszvlc7f5wfy44dbx4
Pearline,Son House,The Essential Son House,Tuwpg5kmm4nfbc7d5dktlefocym
Back Door Man,Willie Dixon,I Am The Blues,Tetuxzw6mvr6sjiy5lci2mtplo4
Black Snake Moan,Blind Lemon Jefferson,Black Snake Moan,T5uakssbdlgi37n3gcdo4ws2e6u
Slowly Walk Close to Me,Sonny Boy Williamson,Keep It To Ourselves,Twqyclbf6xnx3yy3a5nma5hu2y4
Pay Day,Mississippi John Hurt,The Library Of Congress Recordings Vol. 1,Txb6g4jdf7utvib6dtkofnwtgie
Ball And Chain,Big Mama Thornton,Stronger Than Dirt,Tbky3e5ogg5gadrsycnilhdfrte
Canned Heat Blues,Tommy Johnson,Blue Guitarists,Twgqzqcezkq2mrnfqzifneqn2iu
Memphis Blues,W. C. Handy,The Greatest Hits of the 1910s,Tgq65kcalhduhdekjcajmnktyoi
