"Here, There and Everywhere",Franck Pourcel,Manchester Et Liverpool,Tjorhcfabgkoqepwtggm75vmiia
Everybody's Got Something To Hide (Except Me And My Monkey),The Feelies,Crazy Rhythms,Tfqgtmufd6oamgdbh6ozeucrmbu
Taxman,Junior Parker,Funny How Time Slips Away,T7i6kabkstnhj7lk7od7crzbmce
Mother Nature's Son,John Denver,Rocky Mountain High,Tuks27mn2htrwypkwvolbld2s5y
I've Just Seen a Face,The Beatles,I've Just Seen a Face,Tqtbglircceo6ha5wtztu7wt7ju
Forever,Strawberry Fields,Fractalism,Tb4tyk3hx2mslfyycpbm33k2uky
Michelle,Rubblebucket,Triangular Daisies EP,Tbo36yihbkgtlpgvzjv3tbpdfbq
You,"Earth, Wind & Fire","The Essential Earth, Wind & Fire",T5ta2numi3i5xros5phclupzkwq
Hey Bulldog,Toad The Wet Sprocket,I Know What You Did Last Summer - The Album,Te3dhykgasrvydfrf4xulv3p6tm
Happiness Is a Warm Gun,The Breeders,Pod,Tfnap7hir5ijxgfvkj7r3jt2uo4
The Long and Winding Road (feat. Hans Fenger (Musical Director) & Irwin Chusid (Producer)),The Langley Schools Music Project,Innocence and Despair,Tpegjm7lkzr5gkbpsmertyizi4a
Run For Your Life,Thee Headcoatees,The Kids Are All Square - This Is Hip & Girlsville,Tnlhzfiado7p2ei2blhxqpxe2f4
Help,The Damned,Red Tape Punk Music,Tjv7n23colbshfo67ps5mwtwspq
I'm Looking Through You,Mark Heard,Second Hand,T4dm44qdvsn5r4fwxlyrjwnu7ze
And Your Bird Can Sing,The Jam,Sound Affects (Deluxe Edition),Tu7cfck4ls32xteypmxl52xzydu
I Will,Alison Krauss,Now That I've Found You: A Collection,Tp6ap6k54gmvgfaflc3yyf5cnry
(You've Got To) Hide Your Love Away,Tim Rose,Tim Rose/Love: A Kind of Hate Story,Thid2jdr4vt4lcgfgge27j7z3wm
Dear Prudence,Siouxsie & The Banshees,The Best of Siouxsie and the Banshees,Tbertk7vfra2mnc54ingtbuii7i
Got To Get You Into My Life,Daniel Johnston,1990,Tzmn3azcqbihjgedxlralflikdi
Night in Paris (Mellow Jazz Music),French Piano Jazz Music Oasis,"You & I - Cities for Lovers, See the Light, Somehow Work Out, Without a Word, I Loved Him, Enchanted, Feeling Love, Let Me be Your Wings",Trpxpxvsr5xbnz4cilxuh4e66e4
Helter Skelter,The Global HitMakers,The Global HitMakers: U2 Vol. 2,Tbvmwcsdbsqfxysmnhhlodd2ppy
I Don't Want To Spoil The Party,Rosanne Cash,Super Hits,Tqhgvnntrhhftm6ye7laqjj5wi4
Here Comes the Sun,Richie Havens,Summer Hits,Tldr6sid6e3ontjwrkweza3ag2m
I Am the Walrus,OINGO BOINGO,Boingo,Tfsjlhix2cb3lvukfs46wyujhvi
Real Love,regina spektor,Make Some Noise: The Amnesty International Campaign To Save Darfur (Int'l Only),Tjtxt4xmcbxtndlodw2i3fx3pxe
Revolution,Nina Simone,To Love Somebody (Expanded Edition),Tssibzgz2xem5rqg5ypkdabalkm
She's a Woman,Jeff Beck,Best of Beck,Te4xise5tjc4xmym3ifwufm5p44
Chicago,Sufjan Stevens,Illinois,T7qn7gmf7u5a6tqhbqrcypiesca
For No One,Emmylou Harris,The 70's Studio Album Collection,T4bihfovxv2sdz2by22pi53pi54
Come Together,The Brothers Johnson,Look Out For #1,Tt36nkzduuhnztidqxnunjsb7a4
With A Little Help From My Friends,Joe Cocker,With A Little Help From My Friends,Tr4a2fyscpwl5bgx6g7fywg472a
Hey Jude,Wilson Pickett,Hey Jude,Tyk2h2nmjab5rja7ljpt5nruuky
Getting Better,Gomez,Abandoned Shopping Trolley Hotline,Tky55ejb5dfvumqz3poysuspr2y
Come in Stranger,Johnny Cash,My Life Melody,Txmejgdpzzlgezl2qhvlmtbcxey
Two of Us,Louis Tomlinson,Two of Us,Ty2luykyiw5zt2pcnko66wsm52i
Because,Elliott Smith,American Beauty (Original Motion Picture Soundtrack),Tubjaqr567roz7athjii4t2b4ly
Eleanor Rigby,Aretha Franklin,Sound of Funk,Tfxopcmdiitdhvajurvefuycleu
"She Said, She Said",The Black Keys,The Big Come Up,Tyod74zkfy3s5s33sjsoocvegxa
We Can Work It Out,Stevie Wonder,"Stevie Wonder's Greatest Hits, Vol.2",Tbby537uuqsf2rko7wxgqvyrmhy
I Want to Hold Your Hand,Al Green,Love Ritual,Tvfitni2bl5neukdzl3zjjrj3ey
