Hellhound On My Trail,Robert Johnson,Robert Johnson's Blues Collection,T73ar7o4kyc47a47ogpn6kczxqu
Mannish Boy,Muddy Waters,Ten songs for you,Twed6obfui7axgyhy5kwzviisli
How Many More Years,Howlin´Wolf,"All Blues, the Best of Howlin´Wolf",Tl4p7tediu3txcosj34m6e2le4m
Boogie Chillen,John Lee Hooker,Boogie Chillen,Tc25by7dsipbsmoliejed4al6fu
Gimme a Pigfoot,Bessie Smith,Sunrise,Tcrr4cgywm4gcxfyudkku4kygea
Dust My Broom,Elmore James,Dust My Broom,Tc3dhpejj4cj3p2hpnvw5js6wxe
In the Pines,Lead Belly,"Where Did You Sleep Last Night, The 1941-1946 New York Recordings, Vol. 1 (Hd Remastered, Legacy Edition, Doxy Collection)",Tf2gn7lboohqz4h4xs6ktdpgaui
Alabama Blues,J.B. Lenoir,Alabama Blues!,Tmflykkatzw24xwwbmcyyhy4t3m
Crow Jane,Skip James,Blues on Air,T6bcqekdkzeqy636fur4dptzb7y
Mean Old World,T-Bone Walker,Mean Old World,T6erjgxgb3ueur5npyi3s2bevuq
Got The Blues For Murder Only,Lonnie Johnson,Essential Blues Masters,Touujdvkj6gc6mozsmbshymhs2a
My Baby,Little Walter,Feelin' The Blues - Diggin' The Rhythm 1,Tjqlh2usyar7vbakdqkqqvyvm2u
Trouble so Hard,Vera Hall,Play That Country Music (White Boy),T7doaug63asrntask7unkmplllu
Pearline,Son House,"The Story Of The Blues, Vol. 2",T2bvuluswdcc4drx7m6iq5cnj4u
Back Door Man,Willie Dixon,"I Am The Blues (Hd Remastered, Legacy Edition, Doxy Collection)",Txm3h2bqo3dkcw4epl7tzhfjlzi
Black Snake Moan,Blind Lemon Jefferson,The Black Album - Blues,Tlzudaeqowyyhe6kcnhq5ijfzli
Slowly Walk Close to Me,Sonny Boy Williamson,Love In Vain: The Very Best of Sonny Boy Williamson,Tgsmzmdoymomx4fmwjk2mxzr2ra
Candyman,Lost Jim,Payday: Lost Jim Plays & Sings Mississippi John Hurt Vol. 2,Tzeaauksygce3uqbwhlrvyapoze
Ball N' Chain,Big Mama Thornton,Ball And Chain,Toqiv3yv23jhlv6gmany5fqhuue
Canned Heat,Tommy Johnson,Blues History,Tlmqzdrnrenhyo6b4u4klnn43du
Just a Dream,Big Bill Broonzy,Just a Dream for Big Bill Broonzy,Tvl7ull3ge2pebnluigjeyjrxii
Baby Please Don't Go,Joe Williams,For the Love of Blues Vol. 2,T5zpfs54ycs52cyhyl46l3j6pxi
"You Upset Me, Baby",B.B. King,Singin' The Blues,Tfwbbjshuyarynkpazes2dz4q4m
Rollin' Stone (Part 1),Robert Wilkins,The Original Rolling Stone,Togqglnaii46ouy7pp5s6z4e62i
Sweet Home Chicago,Chicago Blues Jam,Volume 12 (Billy Branch & The Sons Of Blues + Keb' Mo’),T6t2y7zcznitwsvougdlyz2ag7m
Call Me Anything (But Call Me),Ma Rainey,The Immortal Blues Masters,Toczkvgv2ai2b6wsnuh4kmizz64
Goin' Down To The River,Fred Mcdowell,Mississippi Blues,Tllpb4gq3ag2ugl33ntyerlhcgy
Kindhearted Woman,Robert Lockwood Jr.,Late Night Blues,Txak45ng2qz2ewy24udglbo2ssa
Statesboro Blues,Willie McTell,"Juke Box Blues Chapter 3, Non Stop Boogie Boogie",Tdz3jligj2hdrq3btxekzlfxquq
Got To Be Some Changes Made,Otis Rush,Lost In The Blues,Tgrkrgvwoke254ecqp2oxrhz4e4
I Just Wanna Make Love to You,Etta James,"Dream, Vol. 1",T7mzktnf5heos36f2f23pxu4o4i
The Angels Message to Me,Reverend Gary Davis,Rough Guide to Holy Blues,Txs4bp5hckwem2rbdjb4cjgmkim
Sitting on Top of the World,Mississippi Sheiks,"Sitting on Top of the World: Classic Blues, Vol. 1",T3de2xto2yubsdcmme4lyb6jvcu
Little Rain,Jimmy Reed,"The Rolling Stones: Origins, Vol. 1",Twvssuy2miz3wmjjzylajkems3y
Cornbread Peas and Black Molasses,Sonny Terry,The 1958 London Sessions (HD Remastered),T6uagsomp2hl4o4leaw6ayqgw7a
My Starter Won't Start This Morning,Lightnin' Hopkins,The Blues,Tes5qzlzibonwndgagkd6jl42wi
What Kind Of Woman Is This?,Buddy Guy,Bring 'Em In,Tjhyck35lhuxcxdtetag4p52hce
My Mama Don't Allow,Arthur 'Big Boy' Crudup,Dirt Road Blues,Tjjedgkb4m2ormcofbeknspddt4
God Moves On the Water,Blind Willie Johnson,In God We Trust,Tthmmbtwn2quxjm37tlwzqorkfa
Beer Drinking Woman,Memphis Slim,Grinder Man Blues,Tekl7k7q4qkeekg4zrpaqrr5a24
High Water Everywhere (Pt. 1),Charley Patton,"ABC Of The Blues, Vol. 35",Twdnz4aazpreuvleoahloy3xl2y
Flood Water Blues,Casey Bill Weldon,Top 80 Classics - The Very Best of Casey Bill Weldon,Tcdnuzflaek2brmol5vs6zxwryy
Parchman Farm Blues,Bukka White,Parchman Farm,Tcykjggge6tvxcqtm6legyqjzwe
Detroit Moan,Victoria Spivey,Blues Sisters,Tvaqtfuwi5pojn5atbnaa547g3e
Kissing in the Dark,Memphis Minnie,Memphis Minnie Queen of the Delta Blues: 1937 to 1953,Trdop4yugarvunqqly4zhfm2fae
Texas Flood,Larry Davis,Black History: American Blues Classics,Tadjbsxqe7v44aswhxhf3gequri
