Barracuda,Heart,Rock Clássico,T5jln6xzquz4g7n7ueee4m6do5u
Oh Very Young,Cat Stevens,The Very Best Of Cat Stevens,Tpm22vo725kbqe2eo6kmit5o27a
There's A Ghost In My House,R. Dean Taylor,The Complete Motown Singles Vol. 7: 1967,Tp6psifq554wrf6rqsbv64quff4
Starman,David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),Tmpksl7vc54yasomfgzhsgqhwxe
Couldn't Get It Right,Climax Blues Band,"Disco Music History, Vol. 9",Tq3wfi2fb2amon4wozf4ekrmfpi
Mother and Child Reunion,Paul Simon,Over The Bridge Of Time (A Paul Simon Retrospective 1964-2011),Tj27mfjat7i3tysavjhvftgy2sy
Teenage Rampage,Sweet,Rock n' Roll Masters: Sweet,Tqyfr3z7iovjbm5srujyycmwo74
Mainstreet,Bob Seger & The Silver Bullet Band,Greatest Hits,Twydrgmm3crj27ac5vqyzk72zrq
Escape (The Pina Colada Song),Rupert Holmes,Throwback Tunes: 70s,Tixovhll4npqvvqmhhzqnzor5ae
Cindy Incidentally,Faces,UK Chart Pop Hits of 1973,Trqbuwhcmqp2wiomlk7ul5bnpza
Do It Again,Steely Dan,Go Back Jack and Do It Again,Tadzacrek7shetcwzji43tqdymq
Satellite Of Love,Lou Reed,Walking On The Wild Side,Tk2r76wl762tyqamc6c5tdkjhye
Lover Please,Jonathan Richman & The Modern Lovers,Roadrunner: The Beserkley Collection,Tkboasf22k5k3y6aujnu2dft5fa
I Am I Said,Neil Diamond,Acoustic Neil Diamond,Tncxz4r5oshpjtlu3oozr2jgjhm
Hotel California,The Eagles,Acoustic The Eagles & James Taylor,Tlpqoraxanycpk6vyw3qm7hqste
School's Out,Alice Cooper,70s Power Hits,Trc2xid6pthuwuwkdvj45q2jgzy
New Rose,The Damned,This Is Punk,Taecrbkwcuxwgwvzdj3js35dg7i
Judy Teen,Steve Harley & Cockney Rebel,The Cream of Steve Harley & Cockney Rebel,Tfjx4ecqnwzgllq5ajuk2fbhp5i
Midnight At The Oasis,Maria Muldaur,Midnight Music,Tdp5ogwabl4ogrv5jviogci3kgq
Night Owl,Gerry Rafferty,Dream Weaver - Chilled 70's Classics,Tp34lgkky2lpwc56houe5bkm6nu
Jessica,Allman Brothers Band,Best Of The Test - The Old Grey Whistle Test,T5sezcxg44iqm32mwerhuf42gcy
Goodbye Yellow Brick Road,Elton John,Best Of The Test - The Old Grey Whistle Test,Tolbpsszxmsirfhqbwwdkwzzbue
Vincent,Don McLean,Acoustic Relaxations,T4fqrpgmoxbprtbfep7ecq67zwy
Toast and Marmalade for Tea,Gilberto Nunes Orchestra,Love Flashback Instrumental Vol. 1,T7uwc4xhplayz53aznjoqgpowjq
Cool For Cats,Squeeze,Spot the Difference,T3okvj7xnnsksv5ju6e5idde4zm
"Once Bitten, Twice Shy",Ian Hunter,Ian Hunter,Tniggxaxof7zljrgggmwoaniiqi
American Girl,Tom Petty And The Heartbreakers,Tom Petty & The Heartbreakers,Tg6lq4qmu644fabj3qdxxmzb3ga
Double Barrel,Dave & Ansel Collins,Double Barrel,Trdgqwcw4c6otmuh6isuzjvjx2a
Witch Queen Of New Orleans (Re-Recorded / Remastered),Redbone,Season Of The Witch,T5swihhzsgatojfdryhz6jowsg4
"Take Me Home, Country Roads",John Denver,John Denver's Greatest Hits,Tfpila4gua2bg5aartfuohtxgnu
Hold the Line,Toto,Rock Clássico,Tx5z6erpscymze5btigkfqkdt5i
Tap Turns on the Water,C.C.S.,Glam Rock 70s,Tn2y3bqmkkt2izrgum4dcebrqw4
Loving & Free,Kiki Dee,Loving & Free (Bonus Track Version),T6vaslde43usjuco7wyhuev5kvq
Resurrection Shuffle (Remastered),"Ashton, Gardner & Dyke",The Best of Ashton Gardner & Dyke,Tbsw4c4cmzmnzusirvvi77z5sya
Anarchy In The UK,Sex Pistols,Anarchy,Tuynwpf66evrcggpwp3yxo6btca
Show Me The Way,Peter Frampton,Frampton,Tcqb7al3rjqtfhsgajghlyo4deq
How Long,O'Aces,O'Aces,Tcfw5dtfbyt2san5yc666gizrim
Layla,Derek and the Dominos,Top 40 Rock,Tbkjc7y7qojgvdk46xipyw5wsn4
Photograph,Ringo Starr,Photograph: The Very Best Of,Tkhtkk23uk2mie4q3dqfyq5zy6y
Sail On Sailor,The Beach Boys,"The Mall, Washington D.C. July 4th, 1981",Tauzpshl3tu6hj74465no2zk3nq
Autobahn,Kraftwerk,Route 66 - Highway To Hell,Th5m6a5et5glxlpupkovc2k53xu
Before the Deluge,Jackson Browne,The Very Best Of Jackson Browne,Tfef5g2mvzlf7qxl3of4eotl7py
Can't Get Enough,Bad Company,Awesome Rock,Tjcqwjw32aaha3lmgxm2g53mqc4
Voodoo Child (Slight Return),The Jimi Hendrix Experience,Electric Ladyland,To5u3r74kxct5yvonp35v3hdmve
Rock and Roll,Led Zeppelin,As Maiores Bandas De Rock De Todos Os Tempos,Tgfsdbwlcw6frqqbqjtlvww6qcm
Zing Went The Strings Of My Heart,The Trammps,Zing Went the Strings of My Heart ('85 Remake),Trjvepedtwh5vxo3c4aeugrz7hu
I Want You to Want Me,Cheap Trick,Raising Hell: The 1970s,Tzcbypicoeu6uasrhqhmugklexe
Rock Lobster,The B-52's,The B-52's,Tfxc5ps37mboaauwp2cafhsuvy4
See My Baby Jive,Wizzard,UK Chart Pop Hits of 1973,T4soiwbc7khnsdxmamr7m6r2wxy
Seasons In The Sun,Terry Jacks,Greatest Hits of the 70's,T35pj76hg52b2j7nvlaw3h42gnu
She's Gone,Daryl Hall & John Oates,Born and Raised in the 70s,Tjyafyfnhjdzm37zfid7m45iole
Run for Home,Lindisfarne,Anthology,T5kheoc6nbqaihwmyynyqf7taxa
Hold Your Head Up,Argent,The Argent Anthology: A Collection Of Greatest Hits,Tkpiodpfydy4zlctvqgxy5vvp4a
Back in the Night,Dr Feelgood,Malpractice,T436klknecodzoxeizjswoxa6l4
An American Trilogy,Elvis Presley,The King Elvis Presley,Tnlehamcjn6b5x5hvjgxktyvc7q
This Flight Tonight,Nazareth,The Very Best of,Tk4vy25hwdbeix3rlqstnxosvxm
Solsbury Hill,Peter Gabriel,Shaking The Tree - 16 Golden Greats (Remastered),Tkfgnf3qcnz7bo5mb5bnymedhqy
At Seventeen,Janis Ian,At Seventeen,Twlxz73olba4qayqffc5iyuqmzi
Giving It All Away,Roger Daltrey,Giving It All Away,Tdswbc6x7cethnsct2t66dd2fo4
"Oh, Atlanta",Little Feat,Feats Don't Fail Me Now,T4rjrplf2lbwu3sa2escq7nccce
Werewolves of London,Warren Zevon,100 Greatest Classic Rock Songs,Twtdbsph7rd366vqaaht5mal2ee
The Free Electric Band,Albert Hammond,Pure... Guitar Heroes,T5bgaclyzvw3nrhan34hc5j6ali
Overnight Sensation (Hit Record) (24-Bit Remastered 99),The Raspberries,Burning Sounds - 20 Killer Power Pop Cuts!,T4mkpnxwkx4bf6qxbzlu63r22vy
May You Never,John Martyn,May You Never: The Essential John Martyn,Tg27f7g4xezepu4kfqwifffzad4
I Don't Like Mondays,The Boomtown Rats,Back To Boomtown : Classic Rats Hits,T5qjttmhttodcjhwst7s4vv4jee
So Far Away,Carole King,Tapestry,Tpfr6tk5srhufez2yqdnip6opjy
Year of the Cat,Al Stewart,Definitive 70s,Tgqggzo6jkhv7wqhv33z65lhlw4
Don't Stop Me Now,Killer Queen,We Will Rock You: Cast Album,Tlhb2szbdveakmzjo6nw2nvqsti
After Midnight,J.J. Cale,Anyway The Wind Blows (The Anthology),Tpenrmnftogklldrtq4azdz35ei
Long Cool Woman (In a Black Dress),The Hollies,100 Greatest Classic Rock Songs,Tzqetdryklz5nv5yvt57hxwvp7i
Long Train Runnin',The Doobie Brothers,Long Train Runnin',Tno2ejbnw33dh74m7lx2ijlt3xa
Meet Me On The Corner,Lindisfarne,The Best Of Lindisfarne,Tjjctsypzcddtqkbhseq6xefw6y
All Right Now,Free,Fire And Water,Tifmzd7wxezcpuijfc7ckszgrru
I'll Have To Say I Love You In A Song,Jim Croce,Greatest,Tvyqx7gdchfdcu4cs6c5q32tyrq
Make It with You,Bread,US Hot 100 Hits of 1970,T6meop72a2rqspw3vc23z6b7fba
Avenues And Alleyways,Tony Christie,Definitive Collection,Tqdrmkyvz6j2bnlituiennmk6he
Samba Pa Ti,Santana,Santana's Greatest Hits,Tpp3krbgmkt532pxhboddnmkbnm
