Sândalo de Dândi,Metrô,Olhar,Tocs5jzlshg2u2f3m4tofb6kwji
10:15 Saturday Night (Chestnut Studio Demo 5/78),The Cure,Three Imaginary Boys,Tvitg6v5rgw4gjjy5j4ibho5rpy
The Killing Moon,Echo And The Bunnymen,Ocean Rain,Tvd4d5fcivglloeh5r6yd3iysry
Inside Out,Mighty Lemon Drops,World Without End,Tsqoyzewjw6noblkc6ldv7ozcka
We All Are One,Jimmy Cliff,We All Are One: The Best Of Jimmy Cliff,Tiyheew6w7zw2eq2z3llpnqud3a
Reggae Night,Jimmy Cliff,The Power And The Glory,Tn4ylgtwcvs7o6orxbrrwl7c4z4
Tudo Pode Mudar,Metrô,Olhar,T6kme5cdxim7ixm22dbnjq6xova
Rock Lobster,The B-52's,The B-52's,Tfxc5ps37mboaauwp2cafhsuvy4
Jumping Someone Else's Train,The Cure,Three Imaginary Boys,Tcjzxmqo6vvdgmyd5gfxi4g654q
Rescue,Echo And The Bunnymen,Songs To Learn And Sing,Tujyfjlm5te2u4snbc62liqtgj4
There Is A Light That Never Goes Out (2011 Remastered Version),The Smiths,The Queen Is Dead,Temvrjcgvw2fr7kddgytr4aezyy
Here's Where The Story Ends,The Sundays,"Reading, Writing & Arithmetic",Tmgkxezjgwninp7qc7j7ya4ehcm
Private Idaho,The B-52'S,Wild Planet,Tglkhsiasm5mchmxnimblp6efqu
The Adultress (2006 Remastered Version),Pretenders,Pretenders II (Expanded & Remastered),Tcukfislcky37xpv7crsnnlkcly
The Boy With The Thorn In His Side (2011 Remastered Version),The Smiths,The Queen Is Dead,Tvrxjbutyo2ybgaf6kmv2vrjaxm
Legal Tender,The B-52's,Whammy!,Thxc42lfabmwjmq4mfcv4hx7ufi
Lips Like Sugar,Echo & the Bunnymen,"Me, I'm All Smiles",Tgwhczacop6medvb5pkgfvxrbua
New Year's Day,U2,The Best Of 1980-1990 & B-Sides,Tllfs5rz5ge4epwlqesprwho5ba
Inbetween Days,The Cure,The Head On The Door,T2ibpgns2zlimzgcns3q2xu3any
Boys Don't Cry,The Cure,Three Imaginary Boys,Tmuh45aoyx43v2rkexl45rzpzhi
This Charming Man (2011 Remastered Version),The Smiths,Complete,Tr3hl6qufqanb7em47oxgypxcnq
Heaven Knows I'm Miserable Now (2011 Remastered Version),The Smiths,Hatful Of Hollow,Trpygojx34t43kst564jjz7e7t4
Panic (2011 Remastered Version),The Smiths,Louder Than Bombs,Ta2xss2kcukxfdpxrwuir6evth4
Ask (2011 Remastered Version),The Smiths,Louder Than Bombs,Tsyap25otfl4ermgxi45rkux3oy
Love Shack (Edit),The B-52's,Love Shack [edit] / Channel Z [Digital 45],Tyaal4hzldtrtxzqfwuscs4ojla
Shiny Happy People,R.E.M.,Out Of Time (25th Anniversary Edition),Tlhmvytrecklflbguwljhzcjbve
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,Document,T3dqq73gdjeq6zgbwijv4jugy2q
So. Central Rain,R.E.M.,Unplugged 1991/2001: The Complete Sessions,Tp6ep7ndqi25dkzjedmgnrygtty
Shellshock (7'' Edit) [2015 Remastered Version],New Order,Singles (Remastered),Tcbkv2yii6xbgyp4uq3p5ebsm3i
