My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
Float On (Single Version),The Floaters,"The ABC's Of Soul, Vol. 3 (Classics From The ABC Records Catalog 1975-1979)",Tk6y4xnclsmxoafimvkfdok3xa4
Let's Get It On,Marvin Gaye,Let's Get It On,T7mwqne7oltlxzzmah2x4r5vlmi
Where Is the Love,Donny Hathaway,A Donny Hathaway Collection,Tj6hu2spubjpdrpo2nsmx24djoa
I'll Be Around,The Spinners,The Very Best Of,Tlopel6tjp4kfsy4gy3etmagmla
Assedic,LES ESCROCS,Faites-Vous Des Amis,Tmjpm5b32ilebygjd5hq24faq4u
I'm Searching For A Love,Harold Melvin & The Bluenotes,Philadelphia Soul,Tfasfstkvqbdtb5e2yt3sif6nl4
Ascension (Don't Ever Wonder),Maxwell,Maxwell's Urban Hang Suite,T6utayayrlyfmpovgj4ulacpatu
Ex-Factor,Lauryn Hill,The Miseducation of Lauryn Hill,Tih3j27bj2uhuynim2fyt2dzyka
Between The Sheets,The Isley Brothers,It's Your Thing: The Story Of The Isley Brothers,Tj2hjcv4garpk5ufsf6ueqsp6lq
Keep On Movin',Soul II Soul,Keep On Movin',Tbalag26zjahgssvmuitgedonei
