Don't Be Cruel,Elvis Presley,Elv1s: 30 #1 Hits,T5fr45zlfwtizhgk3dje2fkdiia
Hound Dog,Elvis Presley,Elv1s: 30 #1 Hits,Turprdx5jq4jxdh2mrbi37xaoeq
All Shook Up,Elvis Presley,Elv1s: 30 #1 Hits,Titvbtgrlns5wj3efi7ww5a5mli
Jailhouse Rock,Elvis Presley,Elv1s: 30 #1 Hits,Tuoyldefkd57its247p4y6u3fcu
Surrender,Elvis Presley,Elv1s: 30 #1 Hits,Td6mnxxliao4yvaoajj6pqz3d5q
Stuck On You,Elvis Presley,Elv1s: 30 #1 Hits,T7wzhn3yoef4e34ajcpg7ltxf7e
Return to Sender,Elvis Presley,Elv1s: 30 #1 Hits,Tlhy47kcn3npb5hvqt7452odzmm
(You're The) Devil in Disguise,Elvis Presley,Elv1s: 30 #1 Hits,Ti5n2edp3hgp4ko5ngajyenn55a
Day Tripper (Remastered 2015),The Beatles,1 (Remastered),Tny6ut56gsgh6gpjvbtb557rqba
Happiness Is A Warm Gun (Remastered 2009),The Beatles,The Beatles (Remastered),To2k3l3t74tn7glzgvad3oudg5u
Oh! Darling (Remastered 2009),The Beatles,Abbey Road (Remastered),Tvuezht5fkhryxfyephoqgoe4ni
Back In The U.S.S.R. (Remastered 2009),The Beatles,The Beatles (Remastered),T6xyegiognublulo5o6brqcnj4q
Love You To (Remastered 2009),The Beatles,Revolver (Remastered),Tww4l5ov5ctw36obkygjl3e7bky
Strawberry Fields Forever (Remastered 2009),The Beatles,Magical Mystery Tour (Remastered),Tyc62qk6kfoncgt4n7ibd3fj37q
Sgt. Pepper's Lonely Hearts Club Band (Remastered 2009),The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Tnouotnkgld4lcetd3lo3rppj5e
Taxman (Remastered 2009),The Beatles,Revolver (Remastered),T333gxgakyqvfapwkhozhkgzmce
Drive My Car (Remastered 2009),The Beatles,Rubber Soul (Remastered),Tbrvfuqrxz2d5abfceotqkb2go4
"Here, There And Everywhere (Remastered 2009)",The Beatles,Revolver (Remastered),Ttrztd5dhu75kqvd7etn2txgsdi
She Said She Said (Remastered 2009),The Beatles,Revolver (Remastered),Twz4h33amoqpiiiu677qiipnn6y
And Your Bird Can Sing (Remastered 2009),The Beatles,Revolver (Remastered),Tvgkzr3x3vldeorx3ezmj2wrhom
In My Life (Remastered 2009),The Beatles,Rubber Soul (Remastered),T4sd52oze7burujdwkwuthhu2xm
Tomorrow Never Knows (Remastered 2009),The Beatles,Revolver (Remastered),Tmpwxuvebvuxfv5yg44ow6bfoiu
