What's Going On,Les McCann,Jazz Funk Grooves,Tpbqgrldd6jspfw7ee54oxcetxe
Baby I Love You,Hank Crawford,Jazz Funk Grooves,Tlve2lms2ljsaocgakza77p3nri
I've Never Found A Girl (To Love Me Like You Do),Eddie Floyd,Stax 50th Anniversary (E Album Set),Tkmbaw7h6vzptf4bqrbyo7koyyq
Never Can Say Goodbye,Isaac Hayes,Stax 50th Anniversary (E Album Set),Ttipd6t5c3rmsiam46qmcspnrum
Theme From Shaft,Isaac Hayes,Stax 50th Anniversary (E Album Set),Tkysng6xo4wh645eebargdspxdi
I Want You (Single Version),Marvin Gaye,I Want You,Tb3suhmrqxcw4r47eq5vyiigu7u
Be Thankful for What You Got (Pt. 1 & Pt. 2),William DeVaughn,Be Thankful for What You Got,Tg2yju2f7fadm7fef43wmftekm4
If You Want Me to Stay,Sly & The Family Stone,Fresh,Tjdnsjda5p2ahhbdgownqocxrke
See You When I Git There,Lou Rawls,The Essential Lou Rawls,Tvcc4v44lbmka2ljdcarcqvwc2i
Mercy Mercy Me (The Ecology),Marvin Gaye,What's Going On,T4chdqrk774twpils422ea26l5e
Let's Get It On,Marvin Gaye,Let's Get It On,T7mwqne7oltlxzzmah2x4r5vlmi
My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
What's Going On,Marvin Gaye,What's Going On (40th Anniversary),Tn3js66ju2stp62qjbzffpxzwxy
Daylight,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tua2nxloiubzzikc6zeqom7zcl4
Lowdown (Edit),Boz Scaggs,Silk Degrees,T2xsiutuhm5jpegkqlojexkhcoe
You Are The Sunshine Of My Life,Stevie Wonder,Talking Book,Tvmloc4cn3jxqtl4oia5wto2omq
Whatcha See Is Whatcha Get,The Dramatics,Stax 50th Anniversary (E Album Set),Trwipraftg5p4u3x4fd5t7tpn5u
I'll Be Around (Remastered Version),The Spinners,Essentials,Trtfbq6fdpweesdaets77wcbine
Tell Me 'Bout It,Joss Stone,Introducing Joss Stone,Taxmbd4jfgksqugq7tb2e6lfqti
Make It Better (feat. Smokey Robinson),Anderson .Paak,Ventura,Tqyuydqlhogud5q7zqigjtw6rvi
You'll Never Find Another Love Like Mine,Lou Rawls,The Essential Lou Rawls,Tls2rcvi3327juueu3fozsuuwba
Isn't She Lovely,Stevie Wonder,Songs In The Key Of Life,Titvva33jhlejjjobiiquq3n3eq
For Once In My Life,Stevie Wonder,For Once In My Life,T4nonpjrihzq6fgrpu36ppiywd4
Love's In Need Of Love Today,Stevie Wonder,Songs In The Key Of Life,Tedfweguulqnq6dy3jlm4pltzbm
Ordinary Pain,Stevie Wonder,Songs In The Key Of Life,Tl7sfcaetgfaspcf4bknf6yd5wy
Tired of Being Alone,Al Green,Greatest Hits,Tms7dklg6fyyrd3adni4fusuo3e
Call Me (Come Back Home),Al Green,Greatest Hits,Tmbvfhfvyj7c36f2lxglt6cmooq
I'm Still in Love with You,Al Green,Greatest Hits,T32jcqaxbsylx76tisb22skzida
Seven Nation Army (Remasterisée),Ben L'Oncle Soul,Ben L'Oncle Soul,T3jakzuh22jgzgrc4usjjgyu47u
Soulman (New English Version),Ben L'Oncle Soul,Ben L'Oncle Soul,Tmxkmhi7js77doyhzx3v5egsony
Ex-Factor,Lauryn Hill,The Miseducation of Lauryn Hill,Tih3j27bj2uhuynim2fyt2dzyka
Be My Baby,The Ronettes,Be My Baby (The Very Best Of The Ronettes),Tj3rafaxio3mlgtb7x4ynuo2lmq
Between The Sheets,The Isley Brothers,It's Your Thing: The Story Of The Isley Brothers,Tj2hjcv4garpk5ufsf6ueqsp6lq
I'm Searching For A Love,Harold Melvin & The Bluenotes,Philadelphia Soul,Tfasfstkvqbdtb5e2yt3sif6nl4
Ascension (Don't Ever Wonder),Maxwell,Maxwell's Urban Hang Suite,T6utayayrlyfmpovgj4ulacpatu
Where Is the Love,Donny Hathaway,A Donny Hathaway Collection,Tj6hu2spubjpdrpo2nsmx24djoa
