Milla (Ao Vivo),Netinho,Anos 90 As Melhores,Tardtmpiyjktb4j3d356bpnk6jq
Pau Que Nasce Torto / Melo Do Tchan,É O Tchan,Axé Das Antigas,Twaihqkhkkabksdzlolidkgg364
Paquerei,"É O Tchan, Gera Samba",O Beco do Sirí,Tg6xnmgg6rfwfry53k6zdbkhswq
A Banda do Zé Pretinho,Jorge Ben Jor,Carnaval Nostalgia,Twlid5wuklrjf2dcazptb6y6wgu
É Hoje,Monobloco,Carnaval Nostalgia,Tlgrdtic6hsi3wy2s4mpo5boaie
Pot-Pourri: Coisinha do Pai/ Vou Festejar/ Carnaval Globeleza 2,Jorge Aragão,Carnaval Nostalgia,Todko63ujayixc7kfnzccr26zja
Cidade Maravilhosa,Cauê Nardi,Carnaval Nostalgia,Tndtjmek6tehxu3ilaft7ngbdwy
Pot-Pourri - Liberdade! Liberdade! Abre As Asas Sobre Nós / O Que É Que a Banana Tem? / Rainha de Ramos (Imperatriz),Elymar Santos,Carnaval Nostalgia,Tu6wet47xdbd4ajvw62yi37gnaq
"Pot-Pourri: Chuê, Chuá... As Águas Vão Rolar! / De Bar Em Bar, Didi um Poeta",Emílio Santiago,Carnaval Nostalgia,Tvkc5735npzwd7zjhytyvnvxyvi
Pout-Pourri: Taj Mahal / Filho Maravilha (Fio Maravilha) / País Tropical,Jorge Ben Jor,Carnaval Nostalgia,Ttobvkclvmbmqpxzgr4smrmh254
Dança Da Cordinha,É O Tchan,Na Cabeça E Na Cintura,Tvn62vbbom5ihtnrmcmpawwckra
Máscara Negra / Mulata Ye Ye Ye (Ao Vivo),Monobloco,Monobloco 10 (Ao Vivo),T5g7fzgda24vgbz5ipzu5ebclqy
Peraê (Ao Vivo),Banda Beijo,Axé Das Antigas,T4k3q4ff4ek7dej55pxjjuilfkm
Arerê (Ao Vivo Em Salvador / 1997),Banda Eva,Axé Das Antigas,Tq2asmaww2xdwwd4dbirjm3umra
Fricote,Luiz Caldas,Axé Das Antigas,Tixhacsjkp3fc5urlastewwdjke
"Safado, Cachorro, Sem-Vergonha (Ao Vivo)",Babado Novo,Axé Das Antigas,Tivluki5jsi7yjwrdzqxorv2afq
Swing Da Cor (Ao Vivo),Banda Beijo,Axé Das Antigas,Tor6ar3s3jahc3rolajjtbngrnu
Água Mineral,Timbalada,Mineral,Tlguiu6govmp2vejv4hnwdljl34
Cara Caramba Sou Camaleão (Ao Vivo),Chiclete Com Banana,É Festa,Tamrphv6f7gfn3ru2dv2m26qsdm
Levada Louca (Live),Banda Eva,Ao Vivo,Tioyzszhxj7xn6mib3n5iao5upm
Beleza Rara (Ao Vivo),Banda Eva,Ao Vivo,Tuac3gkxwfohchknkzvidcn4y6m
Dança Do Vampiro,Asa De Águia,Asa 25 Anos (Edição Bônus),Tyszaxjqmhvkf2lvh7j7hwsefc4
Xô Satanás (Ao Vivo),Asa De Águia,Na Veia Ao Vivo - 21 Grandes Sucessos,Tf5ipctwr7d2r6q5hptoguvomhe
"Vai Sacudir, Vai Abalar (Ao Vivo Em São Paulo / 1997)",Banda Cheiro De Amor,Axé Bahia,T63lzvcbjvfwszopgn7522lur3q
Aviãozinho,Banda Cheiro De Amor,Axé Bahia,Tlm2z2i2dabqrubowm6le34ealy
Peguei um Itá no Norte (Ao Vivo),Monobloco,Monobloco 10 (Ao Vivo),Tyr2p6mlyamyurrabauowi622ue
