Chorinho prá ele,Henrique Cazes & Família Violão,Desde que o Choro é Choro...,Tf6ewsvw65w2vkgww3n2fpgs5hy
Vibraçoes,Jacob Do Bandolim,The Best Of,Taymz2iwuypiwcg2nfeu6xvukei
Chorando Baixinho,Abel Ferrara,"Brasil, Sax E Clarineta",T6eoqxqywnfu4bsywaoiail5dfy
Receita de Samba,Jacob Do Bandolim,The Best Of,T7njqy7nb7no7gg33nf7ccevl44
Noites Cariocas (Version 2),Jacob Do Bandolim,The Best Of,Trj54isab56mvlc5kmetgt4bonm
Chorinho pra Ele,Quarteto Aeromosca,Aeromosca,Tkve2wiodfltegx2igcikyytahi
Pedacinho do Céu,Yamandu Costa,Yamandu + Dominguinhos,Twoobykysvmlxctkj7ueejmnyve
Doce de Coco,Jacob Do Bandolim,The Best Of,Tkrac7uhcbc56oisug3assefoly
Lamentos,Jacob Do Bandolim,The Best Of,Tusj2utr7qqkpfwtly6dqfok6yi
Simplicidade,Jacob Do Bandolim,The Best Of,Trlppi3vdxy4cmk5pdelr7tm4we
Noites Cariocas (Version 3),Jacob Do Bandolim,The Best Of,Tan4bh3l235wy2ztsge53v5geda
Tributo a K-Ximbinho (feat. Isaias Bueno de Almeida),Madeira de Vento,Chovendo Canivetes,T4th5cbsvupxsr5rmzzz3kkajxu
De Bem Com a Vida,Luciana Rabello,Luciana Rabello,Twcn2ygzvjfugijz3rlosi6hjl4
Velhos Chorões,Luciana Rabello,Luciana Rabello,Trlfui7wgg4eatwvmhh57ktgnea
Noites cariocas,Conjunto Época de Ouro,Mestres da MPB,Tqpxy6nvkop5vsdqetvqnmnfhgu
Carolina,Conjunto Época de Ouro,Mestres da MPB,T4z64klpnze3vv4tve7c6do6bvi
Chorando Baixinho,Yamandu,Yamandu + Dominguinhos,Tfqho2qix3tpy5dzbfwfcbe4edy
Adeus (feat. Época de Ouro),Ivan Lins,"Tributo A Noel Rosa, Vol. 1",Twyyllnwpwspsp4kkrwbe5zsrfi
Tributo a um Gênio,Índio do Cavaquinho,Índio do Cavaquinho,Td22qpb2454ecpyikmserbuy4nq
Convidativo,Índio do Cavaquinho,Índio do Cavaquinho,Tvmwpwu7m7bdus43igxmjrbqrna
Pecado Capital,Silvério Pontes,Ele e Eu,Tnwwty5p75rvnlxklu22mqc2aea
Alvorada,Silvério Pontes,Ele e Eu,Txrpmepujim76gl5tlmu4gshaha
Falsa Bahiana,Silvério Pontes,Ele e Eu,T5ni3jxysqnm27vvtps77pkz23e
Sem Compromisso,Silvério Pontes,Ele e Eu,Tjn3a5rdmyrboeqv7izhehe3avm
Pra Machucar Meu Coração,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",Tiivq46wjafkrn4tzqn5q6lxgo4
Vou Deitar e Rolar,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",Txbzpegtgncmmw2qmbfs2aaqb7y
Se Você Jurar,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",T4qdhrhipu44adwlg4epmlwa5ee
Carinhoso,Zé da Velha,Só Pixinguinha,Trf2akz6r7twb2w3zwgcy3edhsy
Noites Cariocas,Alexandre Maionese,Noites Cariocas - 15 anos depois - A alegria do improviso,Tk75sbubdyrdslhv5hxnhbtsqbm
Chorando baixinho,Paulo Moura,Dois irmãos,Tkyohoeo3j7zjvws5sbwdighd6m
Naquele Tempo,Jacob Do Bandolim,Original Classic Recordings Vol. I,Triozagtrqts6gj4b25b4ty2nm4
Choro negro,Alexandre Maionese,Noites Cariocas - 15 anos depois - A alegria do improviso,Tohlzpfu5qa3yicmeqjx42d765a
A Escola e a Bola,Hamilton de Holanda,Pelo Brasil,Tbltwbnrfkl3qonm7m2icvrxfcu
Chorinho Pra Ele,Hamilton de Holanda,Samba Do Avião,Twav6kkldynosni773a6v5vzove
Doce de Coco,Yamandu Costa,Lado B,Tdscwvojht34zodft5t3fywnd5e
