Feijoada Completa,Chico Buarque,O Sambista,Thu443qs6jsyoo65uwvajao5bn4
Las Vegas Turnaround (The Stewardess Song),Daryl Hall & John Oates,The Atlantic Collection,Tdqi5ayfrxpeykuh6ei6n4rejv4
"Valerie (Live At BBC Radio 1 Live Lounge, London / 2007)",Amy Winehouse,Back To Black (Deluxe Edition),Tipvotjvlipp75kgs4ov4tzs54m
Respect,Aretha Franklin,30 Greatest Hits,To7yffl4ltcul4g7f2sczvnvzxe
Think,Aretha Franklin,1968,Tasw7xuwcnc76oboksfukxos6gq
I Say a Little Prayer,Aretha Franklin,1968,Thhu46uhw2xqfckuuth5upamorq
I Can't Wait Until I See My Baby's Face (Remastered),Aretha Franklin,Runnin' Out Of Fools,Tdcqkudkl75put4j7kpg42boioe
Change (Edit),Lisa Stansfield,Biography: The Greatest Hits,Tvyj6bnc4son5n4ckk5jt6bl764
All Around the World,Lisa Stansfield,Biography: The Greatest Hits,Tvkxpq35jlmauy4igecis6fagt4
Palco,Gilberto Gil,Luar,Tpgtht2dgecd5hirjafpwsd7bjy
Chão de Giz,Zé Ramalho,Antologia Acústica,Tcihg6i4pwcc6uxoerxawz26pqu
Como Dois Animais,Alceu Valença,Sol e Chuva,T44d2hap2vybxio6pvq33wvr3ve
Madalena,Elis Regina,A Arte De Elis Regina,Txsbbdvrinrsjrn6fvgz4ugywky
Final Feliz,Jorge Vercillo,Final Feliz,Teqzq4r7iy42k323q2qqvfseoqq
"Cada Um, Cada Um",Cláudio Zoli,Cláudio Zoli,T2id7our6zvi2n4cbxl2e3bsjtm
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
You Are The Sunshine Of My Life,Stevie Wonder,Talking Book,Tvmloc4cn3jxqtl4oia5wto2omq
El dia que me quieras,Baguette Quartette,Rendez Vous,Ti4v7b3xuuz6la3r4aoniem6erm
La Violetera,Baguette Quartette,L'air de Paris,Tzqbynqmxidaaihx3rb6ldtzudi
The Man Who Sold the World (2015 Remaster),David Bowie,The Man Who Sold the World (2015 Remaster),Tqslzucz4xg2ptmdzghrliuzm6a
Peguei Um Ita No Norte,Quinho,Novo Millennium - Sambas De Enredo II,Tcoko6tonvk6gjgf5rewq6xhxda
Atrás Da Verde E Rosa Só Não Vai Quem Já Morreu (Edit),Estação Primeira De Mangueira,Os Sambas Da Estação Primeira De Mangueira,Tvwh72vt6blcgh4jlkcophaohrm
Beleza Rara,Banda Eva,Beleza Rara,Tynglnheu4xov3aba2dhxlryusy
Me Abraça,Banda Eva,Hora H,Ti56i564egkgnwfj4qx6komjxwq
Não Sei Por Que,Trio Mocotó,Samba Rock,e0c0e1ca-2583-3831-965b-732a28ff70d3
O Que É O Que É?,Gonzaguinha,Bis (Dois CDs),T4ahc4egyhepq56esgvjn3cz6li
É Hoje,G.R.E.S. Uniao da Ilha do Governador,Samba Enredo du carnaval de Rio,Taldt7kzeqn6qrzazuithhlrxaa
Ive Brussell (feat. Caetano Veloso),Jorge Ben Jor,Salve Simpatia,Tx6mcj66cpelgpd2epuyjrax47y
E Lá Se Vão Meus Anéis,Os Originais Do Samba,O Samba é a Corda... Os Originais a Caçamba,Thd4obl3qpdmt5kfjex6mzgbry4
O Show Tem Que Continuar,Grupo Fundo de Quintal,O Show Tem Que Continuar,Tpty376xctcwqte5ahymbcsax4u
Voltei Amor,Trio Mocotó,Samba Rock,5c763058-f06d-3d7c-ae05-a6a1e74e8167
Vibracoes,Jacob Do Bandolim,Original Classic Recordings Vol. I,Tdodinqpmx6adxzzj6bapt4mfse
A Escola e a Bola,Hamilton de Holanda,Hamilton de Holanda e o Baile do Almeidinha,Tzouoxcmso74eddamefpbfdogeu
Chorinho prá ele,Henrique Cazes & Família Violão,Desde que o Choro é Choro...,Tf6ewsvw65w2vkgww3n2fpgs5hy
Chorinho pra Ele,Quarteto Aeromosca,Aeromosca,Tkve2wiodfltegx2igcikyytahi
Baile da Pesada,Fernanda Abreu,Entidade Urbana,Tlffrh4dgsyeyskx3m52ifq3k7u
Zona Norte - Zona Sul,Fernanda Abreu,Entidade Urbana,Ts727acmr4g54fkxsasgigqfp2a
Acenda o farol,Tim Maia,Disco Club,T5q37lyuptkup5vkuc3b3zmdyrq
Tambor (feat. Afrika Bambaataa),Fernanda Abreu,Amor Geral,Tc6gqq4ghacfvrzdhy3jxb3vy4e
Assim Caminha a Humanidade (Extended 70'S Mix),Lulu Santos,"Eu e Memê, Memê e Eu",Tdzmnr7zhhm6apvtsiyzxpwfbja
A fim de voltar,Tim Maia,Disco Club,Tbt3ucww7s7scu5ngr3fqxijlfi
Sossego,Tim Maia,Disco Club,Tl3n7megr3ehch5agqowgccwn7a
O Descobridor dos Sete Mares,Lulu Santos,Focus - O Essencial De Lulu Santos,T5cg53yxz65bftvucihigkpplca
Flor de Lis,Djavan,A Voz e o Violão,Tuhfnd3qwckwnraqdbnlbcvqbwq
Fato Consumado,Djavan,A Voz e o Violão,T3suatugfx7lzrhimcanpxj7lum
Eu Te Devoro,Djavan,Bicho Solto - O XIII,Tvx7rjlzmsyl5rqewggoeoabgoa
Disfarça e Chora,Djavan,Ária,Tflhx4vsotnnbaydyoqprpw6wne
Sabes Mentir,Djavan,Ária,Tpxkng7agrgkooyfffiduwuii2a
Brigas Nunca Mais,Djavan,Ária,Tolo7knjltt5wyedtbpouik3oga
Fly Me to the Moon,Djavan,Ária,T2h535zriewu4u3zyn4bvmlz4me
Que Loucura,Sérgio Sampaio,Tem Que Acontecer,Tzywt6puduntqocahu4mliscuci
Copacabana (Remastered),Barry Manilow,The Complete Collection...And Then Some,Tae4n2ro25r2or4wglih73u4wca
Love Is In The Air,John Paul Young,I Hate the Music,Tfz3ybvheghfnbspiruzqz2e44m
Son Of A Preacher Man,Dusty Springfield,The Silver Collection,Tv5x4dux2gkslxai5agysxqbyeq
It's Too Late,Carole King,Tapestry,Txey5rq3uq2b22qyo4xs32bt7eq
To Sir With Love (2002 Remastered Version),Lulu,Most Of Lulu / Lulu's Album,Thagah7iftego56meyj2ebwj3te
We Are The Champions (Remastered 2011),Queen,Greatest Hits (Remastered),Tnhlewryt4ts77aszka7winnu74
Gypsy (2002 Remaster),Fleetwood Mac,The Very Best Of Fleetwood Mac,Trynbhrvp52sb2xdioti3urrj5a
Dreams (2002 Remaster),Fleetwood Mac,The Very Best Of Fleetwood Mac,T4vukd6xx5apkhwlut5jqf2lnf4
Sabrá Dios (Remastered),Los Panchos,40 Canciones Inolvidables,Tfxi6o5b6fjtq3clemd3qmkqxk4
Eu Só Quero um Xodó,Dominguinhos,Nas Costas Do Brasil,Tmgig6gbsdjbxpgm2fmomqvytje
Xote Dos Milagres,Falamansa,Falamansa Essencial,T4roiowuk6dkxsoro2aku4hr2ei
Xote da Alegria,Falamansa,Essa É Pra Vocês,Tczavuohtfkigx4fitvff7vw74i
Colo de Menina,Rastapé,Fale Comigo,Tvfk4jpf2vfkoyndxrqigwb3kga
Um Anjo do Céu,Rastapé,O Melhor do Rastapé,Tvn3bycwmaiqjrqgbsjizn7upju
Que Nem Jiló,Lucy Alves,The Voice Brasil (2ª Temporada),Tqunizfwx2c6nahcyhhbjcbyde4
La Vie En Rose,Edith Piaf,La vie en rose,Tsc7aklxlyvynqpkhc4nbbbs4my
Hino do Fluminense,Orquestra e Coro Cid,Hinos dos Campeões,T6maa4z7ggn72pm6nsozllddpmy
Hino do Botafogo,Orquestra e Coro Cid,Hinos dos Campeões,Thlok3egg5wbmgucmjow4okycu4
Hino do América,Orquestra e Coro Cid,Hinos dos Campeões,Tg5gywsybgq7z2ikdajagz2ljtq
Hino do Flamengo,João Bosco,"Songbook Ary Barroso, Vol. 3",T5bx65iyccqmi6adwhcxfjkkftm
Hit The Road Jack,Ray Charles,The Genius Hits,Tsok3lsrvrisjf56kr4b7dlcaly
Cantaloop (Flip Fantasia) (feat. Rahsaan & Gerard Presencer),Us3,Hand On The Torch,Tzup26gkyfowm47jfab2xeizddu
All About That Bass,Meghan Trainor,All About That Bass,T3s4wi7m3eakrpzc2cakbojnea4
Piccolissima serenata,Renato Carosone,Espérame en Roma,To6gztbuafii5og2yv7jvhgeyqi
Get Stupid,Aston Merrygold,Get Stupid,Tzcvb54t4bzupxa45hibzdn25zi
Un romano a Copacabana,Quartetto Cetra,"Le più belle canzoni della musica italiana, vol. 1 (I grandi successi italiani dagli anni 40 agli anni 60)",Tuc77wger6pbpvg6zjxx73b44v4
Un bacio a mezzanotte,Quartetto Cetra,"Le più belle canzoni della musica italiana, vol. 1 (I grandi successi italiani dagli anni 40 agli anni 60)",Tpnaueuwarvjx6mehitpe4pj6ku
A Estrada,Cidade Negra,Hits,Td6vgbmh47kmohoqpa3ofyc7qpq
Firmamento (Wrong Girl To Play With),Cidade Negra,Hits,Tcyr6tsx3ks37hs25tzmzc5ewei
Te Ver,Skank,#1 Hits,Ti3binvjrdjze7bty53sanhxtpm
O Amor Não Sabe Esperar (feat. Marisa Monte),Os Paralamas Do Sucesso,A Arte De Os Paralamas Do Sucesso,T645wkzgv3ugikriswzazy4fkiq
Meu Abrigo,Melim,Melim,Tueoxwrnyybe7giwxoimt3v436u
Quero Ser Feliz Também (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,T2lxxavi7humqnnvarm6n5cd4ya
Andei Só (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,Tw4cbhspblbkp265ow4dd4twpnm
Você Me Encantou Demais (Ao Vivo),Natiruts,Play: Namorados,Tunew64hcsy6o3ufumv2454qubq
Pra Que Chorar,Os Cariocas,Pure Bossa Nova,Trytfp6qgm3xtf2lpnzyyxj6b24
Este Seu Olhar / Só Em Teus Braços,Sylvia Telles,Eu E Você,Tmir6557sepmud3dis6mxs6xsoi
Você E Eu,Sylvia Telles,Se Todos Fossem Iguais A Você - (Homenagem A Vinícius),Taa4eddh7lqsvbkjfxckhb5f4ta
A Rita,Miltinho,Retratos,Tt3hykbcqbzts3pgr62xuba2xme
Lá vem a Baiana,Lucio Alves,Estrada do sol,Tasiniolgithrkdqv2phv5xa33q
Balanço Zona Sul,Sylvia Telles,It Might As Well Be Spring,Tu353undj366w27gklezbt3vjye
Regra Tres,Miltinho,Retratos,T7dsge7jj6mengkvjjply4naoru
Se É Tarde Me Perdoa,Sylvia Telles,Amor Em Hi Fi,Tcp7hglxjaiaqzaeccu5t57hkgq
Conceição,Lucio Alves,Estrada do sol,Tka3p3542s5iucq7f5vk3q7rmha
Por Causa De Você,Sylvia Telles,Eu E Você,Tpwcvsdrl6at46sqohk2yd7a36a
Ideias Erradas,Lucio Alves,'S Bossa Nova 1,Thyuv2ee6uacqmg6g6ue54ee5gu
Sabado Em Copacabana,Lucio Alves,"Bossa Nova Café, Vol. 3",T3q42govotwviepzyi7s2iozgqq
"Chora, Me Liga (Ao Vivo)",João Bosco & Vinícius,Seleção Essencial - Grandes Sucessos - João Bosco e Vinícius,Tdfeqg5ydx5prtrp46dyw5tkaxy
Tem Que Ser Você,Victor & Leo,Borboletas,Tbthg2e73zkwvwnid3cdelazeay
Night and Day,Frank Sinatra,New York Nite Club,Tiwjyqpyplaxt7bq43jcdo624l4
The Lady Is A Tramp (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),Trfemi5rvyjvkwdkoov3hly5bxy
Fly Me To The Moon (In Other Words),Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,Tkittjmae6svlw6gz7tsw53npuq
Travessia (The Voice Brasil),Marcos Lessa,Travessia (The Voice Brasil),T244o4amvm3uqianjl4astezl7m
I've Got You Under My Skin,Frank Sinatra,Ultimate Sinatra,Ttshxfb7y5qy2mo3gz27kmqlue4
Romaria (The Voice Brasil / Ao Vivo),Danilo Reis & Rafael,Romaria (The Voice Brasil / Ao Vivo),Tizne6vlhw6eioxqmqtfe6jlqym
Killing Me Softly (The Voice Brasil 2016),Kassia Marvila,Killing Me Softly (The Voice Brasil 2016),Tdcbro2phgwb23j3uw23vzmmroy
O Morro Não Tem Vez,Marcos Lessa,Entre o Mar e o Sertão,Tkvjmfylroumf2i7av4mvaae2ea
Medley: Lately / Nada Mais (Lately) (The Voice Brasil),Deena Love,The Voice Brasil - Batalhas - 3ª Temporada - Vol. 1,Tp2ng6ggsqjkkbyl5txtjrqo52q
Pecado Capital,Silvério Pontes,Ele e Eu,Tnwwty5p75rvnlxklu22mqc2aea
Falsa Bahiana,Silvério Pontes,Ele e Eu,T5ni3jxysqnm27vvtps77pkz23e
Sem Compromisso,Silvério Pontes,Ele e Eu,Tjn3a5rdmyrboeqv7izhehe3avm
Pra Machucar Meu Coração,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",Tiivq46wjafkrn4tzqn5q6lxgo4
Se Você Jurar,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",T4qdhrhipu44adwlg4epmlwa5ee
Vou Deitar e Rolar,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",Txbzpegtgncmmw2qmbfs2aaqb7y
Noites Cariocas (feat. Henrique Cazes),Alexandre Maionese,Noites Cariocas - 15 Anos Depois - A Alegria do Improviso,Tk75sbubdyrdslhv5hxnhbtsqbm
Feriado (feat. Ben Lamar),Celso Fonseca,Feriado,Tnowrhqvbycg34iltgramupdl4a
Águas de Março,Celso Fonseca,Feriado,Tkrzag2vaqtdu6bryoh2jhdbewq
Viajando na Viagem,Celso Fonseca,Feriado,Tgynxe6i2sze4tnbmcc7urtr5bi
