Stray Cat Strut,The Stray Cats,Garfield: The Movie (Original Motion Picture Soundtrack),Tgfmsz5umrrqinmdrjrbjxsitjq
Pecado Capital,Silvério Pontes,Ele e Eu,Tnwwty5p75rvnlxklu22mqc2aea
Falsa Bahiana,Silvério Pontes,Ele e Eu,T5ni3jxysqnm27vvtps77pkz23e
Vê Se Gostas,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",Tkauhnvmrn76t5n24g3j4lrywuy
Pra Machucar Meu Coração,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",Tiivq46wjafkrn4tzqn5q6lxgo4
Vou Deitar e Rolar,Silvério Pontes & Zé da Velha,"Tudo Dança, Choros Maxixes e Sambas",Txbzpegtgncmmw2qmbfs2aaqb7y
Noites Cariocas (feat. Henrique Cazes),Alexandre Maionese,Noites Cariocas - 15 Anos Depois - A Alegria do Improviso,Tk75sbubdyrdslhv5hxnhbtsqbm
"Bossa Eterna (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul de Souza,Bossa Eterna,Tavqhzgypwegs3r4bpth3jqubyu
"Balanço Zona Sul (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul de Souza,Bossa Eterna,Thvw5f7jp7p6vbkyc55wi3k5nay
"Lugar Comum (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul de Souza,Bossa Eterna,Tesmvool3c5pe5l2lume2rqrluq
"Bonita (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul de Souza,Bossa Eterna,T7tcstxbez7nfggjoxlairk3a2a
"A la Donato (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul de Souza,Bossa Eterna,Tmndr44me6zjm4aajna2fqpbzdm
What Is This Thing Called Love,J. J. Johnson,The Trombone Master,Tlgha7rvl4hgvsg22mwdq57kn2m
Laura,J. J. Johnson,The Trombone Master,Tk7hhhkl3ps4mdktdpykmmshkw4
Cry Me a River,J. J. Johnson,The Trombone Master,Tkaqiarijlmesfds25asyzwscly
Satin Doll,J. J. Johnson,The Trombone Master,Tf22b6452p4ewaschwqezokmfka
Tema de Gafieira Flor de Liz,Raul de Barros,O Som da Gafieira,Tq2y5ecpgwiqjauaccxzzwqj4qy
Estatuto da Gafieira,Raul de Barros,O Som da Gafieira,Ttjrltexcztnpdm3tqttszqzdw4
Angústia / Recuerdos de Ypacarai,Raul de Barros,O Som da Gafieira,T77xcluqsdrk3qh43iew4nwixji
Pennsylvania 6-5000 / Tea for Two,Raul de Barros,O Som da Gafieira,T4lbyfvlsouknaodmysj5mpvrha
Piston de Gafieira,Raul de Barros,O Som da Gafieira,Txec7d5oy5i3a6endyynd3l5uwa
Copacabana,Raul de Barros,O Som da Gafieira,Tvavjkcvvokrdgma5zyn5mcwur4
"Ela Disse-Me Assim ""Vá Embora"" / Canção de Amor",Raul de Barros,O Som da Gafieira,Td7wzw2allufedrgnnwhogxl3fa
Pedacinhos do Céu,Raul de Barros,O Som da Gafieira,Txyyqdxqf6ffg4awnp2lrbhp3ri
Tambor (feat. Afrika Bambaataa),Fernanda Abreu,Amor Geral,Tc6gqq4ghacfvrzdhy3jxb3vy4e
Colo de Menina,Rastapé,Fale Comigo,Tvfk4jpf2vfkoyndxrqigwb3kga
Brigas,Bicho de Pé,A Vida Vai,Trsmzzmftkhvt274hyh2a55jgfa
Que Nem Jiló,Lucy Alves,The Voice Brasil (2ª Temporada),Tqunizfwx2c6nahcyhhbjcbyde4
No Meu Pé de Serra/Só Xote/O Xote das Meninas,Bicho de Pé,Olhando Pra Lua (Tributo a Luiz Gonzaga),Tcm2t74nsra56apxb3exml2idri
Estrada De Canindé/A Letra I,Bicho de Pé,Olhando Pra Lua (Tributo a Luiz Gonzaga),Tklzko4p7uqxpmwywhrc7ha5cya
Eu Só Quero um Xodó,Dominguinhos,Nas Costas Do Brasil,Tmgig6gbsdjbxpgm2fmomqvytje
Baile da Pesada,Fernanda Abreu,Entidade Urbana,Tlffrh4dgsyeyskx3m52ifq3k7u
Zona Norte - Zona Sul,Fernanda Abreu,Entidade Urbana,Ts727acmr4g54fkxsasgigqfp2a
