Begin the Beguine,Ella Fitzgerald,Cole Porter Songbook,Tlvpf7udfqadmlmyw6wpnxffi64
Night And Day (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),Tmbhr4ozea5kyflq5xmju7xaqxe
I've Got You Under My Skin,Frank Sinatra,Ultimate Sinatra,Ttshxfb7y5qy2mo3gz27kmqlue4
My Baby Just Cares for Me (2013 Remastered Version),Nina Simone,Little Girl Blue (2013 Remastered Version),Tu4irgcuyeu2xfmu6dao7cyjj7i
What A Diff'rence A Day Made,Dinah Washington,What A Diff'rence A Day Makes!,Tqw5ng53bcmqa75q35d6y7hvg2m
At Last,Etta James,At Last!,Th7sszw2p4rsbwviwxa4ut7quji
In the Still of the Night,Ella Fitzgerald,Ella Fitzgerald Sing Cole Porter - Vol. 2,Tr7er5j5wgpelnq3qwrg22au7pm
I Get a Kick Out of You,Ella Fitzgerald,Ella Fitzgerald's Greatest,Tqessfvflozcdzip5gv4tir3ce4
Every Time We Say Goodbye (Original Mix),Ella Fitzgerald,"Ella Fitzgerald Sings Cole Porter, Rodgers & Hart (Vol. 2)",Thz4gouiyuz7acuc4akjza7cfme
All Of You,Ella Fitzgerald,Ella Fitzgerald Sings The Cole Porter Songbook (Expanded Edition),Tupkkkbx44lpl5hmj4fgm6svo2i
You Do Something to Me,Ella Fitzgerald,Ella Fitzgerald Sing Cole Porter - Vol. 2,T6qu55dt2f5hpf5qcyfl2evggii
Night And Day,Ella Fitzgerald,Ella Fitzgerald,Tipn3l4i3r63mjlgzs3i76bvpna
I've Got You Under My Skin,Ella Fitzgerald,Ella Fitzgerald's Greatest,Tj6eatpghkvx3neinsrrhf74dru
In the Still of the Night (Remastered),Billy Eckstine,Lady Luck,Tybewc5iolxfyvyzgvqwwnkquje
Volare (Nel Blu Di Pinto Di Blu) (Remastered),Dean Martin,This Is Dean Martin,Thv2f5njv6dwyhcbcfenrh3umiy
C'est Si Bon (It's so Good),Louis Armstrong,C'est Si Bon (It's so Good),T5ekbvsguop57xpelzgwlhwfm64
I Won't Dance (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),T2vfcd6tfdwxirvgkrkgbirvc7q
I've Got The World On A String,Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,T5i3g2gojvf2zjbpipnuufpwzfq
I Get A Kick Out Of You (Remastered),Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,Tv4a3ynfetm3x4skz3k6otw6bae
The Lady Is A Tramp (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),Trfemi5rvyjvkwdkoov3hly5bxy
When You're Smiling (The Whole World Smiles With You) (1998 Digital Remaster),Frank Sinatra,Sinatra's Swingin' Session!!! And More (Remastered),T4h4xqthgzkkziwutsf67onfzw4
Almost Like Being In Love (2006 Digital Remaster/24 Bit Mastering),Frank Sinatra,Romance: Songs From The Heart,Tx7hwzzmrlst4zqatrjmhuzounq
Cheek To Cheek,Fred Astaire,Cheek To Cheek,Tualsibzmxry6vqimtl2mkbtw5a
Cheek To Cheek (2006 Digital Remaster/24 Bit Mastering),Frank Sinatra,Romance: Songs From The Heart,T5kraplqvhxwc2yochaq2y55ws4
As time goes by,Billie Holiday,All Of Me,T3xfc557mnuaumcv7n65dpd5vqq
I only have eyes for you,Billie Holiday,All Of Me,Ti5hz6vn45kb5i3bezom4kr5csa
A Foggy Day (Remastered),Frank Sinatra,Greatest Standards for the Night People Vol. 2 (All Tracks Remastered),Tdcp42gtbua5fxp6gifj7hedu64
You’re Driving Me Crazy,Chet Baker,Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster),Tbvgjcxa7wo6ihagd56iickumqy
Blue Moon,Ella Fitzgerald,Fifty Greatest Show Tunes,Tkk5ytjdoynj2tunzrylktgojfu
If You Were Mine,Billie Holiday,Hot Summer Jam,Tz5kt3gttwx4jx24qdx56xpofry
Blue Moon,Julie London,Julie Is Her Name,T3tyr5fxs24wjpjz5df2zve7jsu
September In The Rain,Julie London,Cry Me A River,Tcdhnl4gmfya5afwiwslxijzutq
Que reste-t-il de nos amours ?,Charles Trenet,L'essentiel,Tgmqy75nhf2k7zn27fjs22dqnua
Unforgettable,NAT KING COLE,Nat King Cole,Td4skgmmbxnrfyodibieerds2ei
Blue Moon,Billy Eckstine,The Great Songwriters - Richard Rodgers,Tjvnmb7qgug6ijpxwlhaswqbrju
September In The Rain,Annie Lennox,Nostalgia,Tsp6buexmfem36u3nvcwdhfodjy
Our Love Is Here To Stay,Dinah Washington,Standards (Great Songs/Great Performances),Ta3acusnthskbexut723wzeooty
Let There Be Love (Remastered),Sammy Davis Jr.,Body and Soul,Tinwfoa3php5lkq64vzudahv7wy
Almost Like Being In Love (Remastered),Nat King Cole,The Extraordinary (Deluxe Edition),Tubgwyak3sybwhpisci6xg2qjjm
