Song For My Father,Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Watermelon Man,Herbie Hancock,Takin' Off (Rudy Van Gelder Edition),Tlc26vkm3cht2vlcquagyrukc5q
Almost Like Being In Love (feat. Paul Chambers & Art Taylor),Red Garland,Red Garland's Piano,Tixbwf723wtrmjib4bkmc2tcpzm
Ginza Samba,Vince Guaraldi,From All Sides,T3vk7iangiqp7ro3e7kcabz7xre
There Will Never Be Another You (feat. Pete Brown's Sextet),Joe Wilder,Such a Beautiful Sound: Joe Wilder and Pete Brown's Sextet,Tg5d56looguk3lgtd4xhbgjq7d4
You’re Driving Me Crazy,Chet Baker,Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster),Tbvgjcxa7wo6ihagd56iickumqy
"Just You, Just Me (feat. The Oscar Peterson Trio)",Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T253vxptfn5vprm72nsaqnp2gji
Tea for Two (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3xupdp32j3nyzxws7htvuuhllm
On the Sunny Side of the Street (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),Ts4qhfwiisckqx5ybkapdpma64m
Almost Like Being in Love (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3pyd4gcrcrkao2cyikeuh7gz74
Moonlight Serenade,Glenn Miller,The Essential Glenn Miller,Tm466lbl6w6wjhqgj7ehds5nbv4
Begin the Beguine,Ella Fitzgerald,Cole Porter Songbook,Tlvpf7udfqadmlmyw6wpnxffi64
Night And Day (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),Tmbhr4ozea5kyflq5xmju7xaqxe
I've Got You Under My Skin,Frank Sinatra,Ultimate Sinatra,Ttshxfb7y5qy2mo3gz27kmqlue4
My Baby Just Cares for Me (2013 Remastered Version),Nina Simone,Little Girl Blue (2013 Remastered Version),Tu4irgcuyeu2xfmu6dao7cyjj7i
What A Diff'rence A Day Made,Dinah Washington,What A Diff'rence A Day Makes!,Tqw5ng53bcmqa75q35d6y7hvg2m
At Last,Etta James,At Last!,Th7sszw2p4rsbwviwxa4ut7quji
In the Still of the Night,Ella Fitzgerald,Ella Fitzgerald Sing Cole Porter - Vol. 2,Tr7er5j5wgpelnq3qwrg22au7pm
Volare (Nel Blu Di Pinto Di Blu) (Remastered),Dean Martin,This Is Dean Martin,Thv2f5njv6dwyhcbcfenrh3umiy
I Won't Dance (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),T2vfcd6tfdwxirvgkrkgbirvc7q
The Lady Is A Tramp (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),Trfemi5rvyjvkwdkoov3hly5bxy
When You're Smiling (The Whole World Smiles With You) (1998 Digital Remaster),Frank Sinatra,Sinatra's Swingin' Session!!! And More (Remastered),T4h4xqthgzkkziwutsf67onfzw4
Cheek To Cheek (2006 Digital Remaster/24 Bit Mastering),Frank Sinatra,Romance: Songs From The Heart,T5kraplqvhxwc2yochaq2y55ws4
I only have eyes for you,Billie Holiday,All Of Me,Ti5hz6vn45kb5i3bezom4kr5csa
A Foggy Day (Remastered),Frank Sinatra,Greatest Standards for the Night People Vol. 2 (All Tracks Remastered),Tdcp42gtbua5fxp6gifj7hedu64
Almost Like Being In Love (Remastered),Nat King Cole,The Extraordinary (Deluxe Edition),Tubgwyak3sybwhpisci6xg2qjjm
"What'd I Say, Pt. 1 & 2 (2005 Mono Remaster)",Ray Charles,The Genius!,Th5qrkqyvsu4vrsabruo2xrsk6e
Hit The Road Jack,Ray Charles,The Genius Hits,Tsok3lsrvrisjf56kr4b7dlcaly
Surrender (Remastered),Elvis Presley,Hot Summer Jam,Tl3d3d6jk4xsyco2e75zirhvbnq
Sabor A Mi,Los Panchos,Boleros De Los Panchos Volumen 1,Tbjg5qkdii7j67ug7bgpy3bkebe
On the Sunny Side of the Street,Benny Goodman,"Twisting Your Night Away, Vol. 14",Tu73kzhmnu3s5ldlsjd576maj3u
Fever,Peggy Lee,The Train Blues,Tt2sfdm625ql6adwpgro7ghqsey
Why don't you do right,Benny Goodman & His Orchestra,Benny Goodman : Swing's Senior Statesman,T2355a4q3sjul7ovbxwu4d2s57a
Begin the Beguine,Artie Shaw,Continental Songs,Tp2hz62p54onfrn4rreckauah74
Penthouse Serenade (When We're Alone) (Instrumental),Erroll Garner,Mighty Aphrodite - Original Soundtrack,Trlw2347lohk34phfatsruxqncq
You Do Something To Me (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,Tblunbj6o7yzotg5ace5mdroefq
When You're Smiling (The Whole World Smiles With You) (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,T2ny3dfijzbpgviwfqzjqhj4ycm
One O'Clock Jump,Count Basie,Count Basie: Ken Burns's Jazz,Tukc64oh5oaayayyjsooelhm254
Ac-cent-tchu-ate The Positive,Johnny Mercer,Personality,Tnzj57uwk6he2g5s4jdck3t4u7e
I Get a Kick out of You,Ella Fitzgerald,Ella Fitzgerald Sing Cole Porter - Vol. 2,Te5bapogleqvkxwpdzdwal5yqfu
Almost Like Being In Love (2006 Digital Remaster/24 Bit Mastering),Frank Sinatra,Romance: Songs From The Heart,Tx7hwzzmrlst4zqatrjmhuzounq
