What'd I Say (Pt. 1 & 2) [Mono Remaster],Ray Charles,The Genius!,Th5qrkqyvsu4vrsabruo2xrsk6e
I Got a Woman,Ray Charles,Ray Charles Fifty Favourites,Tvmg4qzjybcsrhrmor57jyeuera
Hit The Road Jack,Ray Charles,The Genius Hits,Tsok3lsrvrisjf56kr4b7dlcaly
All About That Bass,Meghan Trainor,All About That Bass,T3s4wi7m3eakrpzc2cakbojnea4
I Got You (I Feel Good),James Brown,Get On Up - The James Brown Story (Original Motion Picture Soundtrack),Ttetalexnz7naz3vsvfkcijab6y
You'll Never Find Another Love Like Mine,Lou Rawls,Lou Rawls - The Very Best Of,Tanzg2tdrjbc6hxoga5tfs4wkmi
Tired of Being Alone,Al Green,Gets Next To You,Tggp4u3id752hixskqjarsgscuq
See You When I Git There,Lou Rawls,The Essential Lou Rawls,Tvcc4v44lbmka2ljdcarcqvwc2i
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
Let The Music Play,Barry White,The Ultimate Collection,Tmlyv7yrnzkl64gpq742jwudt2q
"Never, Never Gonna Give Ya Up (Single Version)",Barry White,The Ultimate Collection,T4d5zbhf6szcj5zlpg43v5qg4g4
Love's In Need Of Love Today,Stevie Wonder,Songs In The Key Of Life,Tlvfi6igovrzrqlrftoe2qzsmye
Isn't She Lovely,Stevie Wonder,Songs In The Key Of Life,Tjufou22egslvobpftv66kilu7y
Don't You Worry 'Bout A Thing,Stevie Wonder,Innervisions,Thle2kbkunwet3ckxiem6to3koy
You Are The Sunshine Of My Life,Stevie Wonder,Number Ones,Tr5owaifh4z4veuojlwxbui4jnm
My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
Ordinary Pain,Stevie Wonder,Songs In The Key Of Life,Tye2bogvv2nznr3bggv7lhhm4wu
"Theme From ""Shaft""",Isaac Hayes,Greatest Hit Singles,Tpb5lk3sgt7lkipdzqdlvrzjv6u
I Say a Little Prayer,Aretha Franklin,Aretha Now,Txquvvrxoph56akg5hzjgz6f6mu
If You Want Me to Stay,Sly & The Family Stone,Fresh,Tjdnsjda5p2ahhbdgownqocxrke
Respect,Aretha Franklin,I Never Loved A Man The Way I Love You,Tcmk4ldiq4gqyjemt6cr2csidja
I'll Be Around (Remastered Version),The Spinners,Essentials,Trtfbq6fdpweesdaets77wcbine
Tell Me 'Bout It,Joss Stone,Introducing Joss Stone,Taxmbd4jfgksqugq7tb2e6lfqti
Crazy (Single Version),Gnarls Barkley,"Crazy (12"")",T532nijsu44zxznevyqbrhpus7y
Rebana Ba Leshotho,Aura Msimang,Itshe,Trjfui2rwe2qdfkqj245ypbgzmy
"Valerie (Live At BBC Radio 1 Live Lounge, London / 2007)",Amy Winehouse,Back To Black (Deluxe Edition),Tipvotjvlipp75kgs4ov4tzs54m
You Know I'm No Good,Amy Winehouse,Back To Black,Twk44nxqv4a57e57ruzhk6bfctu
Me & Mr Jones,Amy Winehouse,Back To Black,Tqwpdydeqh3dzbpgc3r7zlnsizu
Rehab,Amy Winehouse,Back To Black,Tf2mkeni3vjhwpg7cpqii46o2w4
