Flor de Lis,Milton Banana Trio,Sambas De Bossa,Tkaki3ctmt5chezywuhkaulxeh4
"Balanço Zona Sul (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Thvw5f7jp7p6vbkyc55wi3k5nay
"Lugar Comum (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tesmvool3c5pe5l2lume2rqrluq
Chorinho,Hermeto Pascoal,Eu e Eles,Twpncwkwi6s2xeoulmbmgjg7rqq
Chorinho pra ele,Hermeto Pascoal,iCollection,Tes4taa5q5bpde4abo2vt6ahsfi
Noites Cariocas,Jacob Do Bandolim,The Very Best Of,Tfds5d7xcdkmqxnapze7jxasc34
Receita De Samba,Jacob Do Bandolim,The Very Best Of,Tygtqzozamgch7hsjjhoofck55u
Vibraçoes,Jacob Do Bandolim,The Very Best Of,Tw3tblxddk6527nms7n35ivrovm
Doce De Côco,Jacob Do Bandolim,In Memoriam,Thiug67ukiljveaeliilv6djope
De Bem Com a Vida,Luciana Rabello,Luciana Rabello,Twcn2ygzvjfugijz3rlosi6hjl4
Vou Vivendo,Jacob Do Bandolim,In Memoriam,Tno57mof3kbegstiq2da2w73hye
Ela E Carioca (She's A Carioca),Sérgio Mendes,Você Ainda Não Ouviu Nada! (The Beat of Brazil) [Original Album Plus Bonus Tracks],Tsmptfmr5pckl4dnzngixou4ev4
Nanã,Sérgio Mendes,Você Ainda Não Ouviu Nada! (The Beat of Brazil) [Original Album Plus Bonus Tracks],Te6y2zhr54n62u7x7ahi6r3zlhq
Garota De Ipanema (The Girl From Ipanema),Sérgio Mendes,Você Ainda Não Ouviu Nada! (The Beat of Brazil) [Original Album Plus Bonus Tracks],Tupfjuqcmaj6f2f72v24e7jcgqm
Coisa No. 2,Sérgio Mendes,Você Ainda Não Ouviu Nada! (The Beat of Brazil) [Original Album Plus Bonus Tracks],Tyy4jjdfv5sgculgrmovtn43nra
Amor Em Paz (Love In Peace),Sérgio Mendes,Você Ainda Não Ouviu Nada! (The Beat of Brazil) [Original Album Plus Bonus Tracks],Twyz556enkpb2l3ps5mwzcr32ry
Corcovado,Sérgio Mendes,Você Ainda Não Ouviu Nada! (The Beat of Brazil) [Original Album Plus Bonus Tracks],Tv6pgxtfqg5tzy6t3ir2sjdrabi
Desafinado,Sérgio Mendes,Você Ainda Não Ouviu Nada! (The Beat of Brazil) [Original Album Plus Bonus Tracks],Tgycubzzvwn77xycdsrofnxlrvq
Minha Saudade (feat. Paulo Moura),João Donato,Dois Panos Para Manga,Tyyjcv5pf4kyuvykg5tz5opedm4
A Saudade Mata a Gente (feat. Paulo Moura),João Donato,Dois Panos Para Manga,Tqzelcw3ciksa5wcwbyaifhoptu
Bananeira,João Donato Trio,Sambolero,Txh36mmvr46kkurmydcpuctnwwq
Lugar Comum,João Donato Trio,Sambolero,T6xnlqdv476cc65emg324gnhebe
Nasci para Bailar,João Donato Trio,Sambolero,T3wo2chx6zjf4xwgcfvuqsc32l4
Sambolero,João Donato Trio,Sambolero,Tgmpvco5b7elv6bk6vkrkwsnhu4
Nanã,Moacir Santos,Ouro Negro,Td7ak55f3nwucb6bqi2sbwoz73e
Suk Cha,Moacir Santos,Ouro Negro,Toitzminlerw44jzvyt57uj6t44
Santa Gafieira,Toninho Ferragutti Quinteto,A Gata Café,Tntcxfbhoddx7ayye3abrmbudru
Samambaia,Maogani,Quarteto de Violões,Toivcoc3hpim35yxbsnhjixjbya
"Chorando Baixinho (feat. Naylor ""Proveta"" Azevedo)",Madeira de Vento,Chovendo Canivetes,Tgheh3sfa3h3rg4rolwzeluo75i
Tributo a K-Ximbinho (feat. Isaias Bueno de Almeida),Madeira de Vento,Chovendo Canivetes,T4th5cbsvupxsr5rmzzz3kkajxu
Ternura,"Mauricio Einhorn, Nelson Faria, Tony Botelho & Paulo Moura",K-Ximblues,Tjylfuqg6p4evdau6sqhqu7tgre
Chorando Baixinho,Abel Ferrara,Chorando Baixinho - Abel Ferreira E Seu Conjunto,T6t4mkqsaabkti6j6g4625nszxi
"Saxofone, Porque Choras?",Abel Ferrara,Chorando Baixinho - Abel Ferreira E Seu Conjunto,T5ldcx62cv5oii5lnksbaqy4uqi
Ternura (1994 Remaster),Abel Ferreira E Seu Conjunto,Chorando Baixinho - Abel Ferreira E Seu Conjunto,Tjha2f3po6vz7b5el7nstgxgbpm
Pedacinhos Do Ceu (1994 Remaster),Abel Ferreira E Seu Conjunto,Chorando Baixinho - Abel Ferreira E Seu Conjunto,T7g4mmlqbe3vzpkx7t63bbxliwa
Molambo,Yamandu,Yamandu + Dominguinhos,Tsyucmt64povhag5wtg3t7ltpje
Perigoso,Yamandu,Yamandu + Dominguinhos,Tlqdz77wobkk73yjfsferqvmf6y
João e Maria / Feira de Mangaio,Yamandu,Yamandu + Dominguinhos,Tg3gulyhbxrfeii6ika4j6i2eaq
Estrada do Sol,Yamandu,Yamandu + Dominguinhos,Txiqwtikot2x73dommewbo6vcvy
Velho Realejo,Yamandu,Yamandu + Dominguinhos,Torl2sn24flx522c5g257lupntq
Chorando Baixinho,Yamandu,Yamandu + Dominguinhos,Tfqho2qix3tpy5dzbfwfcbe4edy
Domingando,Yamandu,Yamandu + Dominguinhos,Tyqt24dbez2lns327jgcty56e3y
Wave,Yamandu,Yamandu + Dominguinhos,Tzylxcq4z34zci4enh4scjjuqlm
Pedacinho do Céu,Yamandu,Yamandu + Dominguinhos,Twoobykysvmlxctkj7ueejmnyve
Bonitinho,Yamandu,Yamandu + Dominguinhos,T7fztoitamaasecukspowbjnjke
Xote Miudinho,Yamandu,Yamandu + Dominguinhos,Tjg6rcwujdbuea3r6uoavpguxwa
Escadaria,Yamandu,Yamandu + Dominguinhos,Tww56z6or7pkxhmz5oh5nxd4tgm
Bagualito,Yamandu,Yamandu + Dominguinhos,Tjb5356jg3k3iqmuew5nhtgsxwm
Te Cuida Rapaz,Yamandu,Yamandu + Dominguinhos,Tf5q6lpf6ntc4hqewxs2c76y3wm
Asa Branca / Prenda Minha,Yamandu,Yamandu + Dominguinhos,Txbsfltzdo2rpxf5ftxwbl6j5hi
Da Cor do Pecado,Yamandu Costa,Lado B,Txublwfy265yj4rv2sywucspqja
Noites Sergipanas,Yamandu Costa,Lado B,Tmmer3w7cjwkkbdmklxvwdzem3q
Fuga Pro Nordeste,Yamandu Costa,Lado B,T5jhzt3b3y22ttfsz3f72k6zzja
Doce de Coco,Yamandu Costa,Lado B,Tdscwvojht34zodft5t3fywnd5e
Homenagem a Chiquinho do Acordeon,Yamandu Costa,Lado B,Thglqbwxjuzwn6g2p74knquu6re
Naquele Tempo,Yamandu Costa,Lado B,Tt66h4nruj3bvezh2jctadj54ti
Passeando Em Garanhuns,Yamandu Costa,Lado B,Telsnieqnk54bzrnzyr52pf6rzi
Homenagem a Pixinguinha,Yamandu Costa,Lado B,Tcslk2thj7rghhdqtzusi7b77we
Choro do Gado,Yamandu Costa,Lado B,Tdn37njhiggdgqblrky6fdqwxue
Chorando Em Passo Fundo,Yamandu Costa,Lado B,T7ibkecdlrtfouu7pl4iaaeykia
Carioquinha,Yamandu Costa,Lado B,Tipv4mbb5ow6zmh3llhmrth4rwa
Felicidade,Yamandu Costa,Lado B,Tdrogu24xycbossjyxe7ybzjksu
Pau de Arara,Yamandu Costa,Lado B,Tdh67l6etgzicakrpgfznjue5vi
No Rancho Fundo,Yamandu Costa,Lado B,Thb5wgc4magoiui6wzoixkepjwi
Solamente una Vez,Yamandu Costa,Lado B,Tuckpwfohicdztbnfgj6tbyt3j4
