Le tourbillon,Jeanne Moreau,"French chart hits 1962, vol. 2",T64uwax2kms4gshitmecz7tww4i
J'ai la mémoire qui flanche,Jeanne Moreau,Succès et Confidences,Tpmy5b7azig6aoeyaq7635qycgm
Je suis vous tous qui m'écoutez,Jeanne Moreau,Chanson française,Tlsxbxqf4krmaenezxs7ao5nknu
India Song (BOF India Song),Jeanne Moreau,Chanson française,Tdrmojpcjmlxptmjgazom4eim3y
On Dit Que Je Ne Suis Pas Sage,Jeanne Moreau,Jeanne Chante Jeanne,Tniq5sngmwrove7tdu7iy4keg64
Fille d'amour,Jeanne Moreau,Jeanne Moreau chante Norge,Tp6t75yhgjvlurrptdo36oenrum
Rien n'arrive plus,Jeanne Moreau,Le tourbillon de ma vie (Best Of 2017),Tzmdrt5vbk6e5tsxxinpmqmjgfu
Ni trop tôt ni trop tard,Jeanne Moreau,Le tourbillon de ma vie (Best Of 2017),Tfh2fohlewnwhrwqo44sndruwka
Quelle histoire,Jeanne Moreau,Jeanne Chante Jeanne,T5xonzho46wvdc5kw3dviwuata4
Rumba des îles (BOF India Song),Jeanne Moreau,Chanson française,Tgjg7pewu3urrbmwn7mmarlowoa
